tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,       206,     206,    0.010598,   10.000000, 9997.497070,    2.513350, 9993.912109,    0.426560,    3.557973,    2.052912,    0.030287,    0.009252,       337,               0,000,000
001,     60966,   60966,    1.233391,   10.000000, 9414.427734,  582.564209, 8493.018555,   89.296806,  916.999695,  488.033020,    3.118888,    1.681485,    114167,               0,000,000
002,     81892,   81892,    1.419662,   10.000000, 9219.331055,  777.201172, 7990.660156,  117.628922, 1223.200439,  653.436768,    3.669106,    2.198710,    152643,               0,000,000
003,     32706,   32706,    0.585537,   10.000000, 9693.351562,  305.384705, 9207.502930,   47.789639,  483.669556,  254.959061,    1.566262,    0.915063,     61657,               0,000,000
004,    184974,  184974,    3.482193,   10.000000, 8238.707031, 1753.377808, 5470.809570,  270.761108, 2755.259033, 1466.778687,    8.812457,    5.122883,    345829,               0,000,000
005,         4,       4,    0.005093,   10.000000,10000.199219,    0.074850,10000.109375,    0.011217,    0.085183,    0.053503,    0.009133,    0.000293,         4,               0,000,000
006,     50487,   50487,    0.796368,   10.000000, 9619.231445,  378.807709, 8880.426758,   67.724724,  735.669678,  306.495697,    2.475345,    1.244999,    120077,               0,000,000
007,        27,      27,    0.005507,   10.000000, 9999.802734,    0.353267, 9999.226562,    0.059613,    0.566970,    0.280997,    0.013557,    0.001383,        52,               0,000,000
000,     32461,   32461,    0.579814,   10.000000, 9690.232422,  308.669403, 9205.413086,   47.903740,  482.692688,  258.203613,    1.604055,    0.922020,     60366,               0,000,001
001,     43295,   43295,    0.810112,   10.000000, 9584.733398,  413.678772, 8935.969727,   63.523861,  645.661377,  346.528992,    2.143847,    1.201673,     80374,               0,000,001
002,     14947,   14947,    0.280190,   10.000000, 9855.537109,  143.832123, 9630.486328,   21.701107,  224.064484,  120.954491,    0.697963,    0.420845,     27643,               0,000,001
003,     29567,   29567,    0.614182,   10.000000, 9721.399414,  277.388672, 9284.073242,   43.369732,  435.233002,  231.499863,    1.511661,    0.829995,     55272,               0,000,001
004,     50653,   50653,    1.013234,   10.000000, 9516.957031,  480.786926, 8761.997070,   74.168282,  751.416931,  402.194427,    2.487863,    1.421152,     94253,               0,000,001
005,         3,       3,    0.004690,   10.000000, 9999.979492,    0.059157, 9999.906250,    0.007957,    0.067363,    0.042680,    0.006327,    0.000203,         4,               0,000,001
006,     88990,   88990,    1.529264,   10.000000, 9331.860352,  663.871277, 8023.261230,  118.869705, 1302.979614,  536.831909,    4.484959,    2.225514,    214485,               0,000,001
007,    155588,  155588,    2.813132,   10.000000, 8520.879883, 1472.804321, 6196.677246,  226.210297, 2313.619629, 1233.827026,    7.521821,    4.300144,    290027,               0,000,001
000,     18392,   18392,    0.345487,   10.000000, 9822.638672,  176.508301, 9556.401367,   27.362421,  264.973572,  147.615997,    0.930642,    0.537480,     33082,               0,000,002
001,         2,       2,    0.002413,   10.000000,10000.149414,    0.033760,10000.098633,    0.005453,    0.047697,    0.025553,    0.002943,    0.000167,         3,               0,000,002
002,         2,       2,    0.002497,   10.000000,10000.106445,    0.034993,10000.053711,    0.005657,    0.050530,    0.026570,    0.002893,    0.000143,         2,               0,000,002
003,    190935,  190935,    3.465720,   10.000000, 8200.612305, 1791.565674, 5469.843262,  280.271606, 2717.943604, 1495.908569,    9.238782,    5.269820,    345299,               0,000,002
004,     14381,   14381,    0.300787,   10.000000, 9861.955078,  137.550323, 9662.558594,   21.233128,  198.306442,  115.076881,    0.715137,    0.410206,     24801,               0,000,002
005,         2,       2,    0.002457,   10.000000, 9999.983398,    0.035907, 9999.930664,    0.005833,    0.050510,    0.027267,    0.008350,    0.000173,         2,               0,000,002
006,     94833,   94833,    1.585155,   10.000000, 9289.701172,  706.077454, 7958.854980,  126.430122, 1324.945068,  571.171204,    4.767671,    2.362113,    218316,               0,000,002
007,    109563,  109563,    2.047211,   10.000000, 8955.330078, 1040.007935, 7389.374512,  159.398193, 1558.503052,  871.754211,    5.385178,    3.040910,    195437,               0,000,002
000,         2,       2,    0.004897,   10.000000,10000.291016,    0.042783,10000.178711,    0.005677,    0.107907,    0.031743,    0.009023,    0.000130,         5,               0,001,000
001,         2,       2,    0.002513,   10.000000,10000.023438,    0.035543, 9999.957031,    0.006160,    0.063473,    0.026493,    0.003403,    0.000130,         4,               0,001,000
002,         2,       2,    0.002467,   10.000000, 9999.921875,    0.105727, 9999.841797,    0.006837,    0.077127,    0.095657,    0.005960,    0.000113,         4,               0,001,000
003,         1,       1,    0.002100,   10.000000,10000.196289,    0.019103,10000.172852,    0.002770,    0.021318,    0.013985,    0.002845,    0.000055,         1,               0,001,000
004,    393200,  393200,    7.025406,   10.000000, 6265.220703, 3718.456787,  408.419617,  572.020142, 5830.107910, 3114.672119,   18.667440,   10.593047,    733349,               0,001,000
005,         1,       1,    0.002483,   10.000000,10000.145508,    0.021857,10000.106445,    0.003490,    0.035793,    0.015610,    0.005790,    0.000063,         1,               0,001,000
006,      4613,    4613,    0.099302,   10.000000, 9955.267578,   44.758030, 9885.367188,    6.746304,   69.560616,   37.609337,    0.247000,    0.128787,      8523,               0,001,000
007,     10549,   10549,    0.218958,   10.000000, 9898.519531,  101.327690, 9740.216797,   15.358927,  157.492432,   85.077538,    0.536708,    0.289956,     19510,               0,001,000
000,     17133,   17133,    0.299998,   10.000000, 9835.665039,  163.675110, 9578.526367,   25.331751,  255.857254,  136.874512,    0.832424,    0.480970,     32002,               0,001,001
001,     84566,   84566,    1.548006,   10.000000, 9201.639648,  794.690063, 8003.138672,  124.297882, 1192.225586,  663.734009,    4.257623,    2.266246,    150990,               0,001,001
002,      4158,    4158,    0.089891,   10.000000, 9959.802734,   40.103195, 9900.432617,    6.190843,   59.044899,   33.557560,    0.218537,    0.119195,      7323,               0,001,001
003,         2,       2,    0.002092,   10.000000,10000.043945,    0.028853, 9999.999023,    0.005030,    0.042537,    0.021403,    0.003007,    0.000105,         3,               0,001,001
004,    289871,  289871,    5.073644,   10.000000, 7264.463379, 2723.960449, 2923.985596,  420.571838, 4321.068359, 2279.531250,   13.635777,    7.776896,    546771,               0,001,001
005,     15029,   15029,    0.285889,   10.000000, 9855.983398,  143.702316, 9633.172852,   22.420488,  221.741852,  119.985374,    0.762802,    0.424418,     27790,               0,001,001
006,       168,     168,    0.007260,   10.000000, 9998.030273,    2.087537, 9996.049805,    0.365827,    1.957930,    1.697853,    0.015097,    0.007603,       189,               0,001,001
007,        26,      26,    0.003110,   10.000000, 9999.961914,    0.340673, 9999.626953,    0.060343,    0.329167,    0.270097,    0.007463,    0.001177,        29,               0,001,001
000,     41636,   41636,    0.728723,   10.000000, 9603.435547,  395.064362, 8975.944336,   61.990627,  624.392029,  329.608246,    1.997948,    1.162781,     78734,               0,001,002
001,      7865,    7865,    0.166840,   10.000000, 9923.622070,   76.118607, 9800.967773,   11.949616,  122.013092,   63.504505,    0.425187,    0.221033,     15163,               0,001,002
002,         2,       2,    0.002473,   10.000000, 9999.983398,    0.033293, 9999.925781,    0.005817,    0.054220,    0.024547,    0.005780,    0.000110,         3,               0,001,002
003,    208913,  208913,    3.377213,   10.000000, 8410.996094, 1581.034058, 5442.980469,  281.971039, 2953.762939, 1280.424805,   11.279012,    5.170947,    476668,               0,001,002
004,     26779,   26779,    0.542715,   10.000000, 9743.695312,  255.157837, 9346.403320,   39.223042,  395.283813,  213.651321,    1.335140,    0.740202,     49603,               0,001,002
005,         2,       2,    0.002250,   10.000000,10000.078125,    0.032641,10000.029297,    0.005344,    0.045198,    0.024600,    0.002634,    0.000098,         3,               0,001,002
006,    142215,  142215,    2.579531,   10.000000, 8636.372070, 1357.329956, 6469.687988,  205.159348, 2156.021973, 1140.528320,    6.822071,    3.860432,    268444,               0,001,002
007,         2,       2,    0.009920,   10.000000,10000.149414,    0.050807,10000.032227,    0.010697,    0.111883,    0.037227,    0.030013,    0.006100,         4,               0,001,002
