tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     34266,   34266,    0.578657,   10.000000, 9782.491211,  216.240662, 8900.980469,    2.285257,  879.590271,  211.714233,    1.456758,    0.801043,    142226,               0,000,000
001,     34266,   34266,    0.575203,   10.000000, 9776.371094,  221.179779, 8872.240234,    2.220989,  902.109741,  216.705261,    1.389625,    0.781130,    143079,               0,000,000
002,     34265,   34265,    0.580397,   10.000000, 9781.554688,  215.756287, 8888.260742,    2.279532,  891.388000,  211.308426,    1.591673,    0.799717,    144883,               0,000,000
003,     34265,   34265,    0.568707,   10.000000, 9794.151367,  203.260193, 8913.723633,    2.774368,  878.328064,  197.671478,    1.836278,    0.796175,    152755,               0,000,000
004,     34242,   34242,    0.812062,   10.000000, 9727.745117,  269.979828, 8608.709961,    2.662066, 1116.606689,  264.331055,    2.148863,    0.798993,    143793,               0,000,000
005,     34243,   34243,    0.777195,   10.000000, 9727.408203,  269.382812, 8615.032227,    2.258659, 1110.074707,  264.605743,    1.745798,    0.798317,    142845,               0,000,000
006,     34243,   34243,    0.769851,   10.000000, 9727.949219,  269.958191, 8599.636719,    2.339968, 1126.002075,  265.106201,    1.704333,    0.830811,    144506,               0,000,000
007,     34243,   34243,    0.771585,   10.000000, 9728.394531,  268.468414, 8624.557617,    2.409516, 1101.504761,  263.526581,    1.730143,    0.793917,    142332,               0,000,000
000,     34213,   34213,    0.587710,   10.000000, 9782.583008,  215.878769, 8876.444336,    2.234982,  904.213135,  211.404831,    1.471220,    0.796888,    146546,               0,000,001
001,     34214,   34214,    0.582538,   10.000000, 9777.124023,  220.310379, 8880.465820,    2.217875,  894.657410,  215.856293,    1.381795,    0.778523,    142180,               0,000,001
002,     34215,   34215,    0.587712,   10.000000, 9781.541016,  215.795029, 8894.692383,    2.273973,  884.931763,  211.362213,    1.594252,    0.795435,    143423,               0,000,001
003,     34214,   34214,    0.577518,   10.000000, 9794.643555,  202.719482, 8916.612305,    2.717432,  875.944641,  197.223083,    1.805480,    0.798818,    152530,               0,000,001
004,     34203,   34203,    0.595067,   10.000000, 9730.460938,  267.982880, 8616.196289,    2.469732, 1112.161621,  262.894318,    1.791715,    0.808603,    143766,               0,000,001
005,     34204,   34204,    0.619302,   10.000000, 9728.505859,  268.811798, 8610.481445,    2.298303, 1115.982056,  264.256897,    1.494338,    0.805353,    143557,               0,000,001
006,     34203,   34203,    0.621542,   10.000000, 9729.504883,  268.928955, 8610.352539,    2.446577, 1117.095947,  264.203827,    1.449467,    0.811682,    143672,               0,000,001
007,     34203,   34203,    0.619687,   10.000000, 9729.770508,  267.528595, 8620.434570,    2.518293, 1107.285522,  262.680847,    1.499547,    0.799328,    143370,               0,000,001
000,     34290,   34290,    0.588793,   10.000000, 9783.946289,  216.276184, 8889.279297,    2.255857,  892.727112,  211.780441,    1.499710,    0.800542,    144665,               0,000,002
001,     34290,   34290,    0.584245,   10.000000, 9778.381836,  220.617477, 8902.941406,    2.306335,  873.428345,  216.065781,    1.384940,    0.778817,    138761,               0,000,002
002,     34290,   34290,    0.591792,   10.000000, 9783.196289,  215.652603, 8869.829102,    2.249467,  911.431458,  211.239838,    1.603652,    0.806153,    148429,               0,000,002
003,     34289,   34289,    0.579548,   10.000000, 9795.899414,  202.980606, 8913.027344,    2.612668,  880.789673,  197.600342,    1.831225,    0.800070,    153216,               0,000,002
004,     34297,   34297,    0.626354,   10.000000, 9730.742188,  269.211212, 8607.216797,    2.623248, 1121.193726,  263.904694,    1.867380,    0.827857,    144724,               0,000,002
005,     34297,   34297,    0.604247,   10.000000, 9729.995117,  269.023895, 8622.000000,    2.298272, 1105.986206,  264.493591,    1.482518,    0.835323,    142550,               0,000,002
006,     34297,   34297,    0.611152,   10.000000, 9730.163086,  269.980469, 8614.687500,    2.429088, 1113.435791,  265.280762,    1.439280,    0.832893,    143061,               0,000,002
