tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,    199585,  199585,    3.991138,   10.000000, 8014.737793, 1975.131470,   14.275507,   27.679483, 7982.913086, 1927.937500,   14.328158,    5.552396,    826442,               0,000,000
000,    199769,  199769,    3.766087,   10.000000, 8013.074707, 1977.530640,   14.253828,   27.704046, 7981.523438, 1930.498291,   14.142821,    5.563118,    825759,               0,000,001
000,    199572,  199572,    3.625867,   10.000000, 8016.854980, 1974.112061,   14.219934,   27.681513, 7985.508789, 1927.301147,   13.940940,    5.525954,    826714,               0,000,002
000,    200834,  200834,    3.965768,   10.000000, 8012.408203, 1977.712402,   15.659369,   25.448301, 7979.812500, 1934.278442,   13.571012,    5.752210,    827083,               0,001,000
000,    201112,  201112,    3.760446,   10.000000, 8010.853516, 1979.905884,   15.681990,   25.472382, 7978.527344, 1936.700806,   13.273071,    5.757610,    827097,               0,001,001
000,    201574,  201574,    3.635527,   10.000000, 8011.396484, 1979.727539,   15.738602,   25.230337, 7979.191406, 1936.920532,   13.098356,    5.758190,    828697,               0,001,002
000,    201175,  201175,    3.976640,   10.000000, 8069.597656, 1920.563843,   13.699475,   24.128914, 8038.815430, 1877.320801,   13.366907,    5.570473,    853247,               0,002,000
000,    201256,  201256,    3.762159,   10.000000, 8068.688965, 1922.133789,   13.824825,   24.337484, 8038.341309, 1878.964478,   13.230752,    5.569311,    852423,               0,002,001
000,    201453,  201453,    3.691723,   10.000000, 8065.288574, 1925.812500,   13.833285,   24.468098, 8034.956055, 1882.558716,   13.186221,    5.569419,    851525,               0,002,002
000,    202352,  202352,    3.955107,   10.000000, 8018.205078, 1971.845947,   13.633117,   24.893105, 7987.850098, 1929.033203,   13.461975,    5.544444,    832957,               0,003,000
000,    202237,  202237,    3.622665,   10.000000, 8022.255859, 1968.964722,   13.521783,   24.668163, 7992.495605, 1926.983276,   12.991055,    5.525585,    833538,               0,003,001
000,    202110,  202110,    3.613027,   10.000000, 8023.513672, 1967.628540,   13.512525,   24.726126, 7993.783691, 1925.533813,   12.964320,    5.536633,    833700,               0,003,002
