tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,    157048,  157048,    2.864426,   10.000000, 8399.581055, 1592.978394, 4206.738281,  327.323975, 4182.349121, 1253.451416,    7.674690,    4.330836,    527849,               0,000,000
001,         1,       1,    0.002400,   10.000000,10000.137695,    0.021800,10000.093750,    0.003820,    0.040580,    0.015317,    0.003337,    0.000060,         2,               0,000,000
002,         2,       2,    0.002527,   10.000000,10000.240234,    0.038000,10000.137695,    0.007697,    0.101050,    0.027460,    0.003490,    0.000160,         7,               0,000,000
003,    107891,  107891,    1.886374,   10.000000, 9114.602539,  880.717896, 5825.506348,  209.796524, 3282.047852,  661.613708,    6.064291,    2.673286,    539467,               0,000,000
004,       249,     249,    0.012635,   10.000000, 9997.252930,    3.101692, 9987.041016,    0.603559,   10.182881,    2.458394,    0.039252,    0.008455,      1022,               0,000,000
005,         2,       2,    0.007603,   10.000000,10000.437500,    0.055077,10000.252930,    0.006107,    0.177117,    0.041050,    0.009127,    0.000170,         9,               0,000,000
006,        15,      15,    0.007543,   10.000000,10000.055664,    0.252600, 9998.844727,    0.046143,    1.201457,    0.196693,    0.018553,    0.000777,        99,               0,000,000
007,         2,       2,    0.007340,   10.000000,10000.022461,    0.053450, 9999.928711,    0.007403,    0.085233,    0.037807,    0.026567,    0.000127,         3,               0,000,000
000,    108572,  108572,    2.093418,   10.000000, 8899.791992, 1094.627075, 5877.265137,  224.806076, 3015.142822,  861.511353,    5.428739,    2.980864,    382972,               0,000,001
001,         2,       2,    0.004743,   10.000000,10000.006836,    0.044947, 9999.889648,    0.007527,    0.112147,    0.032210,    0.006080,    0.000120,         7,               0,000,001
002,     18909,   18909,    0.389603,   10.000000, 9808.230469,  191.221115, 9354.332031,   39.435295,  452.577545,  150.259735,    0.969028,    0.526470,     57484,               0,000,001
003,    148086,  148086,    2.523501,   10.000000, 8787.639648, 1206.663452, 4880.629883,  288.374725, 3897.553955,  905.618347,    8.469306,    3.652478,    639972,               0,000,001
004,      1017,    1017,    0.037306,   10.000000, 9987.722656,   12.865112, 9946.920898,    2.482248,   40.685810,   10.253725,    0.085150,    0.035335,      3959,               0,000,001
005,       260,     260,    0.015362,   10.000000, 9996.744141,    3.486205, 9982.182617,    0.670613,   14.522407,    2.771078,    0.021537,    0.009820,      1370,               0,000,001
006,       399,     399,    0.010199,   10.000000, 9995.422852,    4.876786, 9979.193359,    0.891332,   16.191427,    3.944279,    0.030957,    0.011885,      1601,               0,000,001
007,         1,       1,    0.000133,   10.000000,10000.606445,    0.015943,10000.539062,    0.003167,    0.066897,    0.012477,    0.000353,    0.000053,         5,               0,000,001
000,      1515,    1515,    0.035462,   10.000000, 9984.170898,   15.747440, 9937.051758,    3.229300,   47.004055,   12.378333,    0.087288,    0.045223,      5870,               0,000,002
001,     94941,   94941,    1.611122,   10.000000, 9034.349609,  961.726624, 6704.972656,  192.494232, 2323.175293,  762.457642,    4.452020,    2.550683,    291476,               0,000,002
002,    140127,  140127,    2.569297,   10.000000, 8583.418945, 1410.230835, 4442.108398,  292.772430, 4131.825684, 1106.362549,    6.787099,    3.873457,    528368,               0,000,002
003,     24220,   24220,    0.444575,   10.000000, 9801.330078,  197.807281, 8934.851562,   47.229877,  864.862854,  148.464157,    1.450481,    0.611113,    142579,               0,000,002
004,         2,       2,    0.002923,   10.000000,10000.185547,    0.041253, 9999.929688,    0.008560,    0.249303,    0.029490,    0.006303,    0.000137,        18,               0,000,002
005,         1,       1,    0.002540,   10.000000,10000.504883,    0.021663,10000.464844,    0.002300,    0.036507,    0.016467,    0.002967,    0.000060,         2,               0,000,002
006,         1,       1,    0.002477,   10.000000,10000.378906,    0.024703,10000.317383,    0.004157,    0.058823,    0.017477,    0.002990,    0.000060,         3,               0,000,002
007,         1,       1,    0.000113,   10.000000,10000.298828,    0.015567,10000.275391,    0.003333,    0.023203,    0.011937,    0.000293,    0.000047,         1,               0,000,002
000,    166944,  166944,    3.158688,   10.000000, 8285.351562, 1707.334717, 4158.354980,  345.558319, 4115.151855, 1347.645996,    8.101810,    4.908599,    511800,               0,001,000
001,     27925,   27925,    0.586429,   10.000000, 9714.279297,  284.732056, 8987.528320,   58.086552,  724.646057,  224.269394,    1.393990,    0.770136,     90628,               0,001,000
002,     19830,   19830,    0.377153,   10.000000, 9832.589844,  167.004028, 9214.571289,   39.021801,  616.654663,  126.231918,    1.054032,    0.557780,     97183,               0,001,000
003,      7593,    7593,    0.165069,   10.000000, 9921.646484,   78.002281, 9743.261719,   15.844606,  177.824219,   61.487160,    0.403815,    0.212445,     21989,               0,001,000
004,         2,       2,    0.009917,   10.000000,10000.049805,    0.074140, 9999.847656,    0.008500,    0.191850,    0.054773,    0.014067,    0.000180,        10,               0,001,000
005,         4,       4,    0.007497,   10.000000,10000.527344,    0.103103,10000.260742,    0.013343,    0.257503,    0.069137,    0.018973,    0.000277,        14,               0,001,000
006,     39184,   39184,    0.679084,   10.000000, 9545.103516,  453.570831, 7919.330078,   81.438423, 1623.064331,  368.897888,    1.816500,    1.143482,    172749,               0,001,000
