tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     29141,   29141,    0.485903,   10.000000, 9816.541992,  182.275360, 9443.458008,    2.233967,  371.497467,  178.373047,    1.220982,    0.669155,     59181,               0,000,000
001,     29141,   29141,    0.482502,   10.000000, 9810.943359,  186.808517, 9431.605469,    1.882049,  377.663239,  183.173157,    1.217320,    0.646642,     59020,               0,000,000
002,     29141,   29141,    0.487111,   10.000000, 9815.055664,  182.766693, 9443.826172,    2.182356,  369.630829,  178.899139,    1.220405,    0.663739,     58414,               0,000,000
003,     29140,   29140,    0.484660,   10.000000, 9825.756836,  171.910507, 9479.739258,    2.700645,  344.303162,  167.147552,    1.658360,    0.680345,     56739,               0,000,000
004,     29141,   29141,    0.485530,   10.000000, 9813.443359,  184.355301, 9432.693359,    2.619412,  379.126373,  180.015503,    1.200520,    0.674661,     60490,               0,000,000
005,     29141,   29141,    0.484120,   10.000000, 9815.575195,  182.250961, 9441.158203,    2.491318,  372.847931,  178.040680,    1.254683,    0.731776,     59977,               0,000,000
006,     29141,   29141,    0.485867,   10.000000, 9816.939453,  182.041687, 9440.638672,    3.189610,  374.706573,  177.199493,    1.137721,    0.662743,     60292,               0,000,000
007,     29141,   29141,    0.495008,   10.000000, 9815.356445,  182.601364, 9435.627930,    1.966464,  378.134796,  178.980011,    3.675531,    0.669003,     59755,               0,000,000
008,     29141,   29141,    0.643253,   10.000000, 9777.181641,  218.240326, 9319.068359,    2.301436,  456.285126,  213.901169,    1.464532,    0.657310,     60211,               0,000,000
009,     29141,   29141,    0.643883,   10.000000, 9773.812500,  223.547348, 9329.410156,    2.907887,  442.567322,  218.695633,    1.425554,    0.659220,     58078,               0,000,000
010,     29141,   29141,    0.631496,   10.000000, 9773.636719,  223.713547, 9316.000977,    2.251610,  455.734406,  219.553116,    1.363679,    0.675013,     59638,               0,000,000
