tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   1023296,   15989,    3.548332,   10.000000, 9895.605469,  100.533257, 9793.436523,    1.093138,  101.220932,   98.465187,    0.681327,    0.374048,     15989,       100663296,000,000
001,   1090048,   17032,    3.748093,   10.000000, 9887.565430,  108.329437, 9777.076172,    1.090713,  109.427910,  106.212616,    0.689652,    0.398022,     17032,       100663296,000,000
002,   1249984,   19531,    4.332117,   10.000000, 9872.183594,  122.935257, 9747.685547,    1.271742,  123.331856,  120.466415,    0.804797,    0.458277,     19531,       100663296,000,000
003,    836032,   13063,    3.021153,   10.000000, 9919.366211,   77.362656, 9839.921875,    1.017675,   78.623253,   75.415901,    0.612415,    0.319192,     13063,       100663296,000,000
004,   1245760,   19465,    4.264370,   10.000000, 9874.342773,  120.863121, 9751.118164,    1.177715,  122.043091,  118.485054,    0.814873,    0.455637,     19465,       100663296,000,000
005,   1239296,   19364,    4.279123,   10.000000, 9871.214844,  124.110733, 9736.826172,    1.202133,  133.265076,  121.736504,    0.868890,    0.456477,     19364,       100663296,000,000
006,   1150400,   17975,    3.988458,   10.000000, 9883.301758,  112.355423, 9768.485352,    1.171955,  113.760597,  110.080688,    0.719557,    0.420373,     17975,       100663296,000,000
007,    964288,   15067,    3.360747,   10.000000, 9902.019531,   94.259766, 9805.830078,    1.020760,   95.312019,   92.319931,    0.716958,    0.353927,     15067,       100663296,000,000
008,   1685312,   26333,    5.871358,   10.000000, 9787.258789,  205.772217, 9578.151367,    1.755988,  207.302704,  201.974289,    1.369493,    0.618515,     26333,       100663296,000,000
009,   4547712,   71058,   15.958977,   10.000000, 9427.581055,  554.089966, 8864.539062,    4.059391,  558.533936,  545.341370,    3.170695,    1.715992,     71058,       100663296,000,000
010,   4662400,   72850,   16.596008,   10.000000, 9410.628906,  570.282959, 8831.421875,    4.147250,  574.584290,  561.374695,    3.334715,    1.759412,     72850,       100663296,000,000
011,   3963328,   61927,   13.791837,   10.000000, 9503.254883,  480.846680, 9014.367188,    3.604648,  484.908600,  473.130066,    2.800188,    1.477172,     61927,       100663296,000,000
012,   4589696,   71714,   16.375046,   10.000000, 9420.184570,  561.019104, 8849.604492,    4.201380,  566.019470,  552.087708,    3.478042,    1.716168,     71714,       100663296,000,000
013,   4783936,   74749,   16.756237,   10.000000, 9402.518555,  578.231689, 8814.282227,    4.317948,  583.493042,  569.026428,    3.298368,    1.806740,     74749,       100663296,000,000
014,   4137728,   64652,   14.527250,   10.000000, 9480.262695,  502.926147, 8969.629883,    3.789182,  506.449707,  494.893982,    3.013718,    1.541243,     64652,       100663296,000,000
015,   4238080,   66220,   14.737770,   10.000000, 9472.406250,  510.645538, 8954.341797,    3.894445,  513.799866,  502.376434,    3.068830,    1.582287,     66220,       100663296,000,000
000,   3018240,   47160,   10.278325,   10.000000, 9693.389648,  295.318054, 9393.381836,    2.810830,  297.237000,  289.652039,    1.941770,    1.108470,     47160,       100663296,000,001
001,   3752896,   58639,   12.914251,   10.000000, 9611.806641,  373.663971, 9232.237305,    3.275782,  376.163696,  366.807068,    2.396240,    1.382398,     58639,       100663296,000,001
002,   3984960,   62265,   13.854069,   10.000000, 9593.197266,  390.934631, 9196.605469,    3.712110,  392.886108,  383.373871,    2.553592,    1.473322,     62265,       100663296,000,001
003,   2551104,   39861,    9.111279,   10.000000, 9753.667969,  235.981140, 9513.692383,    2.606802,  237.495651,  230.486984,    1.874917,    0.972075,     39861,       100663296,000,001
004,   3617856,   56529,   12.284065,   10.000000, 9634.693359,  351.243347, 9277.135742,    3.136258,  354.197601,  344.581879,    2.345320,    1.328800,     56529,       100663296,000,001
005,   3903040,   60985,   13.401103,   10.000000, 9605.119141,  379.781708, 9219.181641,    3.341555,  382.349213,  372.701355,    2.739652,    1.441813,     60985,       100663296,000,001
006,   3154688,   49292,   10.654262,   10.000000, 9680.557617,  307.637024, 9367.025391,    2.892840,  310.624268,  301.736359,    1.962362,    1.157827,     49292,       100663296,000,001
007,   3669824,   57341,   12.624213,   10.000000, 9625.107422,  360.603149, 9258.306641,    3.253478,  363.395020,  353.839783,    2.441960,    1.360832,     57341,       100663296,000,001
008,   1488192,   23253,    5.071328,   10.000000, 9814.293945,  180.041153, 9630.682617,    1.491938,  182.204178,  176.951492,    1.013130,    0.542842,     23253,       100663296,000,001
009,   2341376,   36584,    8.054055,   10.000000, 9707.685547,  283.299835, 9419.076172,    2.204955,  286.485077,  278.876282,    1.500635,    0.864145,     36584,       100663296,000,001
010,   2215616,   34619,    7.736970,   10.000000, 9722.502930,  268.734650, 9449.084961,    2.081047,  271.404785,  264.545624,    1.417372,    0.816538,     34619,       100663296,000,001
011,   2604416,   40694,    8.872938,   10.000000, 9677.442383,  312.615875, 9359.077148,    2.417685,  315.991364,  307.717896,    1.632557,    0.957823,     40694,       100663296,000,001
012,   2482752,   38793,    9.087234,   10.000000, 9688.707031,  301.165863, 9382.515625,    2.320767,  303.919037,  296.469757,    1.692317,    0.916107,     38793,       100663296,000,001
013,   2252032,   35188,    7.796257,   10.000000, 9721.119141,  270.133881, 9445.348633,    2.173017,  273.711884,  265.802551,    1.405907,    0.834327,     35188,       100663296,000,001
014,   1822720,   28480,    6.338940,   10.000000, 9773.453125,  219.409592, 9550.184570,    1.814427,  221.539551,  215.854538,    1.222742,    0.667457,     28480,       100663296,000,001
015,   2148992,   33578,    7.338560,   10.000000, 9734.083984,  257.633026, 9472.346680,    2.047403,  259.765350,  253.551498,    1.407290,    0.798190,     33578,       100663296,000,001
000,   3643328,   56927,   12.337503,   10.000000, 9630.083008,  356.352753, 9267.570312,    3.471758,  359.172577,  349.447906,    2.297665,    1.332578,     56927,       100663296,000,002
001,   4644544,   72571,   16.017889,   10.000000, 9518.338867,  463.584534, 9046.522461,    4.118669,  467.618225,  455.122772,    2.867378,    1.719122,     72571,       100663296,000,002
