tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000245000, 0.000326250, 0.011653333, 0.069541253, 0.074808337,588.762512207, 0.008957917, 0.009715834, 0.022368750, 0.061524168, 0.066383332,588.750183105, 0.001357917, 0.001480000, 0.012807083, 0.005473750, 0.008185416, 0.022246251, 0.007351667, 0.008059166, 0.019795001, 0.000046250, 0.000060833, 0.010202084, 0.000027083, 0.000031667, 0.003823333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000288333, 0.000324167, 0.011685833, 0.068066247, 0.075117916,588.792114258, 0.008806250, 0.009406250, 0.023901667, 0.059687499, 0.066894583,588.777465820, 0.001346250, 0.001486250, 0.014526250, 0.007626250, 0.007990417, 0.047510415, 0.007195833, 0.007735834, 0.022151250, 0.000046250, 0.000065417, 0.011392083, 0.000027083, 0.000031667, 0.000060000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000308333, 0.000328333, 0.013354166, 0.069774583, 0.074759997,588.811584473, 0.007010417, 0.009782917, 0.080690414, 0.061673749, 0.066553749,588.797729492, 0.000420000, 0.001498750, 0.025442082, 0.005684167, 0.007935000, 0.020390000, 0.005170417, 0.008107500, 0.054864999, 0.000046250, 0.000060000, 0.005044166, 0.000027083, 0.000031667, 0.011450000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000296667, 0.000307500, 0.008433750, 0.069692500, 0.074450418,588.776550293, 0.007189583, 0.010080000, 0.022178750, 0.061193749, 0.065579168,588.761413574, 0.001298750, 0.001507500, 0.009827500, 0.006012500, 0.008536667, 0.020307500, 0.005686250, 0.008353750, 0.018313751, 0.000046667, 0.000151667, 0.004141250, 0.000027083, 0.000029167, 0.000070000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.000251667, 0.000335000, 0.006185417, 0.079313748, 0.090884164,9413.039062500, 0.009768333, 0.012511667, 0.034554999, 0.068277918, 0.079368331,9412.988281250, 0.001275000, 0.001680000, 0.005120000, 0.007715833, 0.011137500, 0.031161666, 0.008298334, 0.010572500, 0.023753749, 0.000045000, 0.000160000, 0.007820833, 0.000021667, 0.000031667, 0.000077917, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000288333, 0.000334583, 0.006042083, 0.078368336, 0.091637917,5035.375488281, 0.010292500, 0.011728333, 0.028156666, 0.067987084, 0.081200004,5035.311523438, 0.001395833, 0.001585417, 0.006890417, 0.008979167, 0.010187500, 0.036644999, 0.008731667, 0.009957917, 0.020439999, 0.000053750, 0.000063333, 0.012856667, 0.000027083, 0.000033750, 0.000069583, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000294583, 0.000317917, 0.007653333, 0.080031663, 0.091882080,9413.190429688, 0.010174584, 0.011542084, 0.047933333, 0.070071667, 0.081540003,9413.111328125, 0.001315833, 0.001505417, 0.005385000, 0.009040000, 0.010124166, 0.041573334, 0.008661250, 0.009855833, 0.025189999, 0.000044167, 0.000048333, 0.015580000, 0.000028333, 0.000031667, 0.000140000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
007,10.0, 0.000307500, 0.000334583, 0.008083333, 0.076861247, 0.091612503,9413.351562500, 0.010364166, 0.011722083, 0.044496667, 0.066515833, 0.080975004,9413.278320312, 0.000233750, 0.001557917, 0.006233750, 0.008995833, 0.010402083, 0.034013335, 0.008704167, 0.009975000, 0.021473333, 0.000047500, 0.000052500, 0.015659999, 0.000027083, 0.000033750, 0.000136667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
000,10.0, 0.000272500, 0.000326250, 0.011670416, 0.068865418, 0.074873753,1782.993164062, 0.007262083, 0.009611666, 0.072096668, 0.060770418, 0.066444166,1782.977905273, 0.001352500, 0.001484167, 0.020260833, 0.005557917, 0.008120000, 0.019895833, 0.005644167, 0.007980000, 0.049079999, 0.000046250, 0.000060833, 0.011655834, 0.000027083, 0.000031667, 0.000065417, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000220000, 0.000324167, 0.014844167, 0.070132501, 0.075174585,1782.960449219, 0.007972500, 0.009400000, 0.022077916, 0.061940834, 0.066954166,1782.951049805, 0.001124167, 0.001480000, 0.013152500, 0.007688333, 0.007997917, 0.021469999, 0.006280000, 0.007730416, 0.020446250, 0.000046250, 0.000065417, 0.003012500, 0.000023333, 0.000031667, 0.011370000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
