tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000013333, 0.000015000, 0.001776667, 0.059326667, 0.084628336, 0.344835013, 0.006801667, 0.007600000, 0.037055001, 0.047330000, 0.069515832, 0.329511672, 0.000090000, 0.000106667, 0.013210000, 0.006750000, 0.014975000, 0.063138336, 0.006575000, 0.007361667, 0.020233333, 0.000035000, 0.000040000, 0.002085000, 0.000021667, 0.000023333, 0.000316667, 1.000000000, 2.000000000, 6.000000000,               0,001
001,10.0, 0.000013333, 0.000015000, 0.001520000, 0.051576667, 0.084534168, 0.350643337, 0.006836667, 0.007667500, 0.021808334, 0.044498332, 0.069325835, 0.320230007, 0.000098333, 0.000111667, 0.003523333, 0.006830000, 0.015065000, 0.281513333, 0.006603333, 0.007428333, 0.021528333, 0.000035000, 0.000040000, 0.002195000, 0.000021667, 0.000023333, 0.000043333, 1.000000000, 2.000000000, 7.000000000,               0,001
002,10.0, 0.000013333, 0.000015000, 0.001993333, 0.055173334, 0.084524170, 0.344293326, 0.006855000, 0.007658334, 0.024935000, 0.046731666, 0.069388330, 0.328938335, 0.000095000, 0.000113333, 0.008853333, 0.006845000, 0.015010000, 0.045438334, 0.006620000, 0.007415000, 0.018320000, 0.000035000, 0.000040000, 0.003793333, 0.000021667, 0.000023333, 0.002626667, 1.000000000, 2.000000000, 6.000000000,               0,001
003,10.0, 0.000013333, 0.000015000, 0.001743333, 0.052861668, 0.084555000, 0.344166666, 0.006828333, 0.007651667, 0.060003333, 0.045718335, 0.069421664, 0.335953325, 0.000101667, 0.000120000, 0.003306667, 0.006813333, 0.015011666, 0.118871666, 0.006588333, 0.007400000, 0.059763335, 0.000035000, 0.000040000, 0.003323333, 0.000021667, 0.000023333, 0.000313333, 1.000000000, 2.000000000, 6.000000000,               0,001
004,10.0, 0.004235000, 0.004235000, 0.004235000,10002.718750000,10002.718750000,10002.718750000, 0.032828335, 0.032828335, 0.032828335,10002.669921875,10002.669921875,10002.669921875, 0.000910000, 0.000910000, 0.000910000, 0.025278334, 0.025278334, 0.025278334, 0.022253333, 0.022253333, 0.022253333, 0.009395000, 0.009395000, 0.009395000, 0.000053333, 0.000053333, 0.000053333, 1.000000000, 1.000000000, 1.000000000,               0,001
005,10.0, 0.004285000, 0.004285000, 0.004285000,10002.885742188,10002.885742188,10002.885742188, 0.027829999, 0.027829999, 0.027829999,10002.846679688,10002.846679688,10002.846679688, 0.000420000, 0.000420000, 0.000420000, 0.020970000, 0.020970000, 0.020970000, 0.015808333, 0.015808333, 0.015808333, 0.004951667, 0.004951667, 0.004951667, 0.000051667, 0.000051667, 0.000051667, 1.000000000, 1.000000000, 1.000000000,               0,001
006,10.0, 0.004033333, 0.004033333, 0.004033333,10002.810546875,10002.810546875,10002.810546875, 0.027641667, 0.027641667, 0.027641667,10002.763671875,10002.763671875,10002.763671875, 0.000471667, 0.000471667, 0.000471667, 0.020260001, 0.020260001, 0.020260001, 0.017850000, 0.017850000, 0.017850000, 0.008946666, 0.008946666, 0.008946666, 0.000050000, 0.000050000, 0.000050000, 1.000000000, 1.000000000, 1.000000000,               0,001
007,10.0, 0.004246667, 0.004246667, 0.004246667,10002.980468750,10002.980468750,10002.980468750, 0.024598334, 0.024598334, 0.024598334,10002.932617188,10002.932617188,10002.932617188, 0.000500000, 0.000500000, 0.000500000, 0.024495000, 0.024495000, 0.024495000, 0.014808333, 0.014808333, 0.014808333, 0.009380000, 0.009380000, 0.009380000, 0.000050000, 0.000050000, 0.000050000, 1.000000000, 1.000000000, 1.000000000,               0,001
000,10.0, 0.000013333, 0.000015000, 0.001648333, 0.061135001, 0.084200002, 0.343948334, 0.006818333, 0.007556667, 0.030816667, 0.051643334, 0.069233336, 0.321508348, 0.000091667, 0.000111667, 0.020553334, 0.006820000, 0.014896667, 0.083416663, 0.006570000, 0.007316667, 0.018135000, 0.000035000, 0.000040000, 0.003376667, 0.000021667, 0.000023333, 0.000390000, 1.000000000, 2.000000000, 6.000000000,               0,001
001,10.0, 0.000013333, 0.000015000, 0.001823333, 0.061035000, 0.084129997, 0.325321674, 0.006883333, 0.007613333, 0.020278333, 0.050795000, 0.069095835, 0.317250013, 0.000096667, 0.000115000, 0.005575000, 0.006923333, 0.014960000, 0.044735000, 0.006645000, 0.007366667, 0.017768333, 0.000035000, 0.000040000, 0.003805000, 0.000021667, 0.000023333, 0.000045000, 1.000000000, 2.000000000, 6.000000000,               0,001
