tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000233333, 0.000243333, 0.009370000, 0.094286665, 0.096754998, 4.551001549, 0.005190000, 0.006191667, 0.033615001, 0.087860003, 0.090338334, 4.542844772, 0.000068333, 0.000078333, 0.001778333, 0.005420000, 0.006256667, 0.032793332, 0.004966666, 0.005986667, 0.031716667, 0.000035000, 0.000038333, 0.002043333, 0.000021667, 0.000023333, 0.004663333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000220000, 0.000245000, 0.002568333, 0.093703337, 0.096638337, 4.548904896, 0.006186667, 0.006295000, 0.014258333, 0.087035000, 0.090151668, 4.540166855, 0.000058333, 0.000083333, 0.002580000, 0.005471667, 0.006323333, 0.015731666, 0.005983333, 0.006090000, 0.014026667, 0.000033333, 0.000038333, 0.002655000, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000218333, 0.000243333, 0.004450000, 0.094520003, 0.096740000, 4.553514957, 0.005335000, 0.006200000, 0.016443333, 0.088003330, 0.090269998, 4.544845104, 0.000060000, 0.000093333, 0.010263333, 0.006156667, 0.006310000, 0.017218333, 0.005125000, 0.005986667, 0.012571666, 0.000035000, 0.000040000, 0.001733333, 0.000021667, 0.000023333, 0.003381667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000226667, 0.000246667, 0.004776667, 0.094718330, 0.097036667, 4.551613331, 0.004755000, 0.005826666, 0.015980000, 0.088744998, 0.090991668, 4.545186520, 0.000063333, 0.000088333, 0.004235000, 0.004951667, 0.005860000, 0.018153334, 0.004543333, 0.005618333, 0.015760001, 0.000035000, 0.000038333, 0.003686667, 0.000021667, 0.000023333, 0.000033333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.000233333, 0.000243333, 0.003115000, 0.094528332, 0.096761666, 4.546438217, 0.006070000, 0.006183333, 0.013203333, 0.088178337, 0.090350002, 4.538945198, 0.000061667, 0.000085000, 0.000365000, 0.004881667, 0.006250000, 0.012650000, 0.005865000, 0.005975000, 0.012993333, 0.000033333, 0.000038333, 0.001743333, 0.000021667, 0.000023333, 0.003706667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000205000, 0.000245000, 0.001753333, 0.094561666, 0.096758336, 4.544898510, 0.006061667, 0.006188334, 0.014298334, 0.088124998, 0.090329997, 4.536271572, 0.000061667, 0.000073333, 0.001021667, 0.006121667, 0.006271667, 0.015518334, 0.005870000, 0.005990000, 0.014038334, 0.000035000, 0.000038333, 0.002555000, 0.000021667, 0.000023333, 0.000045000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000233333, 0.000245000, 0.003308333, 0.094538331, 0.096780002, 4.554103374, 0.006075000, 0.006195000, 0.013043334, 0.088273332, 0.090374999, 4.547395229, 0.000073333, 0.000085000, 0.002716667, 0.004750000, 0.006240000, 0.015851667, 0.005866667, 0.005985000, 0.012830000, 0.000035000, 0.000038333, 0.006666667, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
007,10.0, 0.000235000, 0.000241667, 0.001816667, 0.094570003, 0.096756667, 4.554516792, 0.006066666, 0.006163334, 0.013715000, 0.088078335, 0.090358332, 4.547671795, 0.000055000, 0.000090000, 0.003026667, 0.005140000, 0.006233333, 0.012916666, 0.005856667, 0.005951667, 0.013486667, 0.000035000, 0.000040000, 0.002926667, 0.000025000, 0.000026667, 0.000038333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
008,10.0, 0.000215000, 0.000243333, 0.008163333, 0.108640000, 0.117504999, 2.787381649, 0.007211667, 0.007478334, 0.028375000, 0.100618333, 0.109718330, 2.779611588, 0.000061667, 0.000088333, 0.005065000, 0.007338333, 0.007598334, 0.029348332, 0.006998333, 0.007265000, 0.028020000, 0.000035000, 0.000038333, 0.028493334, 0.000021667, 0.000023333, 0.000055000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
009,10.0, 0.000220000, 0.000243333, 0.008186666, 0.107553333, 0.117514998, 2.786778450, 0.005391667, 0.007490000, 0.021498334, 0.099715002, 0.109726667, 2.778943300, 0.000060000, 0.000085000, 0.000578333, 0.007346667, 0.007610000, 0.017346667, 0.005078333, 0.007281667, 0.020780001, 0.000033333, 0.000038333, 0.017728332, 0.000021667, 0.000023333, 0.000045000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
010,10.0, 0.000218333, 0.000243333, 0.007201666, 0.108778335, 0.117476664, 2.795303345, 0.005740000, 0.007520000, 0.021381667, 0.100809999, 0.109658331, 2.787386656, 0.000060000, 0.000080000, 0.000643333, 0.007351667, 0.007646667, 0.017468333, 0.005545000, 0.007315000, 0.016851667, 0.000033333, 0.000036667, 0.010176667, 0.000021667, 0.000023333, 0.002768333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
011,10.0, 0.000215000, 0.000241667, 0.004991667, 0.110169999, 0.117453337, 2.786331654, 0.005856667, 0.007510000, 0.026636668, 0.102274999, 0.109640002, 2.778488398, 0.000058333, 0.000080000, 0.000643333, 0.007253333, 0.007640000, 0.020268334, 0.005645000, 0.007305000, 0.026360000, 0.000035000, 0.000036667, 0.014773333, 0.000021667, 0.000023333, 0.000055000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
012,10.0, 0.000223333, 0.000243333, 0.006058333, 0.104403332, 0.117500000, 2.789341688, 0.007125000, 0.007476666, 0.145225003, 0.096474998, 0.109748334, 2.781409979, 0.000056667, 0.000080000, 0.012670000, 0.005835000, 0.007585000, 0.019046666, 0.006925000, 0.007271667, 0.144995004, 0.000033333, 0.000038333, 0.010313333, 0.000021667, 0.000023333, 0.000050000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
013,10.0, 0.000205000, 0.000243333, 0.006020000, 0.107045002, 0.117541663, 2.767258406, 0.006371667, 0.007470000, 0.075704999, 0.099025004, 0.109773330, 2.755713224, 0.000060000, 0.000083333, 0.003401667, 0.007223333, 0.007600000, 0.023496667, 0.006171667, 0.007261666, 0.075159997, 0.000033333, 0.000038333, 0.010025000, 0.000021667, 0.000023333, 0.004470000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
014,10.0, 0.000215000, 0.000241667, 0.008303333, 0.107694998, 0.117569998, 2.787220001, 0.007230000, 0.007500000, 0.092273332, 0.099730000, 0.109779999, 2.779301643, 0.000060000, 0.000080000, 0.003548333, 0.007300000, 0.007626667, 0.079133332, 0.007033333, 0.007295000, 0.092045002, 0.000033333, 0.000038333, 0.014316667, 0.000021667, 0.000023333, 0.003190000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
015,10.0, 0.000215000, 0.000243333, 0.008238333, 0.107213333, 0.117535003, 2.789636612, 0.005500000, 0.007465000, 0.020446667, 0.099248335, 0.109786667, 2.781961679, 0.000055000, 0.000080000, 0.000620000, 0.005810000, 0.007580000, 0.403636664, 0.005295000, 0.007260000, 0.016468333, 0.000035000, 0.000038333, 0.015170000, 0.000021667, 0.000023333, 0.000080000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
000,10.0, 0.000218333, 0.000243333, 0.003206667, 0.094413333, 0.096663333, 2.331263304, 0.006088333, 0.006183333, 0.013756666, 0.088035002, 0.090264998, 2.323159933, 0.000066667, 0.000078333, 0.000458333, 0.006095000, 0.006238333, 0.031176666, 0.005886666, 0.005980000, 0.013535000, 0.000035000, 0.000038333, 0.001901667, 0.000021667, 0.000023333, 0.002010000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000236667, 0.000245000, 0.004181667, 0.094370000, 0.096543334, 2.332355022, 0.006173333, 0.006290000, 0.012996667, 0.087856665, 0.090036668, 2.325261593, 0.000058333, 0.000088333, 0.003765000, 0.006200000, 0.006346667, 0.013690000, 0.005971667, 0.006081667, 0.012781667, 0.000033333, 0.000038333, 0.002168333, 0.000021667, 0.000023333, 0.000041667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000223333, 0.000245000, 0.004518333, 0.094673336, 0.096676670, 2.325939894, 0.005940000, 0.006171667, 0.016138334, 0.088260002, 0.090295002, 2.319046736, 0.000058333, 0.000088333, 0.003185000, 0.006090000, 0.006221666, 0.392971665, 0.005738333, 0.005960000, 0.015881667, 0.000035000, 0.000040000, 0.002000000, 0.000021667, 0.000023333, 0.000051667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000231667, 0.000246667, 0.005070000, 0.094861664, 0.096950002, 2.335516691, 0.005206667, 0.005808333, 0.019043334, 0.088808335, 0.090933330, 2.326853275, 0.000063333, 0.000086667, 0.004535000, 0.005371667, 0.005831667, 0.015385000, 0.004993333, 0.005601667, 0.018783333, 0.000035000, 0.000038333, 0.001756667, 0.000021667, 0.000023333, 0.000041667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.000220000, 0.000245000, 0.003265000, 0.094643332, 0.096644998, 2.331696749, 0.006085000, 0.006195000, 0.013683333, 0.088205002, 0.090226665, 2.325068235, 0.000061667, 0.000085000, 0.002601667, 0.006088333, 0.006263333, 0.013066667, 0.005880000, 0.005986667, 0.013471667, 0.000033333, 0.000038333, 0.001645000, 0.000021667, 0.000023333, 0.000038333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000215000, 0.000243333, 0.003293333, 0.094553337, 0.096656665, 2.326838255, 0.006040000, 0.006186667, 0.013245000, 0.088121668, 0.090228334, 2.319960117, 0.000063333, 0.000081667, 0.004391667, 0.006105000, 0.006268333, 0.014090000, 0.005838333, 0.005981667, 0.013025000, 0.000035000, 0.000038333, 0.002113333, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000205000, 0.000243333, 0.004450000, 0.094590001, 0.096673332, 2.335708380, 0.006073333, 0.006196667, 0.101736665, 0.088166669, 0.090223335, 2.328979969, 0.000076667, 0.000083333, 0.004351667, 0.006160000, 0.006290000, 0.013868334, 0.005865000, 0.005981667, 0.101504996, 0.000035000, 0.000038333, 0.002428333, 0.000021667, 0.000023333, 0.000043333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
007,10.0, 0.000215000, 0.000243333, 0.004465000, 0.094590001, 0.096668333, 2.329156637, 0.006043334, 0.006160000, 0.014161667, 0.088201664, 0.090290003, 2.320693254, 0.000055000, 0.000086667, 0.000405000, 0.006073333, 0.006218333, 0.013190000, 0.005851666, 0.005953333, 0.013896666, 0.000035000, 0.000040000, 0.002431667, 0.000023333, 0.000026667, 0.000041667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
008,10.0, 0.000235000, 0.000243333, 0.004491667, 0.109114997, 0.117454998, 1.802843332, 0.006180000, 0.007475000, 0.029736666, 0.101149999, 0.109653331, 1.794965029, 0.000061667, 0.000081667, 0.003011667, 0.006936667, 0.007608333, 0.026574999, 0.005975000, 0.007265000, 0.029306667, 0.000035000, 0.000038333, 0.006473333, 0.000021667, 0.000023333, 0.000041667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
009,10.0, 0.000216667, 0.000243333, 0.004735000, 0.110715002, 0.117463335, 1.803706646, 0.007285000, 0.007491667, 0.364266664, 0.102781668, 0.109669998, 1.795148373, 0.000061667, 0.000090000, 0.000365000, 0.005561667, 0.007615000, 0.016673334, 0.007078333, 0.007278333, 0.363979995, 0.000033333, 0.000038333, 0.006456667, 0.000021667, 0.000023333, 0.000045000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
010,10.0, 0.000228333, 0.000243333, 0.004858333, 0.111125000, 0.117415003, 1.804891706, 0.007241667, 0.007496667, 0.017245000, 0.103074998, 0.109626666, 1.796959996, 0.000058333, 0.000080000, 0.002743333, 0.007260000, 0.007618333, 0.016533334, 0.007040000, 0.007291667, 0.013946666, 0.000033333, 0.000036667, 0.005853334, 0.000021667, 0.000023333, 0.002636667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
011,10.0, 0.000233333, 0.000245000, 0.004643333, 0.109535001, 0.117425002, 1.802055001, 0.006080000, 0.007508333, 0.063271664, 0.101521663, 0.109614998, 1.794058323, 0.000058333, 0.000085000, 0.003093333, 0.007266667, 0.007635000, 0.015080000, 0.005885000, 0.007300000, 0.062856667, 0.000035000, 0.000036667, 0.005703333, 0.000021667, 0.000023333, 0.003510000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
012,10.0, 0.000216667, 0.000245000, 0.004741667, 0.111038335, 0.117486663, 1.803948283, 0.006601667, 0.007451667, 0.015031666, 0.103353336, 0.109756663, 1.796000004, 0.000058333, 0.000080000, 0.002998333, 0.007223333, 0.007566667, 0.015008333, 0.006415000, 0.007246667, 0.014433334, 0.000033333, 0.000038333, 0.006840000, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
013,10.0, 0.000216667, 0.000243333, 0.007028333, 0.108225003, 0.117483333, 1.804556608, 0.007101667, 0.007468333, 0.017211666, 0.100356668, 0.109715000, 1.796628356, 0.000056667, 0.000076667, 0.003921667, 0.007218333, 0.007598334, 0.015076667, 0.006903333, 0.007263334, 0.017001666, 0.000033333, 0.000038333, 0.018068334, 0.000021667, 0.000023333, 0.000048333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
014,10.0, 0.000218333, 0.000243333, 0.004643333, 0.110406667, 0.117454998, 1.805041671, 0.007255000, 0.007508333, 0.016938332, 0.102486670, 0.109656669, 1.797151685, 0.000058333, 0.000081667, 0.002998333, 0.007353333, 0.007623333, 0.016553333, 0.007053333, 0.007301667, 0.016705001, 0.000035000, 0.000038333, 0.145355001, 0.000021667, 0.000023333, 0.000046667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
015,10.0, 0.000203333, 0.000243333, 0.004818333, 0.111483335, 0.117508337, 1.804299951, 0.007231667, 0.007471667, 0.016993333, 0.103545003, 0.109751664, 1.796419978, 0.000058333, 0.000078333, 0.003933333, 0.006315000, 0.007590000, 0.015751667, 0.007021667, 0.007265000, 0.016766667, 0.000035000, 0.000038333, 0.005603333, 0.000021667, 0.000023333, 0.000045000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
000,10.0, 0.000233333, 0.000243333, 0.004985000, 0.094434999, 0.096795000, 2.495364904, 0.005093333, 0.006191667, 0.032431666, 0.088023335, 0.090368330, 2.488703251, 0.000065000, 0.000085000, 0.004768333, 0.006126666, 0.006265000, 0.018198334, 0.004898333, 0.005985000, 0.032101668, 0.000035000, 0.000038333, 0.001988333, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000218333, 0.000245000, 0.003266667, 0.094428331, 0.096660003, 2.499666691, 0.006168333, 0.006280000, 0.018143333, 0.087944999, 0.090170003, 2.492858410, 0.000061667, 0.000085000, 0.006580000, 0.004698333, 0.006328333, 0.038699999, 0.005965000, 0.006071667, 0.017883332, 0.000033333, 0.000038333, 0.001948333, 0.000021667, 0.000023333, 0.000038333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000205000, 0.000243333, 0.006313333, 0.094485000, 0.096766666, 2.498976707, 0.006070000, 0.006185000, 0.019766666, 0.088091664, 0.090360001, 2.492486715, 0.000058333, 0.000083333, 0.000511667, 0.006108333, 0.006246667, 0.092041664, 0.005860000, 0.005978333, 0.019525001, 0.000035000, 0.000040000, 0.003375000, 0.000021667, 0.000023333, 0.000045000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000220000, 0.000246667, 0.003386667, 0.094841667, 0.097056665, 2.498243332, 0.004896667, 0.005811667, 0.014260000, 0.088746667, 0.090996668, 2.489936590, 0.000066667, 0.000086667, 0.005050000, 0.005370000, 0.005870000, 0.012988334, 0.004671667, 0.005603333, 0.013978333, 0.000035000, 0.000038333, 0.004485000, 0.000021667, 0.000023333, 0.004326667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.000216667, 0.000245000, 0.004136667, 0.094544999, 0.096751668, 2.494821548, 0.006090000, 0.006208333, 0.011790000, 0.088151664, 0.090328336, 2.487755060, 0.000061667, 0.000090000, 0.002741667, 0.006095000, 0.006263333, 0.014058333, 0.005890000, 0.005996667, 0.011575000, 0.000033333, 0.000038333, 0.002768333, 0.000021667, 0.000023333, 0.002506667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000220000, 0.000243333, 0.004011667, 0.094476670, 0.096738331, 2.498781681, 0.006090000, 0.006198333, 0.049991667, 0.088068336, 0.090248331, 2.491858244, 0.000061667, 0.000086667, 0.000531667, 0.006158333, 0.006326667, 0.012975000, 0.005880000, 0.005986667, 0.049474999, 0.000035000, 0.000038333, 0.001691667, 0.000021667, 0.000023333, 0.000040000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000235000, 0.000243333, 0.004260000, 0.094460003, 0.096778333, 2.501669884, 0.006073333, 0.006185000, 0.014538334, 0.088083334, 0.090383336, 2.493269920, 0.000076667, 0.000081667, 0.003748333, 0.006083333, 0.006231667, 0.012718333, 0.005868333, 0.005976667, 0.014318333, 0.000035000, 0.000038333, 0.004145000, 0.000021667, 0.000023333, 0.000041667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
