tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000013333, 0.000016667, 0.000123333, 0.018230001, 0.044583332,606.060363770, 0.006938333, 0.009950000, 0.029496666, 0.009733333, 0.030291667,606.046813965, 0.000721667, 0.001680000, 0.019436667, 0.006381667, 0.014765834, 0.078450002, 0.006060000, 0.008178334, 0.020576667, 0.000036667, 0.000048333, 0.000240000, 0.000021667, 0.000026667, 0.000401667, 1.000000000, 2.000000000,10.000000000,               0,001
001,10.0, 0.000013333, 0.000016667, 0.000140000, 0.017983334, 0.043166667,715.017944336, 0.007093333, 0.009438333, 0.400381655, 0.011210000, 0.027950000,714.990539551, 0.000750000, 0.001350000, 0.011162500, 0.006453333, 0.015760001, 0.052993335, 0.006133333, 0.007995000, 0.398813337, 0.000038333, 0.000045000, 0.000273333, 0.000021667, 0.000026667, 0.000080000, 1.000000000, 2.000000000, 5.000000000,               0,001
002,10.0, 0.000013333, 0.000016667, 0.003475833, 0.023265000, 0.045158334,720.174194336, 0.008203333, 0.009841667, 0.022155000, 0.014230000, 0.030426666,720.145507812, 0.000745000, 0.001620000, 0.011324166, 0.007431667, 0.015948333, 0.052914999, 0.007155000, 0.008158334, 0.020241667, 0.000035000, 0.000046667, 0.000310000, 0.000021667, 0.000026667, 0.000270000, 1.000000000, 2.000000000, 4.000000000,               0,001
003,10.0, 0.000013333, 0.000016667, 0.009398334, 0.018263333, 0.044918332,708.507446289, 0.007055000, 0.009620000, 0.032320000, 0.011480000, 0.030370001,708.493896484, 0.000741667, 0.001385000, 0.013500000, 0.006415000, 0.015856666, 0.042426668, 0.006136667, 0.008098333, 0.030065417, 0.000036667, 0.000046667, 0.000230000, 0.000021667, 0.000026667, 0.003615000, 1.000000000, 2.000000000, 4.000000000,               0,001
004,10.0, 0.000013333, 0.000016667, 0.000136667, 0.018056666, 0.045592085,641.255371094, 0.006953334, 0.009689166, 0.022893334, 0.010730000, 0.030563334,641.246276855, 0.000715000, 0.001586667, 0.013476667, 0.006555000, 0.015990000, 0.054425001, 0.006051667, 0.008106667, 0.020326667, 0.000036667, 0.000048333, 0.000311667, 0.000021667, 0.000026667, 0.000358333, 1.000000000, 2.000000000, 5.000000000,               0,001
005,10.0, 0.000013333, 0.000016667, 0.000126667, 0.018313333, 0.044308335,579.223510742, 0.007026667, 0.009655000, 0.023461666, 0.010976667, 0.030055000,579.211425781, 0.000346667, 0.001583333, 0.012656666, 0.006393333, 0.015608333, 0.083090000, 0.006148333, 0.008068333, 0.019577917, 0.000035000, 0.000045000, 0.000243333, 0.000021667, 0.000026667, 0.000288333, 1.000000000, 2.000000000,12.000000000,               0,001
006,10.0, 0.000013333, 0.000015000, 0.000335000, 0.018920001, 0.039556667,659.375183105, 0.005776667, 0.007260000, 0.021933334, 0.012513333, 0.025690001,659.361328125, 0.000691667, 0.001215000, 0.011309166, 0.005703333, 0.012785000, 0.089773335, 0.004921667, 0.005885000, 0.020129999, 0.000035000, 0.000041667, 0.003660000, 0.000021667, 0.000026667, 0.003340000, 1.000000000, 2.000000000,15.000000000,               0,001
007,10.0, 0.000013333, 0.000016667, 0.000116667, 0.018311666, 0.044245001,652.093994141, 0.007056667, 0.009785000, 0.022065001, 0.011223333, 0.030075001,652.083740234, 0.000746667, 0.001636667, 0.011457084, 0.006525000, 0.015226667, 0.085940003, 0.006178333, 0.008116666, 0.020679999, 0.000040000, 0.000046667, 0.003211667, 0.000021667, 0.000026667, 0.000261250, 1.000000000, 2.000000000,11.000000000,               0,001
008,10.0, 0.000013333, 0.000016667, 0.000191667, 0.023193333, 0.045393333,590.136230469, 0.008393333, 0.011625000, 0.024049999, 0.012251667, 0.027868334,590.117492676, 0.000776667, 0.001565000, 0.012775000, 0.007888333, 0.018791666, 0.064369999, 0.007355000, 0.009855000, 0.022010000, 0.000036667, 0.000106667, 0.009658333, 0.000021667, 0.000028333, 0.000468333, 1.000000000, 2.000000000, 5.000000000,               0,001
009,10.0, 0.000013333, 0.000016667, 0.000216667, 0.026965000, 0.043821666,721.901672363, 0.009640000, 0.011096667, 0.024520000, 0.014486667, 0.025768334,721.887023926, 0.000776667, 0.001606667, 0.013313334, 0.008416667, 0.011680000, 0.076466665, 0.008131667, 0.009396667, 0.020476667, 0.000036667, 0.000043333, 0.005296667, 0.000021667, 0.000026667, 0.000351667, 1.000000000, 1.000000000, 6.000000000,               0,001
010,10.0, 0.000013333, 0.000016667, 0.004186667, 0.020151667, 0.044063333,673.028625488, 0.008285000, 0.011153333, 0.023259999, 0.011736667, 0.026345000,672.901184082, 0.000788333, 0.001745000, 0.011310000, 0.007670000, 0.018680001, 0.127130002, 0.007321666, 0.009333333, 0.021598333, 0.000035000, 0.000043333, 0.003730000, 0.000021667, 0.000026667, 0.000326667, 1.000000000, 2.000000000,10.000000000,               0,001
011,10.0, 0.000013333, 0.000016667, 0.005233333, 0.020475000, 0.044071667,595.350830078, 0.008401667, 0.010946667, 0.026068751, 0.012000000, 0.027189167,595.335632324, 0.000775000, 0.001518333, 0.013713334, 0.007718334, 0.017785834, 0.098213330, 0.007353333, 0.009295000, 0.023386667, 0.000038333, 0.000045000, 0.000216667, 0.000021667, 0.000026667, 0.000360000, 1.000000000, 2.000000000,10.000000000,               0,001
012,10.0, 0.000013333, 0.000016667, 0.000141667, 0.020868333, 0.044064999,639.285583496, 0.008406667, 0.010873334, 0.024413334, 0.011915000, 0.026965000,639.254028320, 0.000751667, 0.001470000, 0.013181667, 0.007740000, 0.016837500, 0.074290000, 0.007313333, 0.009243334, 0.021410000, 0.000038333, 0.000043333, 0.002530000, 0.000021667, 0.000026667, 0.000083333, 1.000000000, 2.000000000, 6.000000000,               0,001
013,10.0, 0.000013333, 0.000016667, 0.000145000, 0.029029584, 0.044080000,722.608215332, 0.009473333, 0.011070000, 0.032646250, 0.017516667, 0.026270000,722.598449707, 0.000766667, 0.001536667, 0.010917917, 0.008701666, 0.018223334, 0.084610000, 0.008531666, 0.009363334, 0.030502083, 0.000036667, 0.000045000, 0.004618333, 0.000021667, 0.000026667, 0.000353333, 1.000000000, 2.000000000, 7.000000000,               0,001
014,10.0, 0.000013333, 0.000016667, 0.000146667, 0.026538333, 0.043965001,671.947692871, 0.009511666, 0.011065000, 0.030083334, 0.016098334, 0.026433334,671.919982910, 0.000765000, 0.001605000, 0.008093333, 0.008700000, 0.018173333, 0.047610000, 0.008190000, 0.009385000, 0.027493333, 0.000036667, 0.000043333, 0.005273333, 0.000021667, 0.000026667, 0.000360000, 1.000000000, 2.000000000, 5.000000000,               0,001
