tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000013333, 0.000015000, 0.001508333, 0.219741672, 0.223385006,10.693073273, 0.005256667, 0.006291667, 0.027876666, 0.213151664, 0.216684997,10.686202049, 0.000056667, 0.000088333, 0.017321667, 0.005535000, 0.006520000, 0.018595001, 0.005051667, 0.006081667, 0.016506666, 0.000035000, 0.000038333, 0.003073333, 0.000021667, 0.000021667, 0.000323333, 1.000000000, 1.000000000, 1.000000000,               0,000
001,10.0, 0.000013333, 0.000013333, 0.001508333, 0.219400004, 0.223321661,11.167551994, 0.006136667, 0.006320000, 0.016851667, 0.212801665, 0.216697499,11.159937859, 0.000060000, 0.000140000, 0.003475000, 0.004945000, 0.006441667, 0.012368334, 0.005933333, 0.006063333, 0.016583333, 0.000033333, 0.000036667, 0.001676667, 0.000021667, 0.000021667, 0.000043333, 1.000000000, 1.000000000, 1.000000000,               0,000
002,10.0, 0.000013333, 0.000015000, 0.001498333, 0.219471663, 0.223333329, 2.861676693, 0.006096667, 0.006313333,10.464487076, 0.212828338, 0.216723338, 2.854929924, 0.000081667, 0.000095000, 0.000711667, 0.005258333, 0.006438334, 0.013113333, 0.005886666, 0.006098333,10.463459969, 0.000033333, 0.000036667, 0.002940000, 0.000021667, 0.000021667, 0.000326667, 1.000000000, 1.000000000, 1.000000000,               0,000
003,10.0, 0.000013333, 0.000013333, 0.001633333, 0.219843328, 0.223651662,11.171964645, 0.005358333, 0.005815000, 0.107665002, 0.213465005, 0.217468336,11.165104866, 0.000065000, 0.000103333, 0.002868333, 0.005643333, 0.005935000, 0.014028333, 0.005136667, 0.005575000, 0.107148334, 0.000035000, 0.000055000, 0.002945000, 0.000021667, 0.000021667, 0.003785000, 1.000000000, 1.000000000, 1.000000000,               0,000
004,10.0, 0.000013333, 0.000013333, 0.001703333, 0.219490007, 0.223337501,10.692478180, 0.006080000, 0.006278333, 0.082879998, 0.212718338, 0.216651663,10.685741425, 0.000056667, 0.000131667, 0.007470000, 0.005645000, 0.006525000, 0.040196668, 0.005878333, 0.006041666, 0.082405001, 0.000035000, 0.000036667, 0.002876667, 0.000021667, 0.000021667, 0.000323333, 1.000000000, 1.000000000, 1.000000000,               0,000
005,10.0, 0.000013333, 0.000015000, 0.001398333, 0.219589993, 0.223381668,10.693300247, 0.006071667, 0.006270833, 0.114528336, 0.213155001, 0.216804996,10.686446190, 0.000063333, 0.000141667, 0.014498333, 0.006168333, 0.006391667, 0.016808333, 0.005853334, 0.006013333, 0.114193335, 0.000033333, 0.000036667, 0.003685000, 0.000021667, 0.000023333, 0.003820000, 1.000000000, 1.000000000, 1.000000000,               0,000
006,10.0, 0.000013333, 0.000015000, 0.001445000, 0.219113335, 0.223419994,11.170684814, 0.006086667, 0.006236667, 0.013823333, 0.212404996, 0.216786668,11.163698196, 0.000075000, 0.000091667, 0.002621667, 0.006248333, 0.006441667, 0.020190001, 0.005885000, 0.006015000, 0.013593334, 0.000035000, 0.000038333, 0.002831667, 0.000021667, 0.000023333, 0.000338333, 1.000000000, 1.000000000, 1.000000000,               0,000
007,10.0, 0.000013333, 0.000013333, 0.001443333, 0.218239993, 0.223396674,10.691020012, 0.006048333, 0.006231667, 0.031923335, 0.211626664, 0.216755003,10.682823181, 0.000056667, 0.000140000, 0.003626667, 0.005635000, 0.006383333, 0.042163335, 0.005860000, 0.005985000, 0.031610001, 0.000116667, 0.000118333, 0.005385000, 0.000021667, 0.000021667, 0.000320000, 1.000000000, 1.000000000, 1.000000000,               0,000
008,10.0, 0.000013333, 0.000015000, 0.010258334, 0.211759999, 0.222003341,10.688966751, 0.005935000, 0.007506667, 0.021596666, 0.203618333, 0.214158326,10.680961609, 0.000065000, 0.000095000, 0.003778333, 0.005778333, 0.007646667, 0.019091666, 0.005675000, 0.007281667, 0.019453334, 0.000033333, 0.000038333, 0.011836667, 0.000021667, 0.000021667, 0.000371667, 1.000000000, 1.000000000, 1.000000000,               0,000
009,10.0, 0.000013333, 0.000015000, 0.009635000, 0.210086673, 0.222124994,10.690340042, 0.006150000, 0.007455000, 0.021523334, 0.201913327, 0.214155003,10.682200432, 0.000056667, 0.000091667, 0.003540000, 0.007481667, 0.007783333, 0.019051667, 0.005948334, 0.007240000, 0.016728334, 0.000033333, 0.000036667, 0.016555000, 0.000021667, 0.000021667, 0.003183333, 1.000000000, 1.000000000, 1.000000000,               0,000
010,10.0, 0.000013333, 0.000015000, 0.009471667, 0.210263327, 0.222065002,11.168477058, 0.007211667, 0.007525000, 0.178988338, 0.202096671, 0.214148328,11.158056259, 0.000058333, 0.000143333, 0.039081667, 0.005388333, 0.007728333, 0.016933333, 0.007008333, 0.007261666, 0.139504999, 0.000033333, 0.000036667, 0.011971666, 0.000021667, 0.000025000, 0.003415000, 1.000000000, 1.000000000, 1.000000000,               0,000
011,10.0, 0.000013333, 0.000015000, 0.009048333, 0.209415004, 0.222036660,10.690581322, 0.005521667, 0.007548333, 0.051151667, 0.201388329, 0.214120001,10.681458473, 0.000060000, 0.000115000, 0.003531667, 0.005530000, 0.007728333, 0.915421665, 0.005311667, 0.007311667, 0.043970000, 0.000033333, 0.000035000, 0.019811668, 0.000021667, 0.000021667, 0.000325000, 1.000000000, 1.000000000, 1.000000000,               0,000
012,10.0, 0.000013333, 0.000015000, 0.009970000, 0.211276665, 0.222093329,10.691631317, 0.007140000, 0.007520000, 0.069665000, 0.203068331, 0.214129999,10.683600426, 0.000065000, 0.000091667, 0.014583333, 0.007438333, 0.007771667, 0.017905001, 0.006918333, 0.007295000, 0.028024999, 0.000033333, 0.000038333, 0.010445000, 0.000021667, 0.000021667, 0.002920000, 1.000000000, 1.000000000, 1.000000000,               0,000
013,10.0, 0.000013333, 0.000015000, 0.009710000, 0.209553331, 0.222056672,10.690844536, 0.007126667, 0.007525000, 0.028271666, 0.201509997, 0.214165002,10.682829857, 0.000063333, 0.000095000, 0.002850000, 0.007363333, 0.007701667, 0.018543333, 0.006921667, 0.007298333, 0.027884999, 0.000035000, 0.000038333, 0.015930001, 0.000021667, 0.000021667, 0.000301667, 1.000000000, 1.000000000, 1.000000000,               0,000
014,10.0, 0.000013333, 0.000015000, 0.009595000, 0.210358337, 0.222149998,10.690778732, 0.007271667, 0.007500000, 0.036956668, 0.202261671, 0.214230001,10.682716370, 0.000058333, 0.000085000, 0.005403333, 0.005351667, 0.007713333, 0.018668333, 0.007078333, 0.007288333, 0.027528333, 0.000035000, 0.000038333, 0.013535000, 0.000021667, 0.000021667, 0.000165000, 1.000000000, 1.000000000, 1.000000000,               0,000
015,10.0, 0.000013333, 0.000015000, 0.009706667, 0.210804999, 0.222111672,10.691695213, 0.005311667, 0.007503334, 0.088218331, 0.202775002, 0.214190006,10.683456421, 0.000068333, 0.000088333, 0.002513333, 0.007460000, 0.007718334, 0.031478334, 0.005118333, 0.007290000, 0.087779999, 0.000035000, 0.000038333, 0.015445000, 0.000021667, 0.000021667, 0.000105000, 1.000000000, 1.000000000, 1.000000000,               0,000
000,10.0, 0.000013333, 0.000015000, 0.001531667, 0.219983339, 0.224069998, 2.791071653, 0.004896667, 0.006263333, 0.149578333, 0.213345006, 0.217438340, 2.781651735, 0.000056667, 0.000088333, 0.002608333, 0.006295000, 0.006460000, 0.030023333, 0.004703333, 0.006056667, 0.148674995, 0.000035000, 0.000038333, 0.002785000, 0.000021667, 0.000021667, 0.000326667, 1.000000000, 1.000000000, 1.000000000,               0,000
001,10.0, 0.000013333, 0.000015000, 0.002821667, 0.220033333, 0.224004164, 2.288356781, 0.006078333, 0.006290000, 0.021015000, 0.213413328, 0.217363328, 2.281599998, 0.000060000, 0.000141667, 0.004176666, 0.005380000, 0.006455000, 0.013908333, 0.005866667, 0.006033333, 0.012815000, 0.000033333, 0.000035000, 0.003326667, 0.000021667, 0.000021667, 0.000055000, 1.000000000, 1.000000000, 1.000000000,               0,000
002,10.0, 0.000013333, 0.000015000, 0.001555000, 0.219708338, 0.224006668, 2.287518263, 0.006081667, 0.006295000, 0.013116667, 0.212986663, 0.217370003, 2.280798435, 0.000071667, 0.000100000, 0.006076667, 0.005388333, 0.006461667, 0.046179999, 0.005871667, 0.006071667, 0.012873333, 0.000033333, 0.000038333, 0.003895000, 0.000021667, 0.000021667, 0.000321667, 1.000000000, 1.000000000, 1.000000000,               0,000
003,10.0, 0.000013333, 0.000015000, 0.001620000, 0.219916672, 0.224370003, 2.788739920, 0.004691666, 0.005806667, 0.017388333, 0.213281661, 0.218040004, 2.782211781, 0.000068333, 0.000143333, 0.003188333, 0.005550000, 0.006086667, 0.014845000, 0.004341667, 0.005550000, 0.017145000, 0.000038333, 0.000055000, 0.002031667, 0.000021667, 0.000021667, 0.000396667, 1.000000000, 1.000000000, 1.000000000,               0,000
004,10.0, 0.000013333, 0.000015000, 0.001570000, 0.219938338, 0.224014997, 2.022979975, 0.004928333, 0.006263333, 2.068831682, 0.213333338, 0.217331663, 2.016206741, 0.000056667, 0.000136667, 0.000605000, 0.005891667, 0.006506667, 0.036588334, 0.004675000, 0.006008334, 2.068434954, 0.000035000, 0.000038333, 0.003120000, 0.000021667, 0.000021667, 0.000340000, 1.000000000, 1.000000000, 1.000000000,               0,000
005,10.0, 0.000013333, 0.000015000, 0.001606667, 0.219571665, 0.224024996, 2.787811756, 0.005188333, 0.006256667, 0.030175000, 0.213096663, 0.217419997, 2.776298285, 0.000058333, 0.000133333, 0.004325000, 0.006211667, 0.006428333, 0.012490000, 0.004946667, 0.006010000, 0.029778333, 0.000033333, 0.000038333, 0.003035000, 0.000021667, 0.000023333, 0.000371667, 1.000000000, 1.000000000, 1.000000000,               0,000
006,10.0, 0.000013333, 0.000015000, 0.001476667, 0.208413333, 0.224118337, 2.287925005, 0.006030000, 0.006203333, 0.012348333, 0.201798335, 0.217496663, 2.281310081, 0.000060000, 0.000140000, 0.004233333, 0.005483333, 0.006448333, 0.020866666, 0.005805000, 0.005948334, 0.012078334, 0.000035000, 0.000038333, 0.002081667, 0.000021667, 0.000023333, 0.000325000, 1.000000000, 1.000000000, 1.000000000,               0,000
007,10.0, 0.000013333, 0.000013333, 0.001565000, 0.219668329, 0.224038333, 2.934245110, 0.006010000, 0.006260000, 0.042786665, 0.213021666, 0.217318326, 2.927449942, 0.000056667, 0.000148333, 0.004261666, 0.006208333, 0.006456667, 0.043271668, 0.005798333, 0.006005000, 0.042433333, 0.000116667, 0.000118333, 0.002308333, 0.000021667, 0.000021667, 0.000323333, 1.000000000, 1.000000000, 1.000000000,               0,000
008,10.0, 0.000013333, 0.000015000, 0.006345000, 0.214601666, 0.222690001, 2.787194967, 0.005080000, 0.007516667, 0.014926666, 0.205696672, 0.214664996, 2.779161692, 0.000061667, 0.000136667, 0.004066667, 0.007501666, 0.007825000, 0.015956666, 0.004820000, 0.007271667, 0.014655000, 0.000033333, 0.000036667, 0.008660000, 0.000021667, 0.000021667, 0.000326667, 1.000000000, 1.000000000, 1.000000000,               0,000
009,10.0, 0.000013333, 0.000015000, 0.004295000, 0.214589998, 0.222790003, 2.287041664, 0.006106667, 0.007465000, 0.020863334, 0.206478328, 0.214813337, 2.278921604, 0.000056667, 0.000133333, 0.003191667, 0.005688333, 0.007793333, 0.018321667, 0.005840000, 0.007223333, 0.020573333, 0.000033333, 0.000036667, 0.005905000, 0.000021667, 0.000021667, 0.000365000, 1.000000000, 1.000000000, 1.000000000,               0,000
010,10.0, 0.000013333, 0.000015000, 0.004653333, 0.214566663, 0.222746670, 2.287693262, 0.005178333, 0.007516667, 0.017513333, 0.206544995, 0.214843333, 2.279298306, 0.000058333, 0.000093333, 0.003371667, 0.007375000, 0.007721667, 0.021220000, 0.004920000, 0.007290000, 0.017260000, 0.000033333, 0.000036667, 0.009920000, 0.000021667, 0.000025000, 0.000276667, 1.000000000, 1.000000000, 1.000000000,               0,000
011,10.0, 0.000013333, 0.000015000, 0.004731667, 0.215791672, 0.222743332, 2.288266659, 0.005475000, 0.007520000, 0.016278334, 0.207684994, 0.214828327, 2.279851675, 0.000060000, 0.000133333, 0.003106667, 0.005360000, 0.007733333, 0.016925000, 0.005228333, 0.007283333, 0.015366667, 0.000033333, 0.000035000, 0.007125000, 0.000021667, 0.000021667, 0.000321667, 1.000000000, 1.000000000, 1.000000000,               0,000
