tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000243333, 0.000250000, 0.009361667, 0.007295000, 0.008106667, 0.018958334, 0.007988334, 0.009570000, 0.024089999, 0.000063333, 0.000065000, 0.003630000, 0.000075000, 0.001660000, 0.016278334, 0.007063333, 0.007873333, 0.018725000, 0.006988334, 0.007743333, 0.019533332, 0.000043333, 0.000046667, 0.000148333, 0.000025000, 0.000028333, 0.002903333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000243333, 0.000251667, 0.007081666, 0.007313333, 0.008160000,1135.071411133, 0.007876666, 0.009618334, 0.018116666, 0.000046667, 0.000065000,1135.059082031, 0.000070000, 0.001655000, 0.008005000, 0.007088333, 0.007933334, 0.021588333, 0.007015000, 0.007806667, 0.016024999, 0.000040000, 0.000041667, 0.000140000, 0.000025000, 0.000028333, 0.000050000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
002,10.0, 0.000243333, 0.000248333, 0.007473333, 0.007388333, 0.008248333,3333.576416016, 0.007443334, 0.009698333, 0.016196666, 0.000046667, 0.000065000,3333.562011719, 0.000063333, 0.001665000, 0.007616667, 0.007156667, 0.008016666, 0.014740000, 0.007091667, 0.007871667, 0.014328334, 0.000041667, 0.000046667, 0.000213333, 0.000025000, 0.000028333, 0.000046667, 1.000000000, 1.000000000, 1.000000000,       100663296,000
003,10.0, 0.000245000, 0.000251667, 0.003031667, 0.007378333, 0.008215000,6286.968750000, 0.008823333, 0.009683333, 0.022280000, 0.000063333, 0.000066667,6286.952636719, 0.001561667, 0.001675000, 0.013017917, 0.007148333, 0.007975000, 0.026263334, 0.007090000, 0.007853333, 0.019335000, 0.000040000, 0.000043333, 0.005496667, 0.000025000, 0.000028333, 0.000090000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
004,10.0, 0.002800000, 0.002800000, 0.002800000,10000.146484375,10000.146484375,10000.146484375, 0.025060000, 0.025060000, 0.025060000,10000.119140625,10000.119140625,10000.119140625, 0.003860000, 0.003860000, 0.003860000, 0.015863333, 0.015863333, 0.015863333, 0.015503333, 0.015503333, 0.015503333, 0.003270000, 0.003270000, 0.003270000, 0.000063333, 0.000063333, 0.000063333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
005,10.0, 0.000230000, 0.000251667, 0.014843334, 0.007246667, 0.008067500,6633.309082031, 0.008993333, 0.009513333, 0.025056666, 0.000058333, 0.000065000,6633.273925781, 0.001528333, 0.001661667, 0.014583333, 0.007028333, 0.007833334, 0.036163334, 0.007223333, 0.007691666, 0.020823333, 0.000043333, 0.000046667, 0.005210833, 0.000021667, 0.000028333, 0.000120000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
006,10.0, 0.000213333, 0.000337500, 0.002500000, 0.005998333, 0.007875000,9954.342773438, 0.005905000, 0.009671250, 0.018837500, 0.000041667, 0.000087500,9954.316406250, 0.000065000, 0.002055000, 0.003022500, 0.005810000, 0.007567500, 0.018042499, 0.005676667, 0.007371250, 0.016559999, 0.000035000, 0.000057500, 0.002962500, 0.000021667, 0.000037500, 0.000067500, 1.000000000, 1.000000000, 1.000000000,       100663296,000
007,10.0, 0.000520000, 0.001666667, 0.002813333,3713.149902344,5000.043457031,6286.937011719, 0.014093333, 0.018253334, 0.022413334,3713.108398438,5000.015136719,6286.921386719, 0.003400000, 0.003640000, 0.003880000, 0.014556667, 0.020001667, 0.025446666, 0.010106667, 0.011666667, 0.013226666, 0.000330000, 0.002948333, 0.005566667, 0.000083333, 0.000088333, 0.000093333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
000,10.0, 0.000243333, 0.000251667, 0.011030000, 0.007303333, 0.008098333,7935.971679688, 0.007873333, 0.009578333, 0.056171667, 0.000046667, 0.000066667,7935.931640625, 0.000070000, 0.001661667, 0.009931667, 0.007073333, 0.007860000, 0.325623333, 0.007025000, 0.007753334, 0.053945001, 0.000043333, 0.000046667, 0.003123333, 0.000025000, 0.000028333, 0.000060000, 1.000000000, 1.000000000, 1.000000000,       100663296,000
001,10.0, 0.000443333, 0.001578333, 0.002713333,1533.227783203,5000.085449219,8466.943359375, 0.017290000, 0.019556666, 0.021823334,1533.216186523,5000.066894531,8466.917968750, 0.002756667, 0.003071667, 0.003386667, 0.011136667, 0.011338334, 0.011540000, 0.013170000, 0.013696667, 0.014223333, 0.000096667, 0.001678333, 0.003260000, 0.000046667, 0.000050000, 0.000053333, 1.000000000, 1.000000000, 1.000000000,       100663296,000
