tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,10.0, 0.000226667, 0.000253333, 0.003348333, 0.131909996, 0.202163339, 0.616636693, 0.006700000, 0.007555000, 0.023223333, 0.124126665, 0.186341673, 0.608413339, 0.000048333, 0.000053333, 0.002948333, 0.006956667, 0.015051667, 0.057616666, 0.005445000, 0.007356666, 0.016616667, 0.000035000, 0.000040000, 0.003370000, 0.000021667, 0.000025000, 0.004265000, 1.000000000, 2.000000000, 7.000000000,       100663296,001
001,10.0, 0.000213333, 0.000308333, 0.004183333, 0.154443339, 0.201868340, 0.640690029, 0.006813333, 0.007641667, 0.019136667, 0.138809994, 0.188388333, 0.625118315, 0.000046667, 0.000056667, 0.002953333, 0.007133333, 0.015211667, 0.207936659, 0.006586667, 0.007440000, 0.018913334, 0.000035000, 0.000040000, 0.002866667, 0.000021667, 0.000025000, 0.000046667, 1.000000000, 2.000000000,28.000000000,       100663296,001
002,10.0, 0.000225000, 0.000253333, 0.004190000, 0.131931663, 0.202278331, 0.615766644, 0.006760000, 0.007568333, 0.016813334, 0.124025002, 0.185980007, 0.482549995, 0.000048333, 0.000058333, 0.000595000, 0.006958333, 0.015151666, 0.422146678, 0.006553333, 0.007366667, 0.016615000, 0.000035000, 0.000040000, 0.002790000, 0.000021667, 0.000025000, 0.000046667, 1.000000000, 2.000000000,57.000000000,       100663296,001
003,10.0, 0.000228333, 0.000253333, 0.001728333, 0.146756664, 0.201780006, 0.610816658, 0.006726667, 0.007563333, 0.016836667, 0.123936668, 0.185599163, 0.600961685, 0.000048333, 0.000053333, 0.002745000, 0.006875000, 0.015106667, 0.062178332, 0.006538333, 0.007365000, 0.016636666, 0.000040000, 0.000126667, 0.005001666, 0.000021667, 0.000025000, 0.000045000, 1.000000000, 2.000000000, 8.000000000,       100663296,001
004,10.0, 0.000223333, 0.000251667, 0.004970000, 0.153209999, 0.199114993, 0.638516665, 0.007895000, 0.009515000, 0.220026672, 0.133911669, 0.179335833, 0.609328330, 0.000048333, 0.000070000, 0.003166667, 0.008265000, 0.018573333, 0.055036668, 0.007678333, 0.009223334, 0.020208333, 0.000035000, 0.000096667, 0.007396667, 0.000021667, 0.000023333, 0.000163333, 1.000000000, 2.000000000, 6.000000000,       100663296,001
005,10.0, 0.000243333, 0.000308333, 0.006270000, 0.137708336, 0.199351668, 0.628486693, 0.007888333, 0.009098333, 0.079400003, 0.128098339, 0.180170000, 0.591738343, 0.000048333, 0.000061667, 0.008431667, 0.008503334, 0.018076668, 0.156503335, 0.007668333, 0.008895000, 0.070591666, 0.000035000, 0.000043333, 0.007378333, 0.000021667, 0.000025000, 0.000050000, 1.000000000, 2.000000000,17.000000000,       100663296,001
006,10.0, 0.000223333, 0.000251667, 0.006303333, 0.154266670, 0.199664995, 0.637651682, 0.007961666, 0.009003334, 0.018706666, 0.140129998, 0.180968329, 0.610726655, 0.000048333, 0.000053333, 0.002903333, 0.008043333, 0.017898334, 0.062706664, 0.007776667, 0.008808333, 0.018500000, 0.000035000, 0.000040000, 0.007511667, 0.000021667, 0.000025000, 0.000058333, 1.000000000, 2.000000000, 7.000000000,       100663296,001
007,10.0, 0.000228333, 0.000251667, 0.007066667, 0.145746663, 0.199923337, 0.636749983, 0.007950000, 0.008953333, 0.061390001, 0.127859995, 0.180812493, 0.609854996, 0.000048333, 0.000055000, 0.000386667, 0.008160000, 0.017925000, 0.220781669, 0.007763333, 0.008753333, 0.061161667, 0.000036667, 0.000040000, 0.008208334, 0.000021667, 0.000025000, 0.000053333, 1.000000000, 2.000000000,25.000000000,       100663296,001
000,10.0, 0.000231667, 0.000253333, 0.004113333, 0.136731669, 0.202006668, 0.522758305, 0.006785000, 0.007561667, 0.017531667, 0.125803337, 0.185580835, 0.507239997, 0.000048333, 0.000055000, 0.001831667, 0.006926666, 0.015113333, 0.061211668, 0.006598333, 0.007365000, 0.017318333, 0.000035000, 0.000038333, 0.002906667, 0.000021667, 0.000025000, 0.000045000, 1.000000000, 2.000000000, 8.000000000,       100663296,001
001,10.0, 0.000243333, 0.000308333, 0.003145000, 0.132253334, 0.201165006, 0.514696658, 0.006761667, 0.007613333, 0.015648333, 0.124361664, 0.188830003, 0.490436673, 0.000048333, 0.000055000, 0.002711667, 0.007063333, 0.015145000, 0.286844999, 0.006561667, 0.007416666, 0.015461667, 0.000035000, 0.000040000, 0.003393333, 0.000021667, 0.000025000, 0.002265000, 1.000000000, 2.000000000, 7.000000000,       100663296,001
