lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007835,0000071,0000041,0001006,0005360,0007093,0005912,001024,001,000,0001
0010730,0000140,0000091,0001194,0008606,0009759,0010028,001024,001,000,0001
0007844,0000071,0000041,0001006,0005340,0007073,0005891,001024,001,001,0001
0010630,0000141,0000090,0001124,0008626,0009758,0009488,001024,001,001,0001
0007885,0000070,0000041,0001006,0005360,0007134,0005911,001024,001,002,0001
0010640,0000140,0000091,0001023,0008606,0009798,0009759,001024,001,002,0001
0007875,0000070,0000040,0001006,0005351,0007104,0005892,001024,001,003,0001
0010671,0000131,0000100,0001140,0008396,0009769,0009969,001024,001,003,0001
0007835,0000070,0000041,0001006,0005360,0007063,0005921,001024,001,004,0001
0010700,0000131,0000080,0001197,0008446,0009798,0009859,001024,001,004,0001
0007665,0000170,0000100,0001005,0005360,0007213,0005902,001024,001,000,0512
0010690,0000661,0000180,0001024,0008987,0009949,0009728,001024,001,000,0512
0007644,0000170,0000090,0001006,0005360,0007163,0005901,001024,001,001,0512
0010570,0000692,0000190,0001042,0008566,0009819,0009468,001024,001,001,0512
0007664,0000170,0000100,0001005,0005361,0007174,0005902,001024,001,002,0512
0010861,0000682,0000180,0001194,0008947,0010089,0009788,001024,001,002,0512
0007575,0000170,0000090,0001005,0005330,0007083,0005881,001024,001,003,0512
0010570,0000691,0000171,0001024,0008386,0009849,0009218,001024,001,003,0512
0007634,0000170,0000100,0001006,0005370,0007153,0005921,001024,001,004,0512
0010540,0000751,0000180,0001021,0008536,0009839,0010430,001024,001,004,0512
