lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0008135,0001503,0006091,0001005,0005119,0007253,0005881,001024,001,000,0001
0011913,0001561,0010280,0001009,0008697,0010379,0010079,001024,001,000,0001
0008206,0001506,0006101,0001006,0005130,0007324,0005891,001024,001,001,0001
0011812,0001568,0010239,0001009,0008216,0010430,0010079,001024,001,001,0001
0008196,0001506,0006102,0001006,0005140,0007324,0005901,001024,001,002,0001
0011712,0001692,0010299,0001009,0008536,0010350,0010109,001024,001,002,0001
0008185,0001506,0006092,0001006,0005130,0007304,0005891,001024,001,003,0001
0011923,0001695,0010139,0001009,0008165,0010450,0010049,001024,001,003,0001
0008216,0001506,0006082,0001005,0005120,0007344,0005872,001024,001,004,0001
0011872,0001566,0010290,0001009,0008536,0010510,0010099,001024,001,004,0001
0007664,0000180,0000040,0001007,0006132,0007164,0006693,001024,001,000,0512
0016722,0001029,0019156,0001015,0019877,0016180,0022933,001024,001,000,0512
0009939,0000180,0000030,0001008,0009247,0009407,0011472,001024,001,001,0512
0018054,0001040,0022182,0001016,0022292,0017463,0024867,001024,001,001,0512
0007584,0000180,0000040,0001007,0006002,0007083,0006552,001024,001,002,0512
0016411,0001024,0017874,0001015,0018906,0015879,0022483,001024,001,002,0512
0009848,0000181,0000030,0001008,0009127,0009317,0011271,001024,001,003,0512
0018094,0001039,0022192,0001016,0022282,0017513,0024917,001024,001,003,0512
0009848,0000181,0000030,0001008,0009218,0009318,0011301,001024,001,004,0512
0017913,0001039,0022142,0001016,0022252,0017323,0024807,001024,001,004,0512
