tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00243100,00243100,020,02991017,001024,001,000,0001
000,00242227,00242227,020,03006664,001024,002,000,0001
000,00241598,00241598,020,03033078,001024,003,000,0001
000,00236821,00236821,020,02988705,001024,004,000,0001
000,00238756,00238756,020,03017455,001024,001,001,0001
000,00242559,00242559,020,02968467,001024,002,001,0001
000,00240053,00240053,020,02989255,001024,003,001,0001
000,00234673,00234673,020,02974505,001024,004,001,0001
000,00232598,00232598,020,02850328,001024,001,002,0001
000,00231583,00231583,020,02839218,001024,002,002,0001
000,00228238,00228238,020,02880214,001024,003,002,0001
000,00229830,00229830,020,02841832,001024,004,002,0001
000,00240671,00240671,020,02972235,001024,001,003,0001
000,00239462,00239462,020,03014587,001024,002,003,0001
000,00239480,00239480,020,02986370,001024,003,003,0001
000,00236409,00236409,020,02984412,001024,004,003,0001
000,00239734,00239734,020,03002763,001024,001,004,0001
000,00237900,00237900,020,02982114,001024,002,004,0001
000,00241276,00241276,020,02956598,001024,003,004,0001
000,00234837,00234837,020,02948576,001024,004,004,0001
000,00778292,00778292,020,01566013,001024,001,000,0512
000,00798468,00798468,020,01608548,001024,002,000,0512
000,00792578,00792578,020,01595059,001024,003,000,0512
000,00792399,00792399,020,01593858,001024,004,000,0512
000,00788654,00788654,020,01586568,001024,001,001,0512
000,00776657,00776657,020,01561760,001024,002,001,0512
000,00786397,00786397,020,01581685,001024,003,001,0512
000,00783535,00783535,020,01576075,001024,004,001,0512
000,00815341,00815341,020,01639593,001024,001,002,0512
000,00826390,00826390,020,01661261,001024,002,002,0512
000,00820179,00820179,020,01648871,001024,003,002,0512
000,00817366,00817366,020,01643412,001024,004,002,0512
000,00776740,00776740,020,01566207,001024,001,003,0512
000,00797116,00797116,020,01606686,001024,002,003,0512
000,00791284,00791284,020,01594347,001024,003,003,0512
000,00785176,00785176,020,01578586,001024,004,003,0512
000,00815153,00815153,020,01639129,001024,001,004,0512
000,00825406,00825406,020,01659732,001024,002,004,0512
000,00817016,00817016,020,01642367,001024,003,004,0512
000,00820482,00820482,020,01649711,001024,004,004,0512
