tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00099800,00099800,010,00199600,001024,001,000,0256
001,00098600,00098600,010,00197200,001024,001,000,0256
002,00099000,00099000,010,00198000,001024,001,000,0256
003,00099099,00099099,010,00198198,001024,001,000,0256
004,00097600,00097600,010,00195200,001024,001,000,0256
005,00097900,00097900,010,00195800,001024,001,000,0256
006,00099700,00099700,010,00199400,001024,001,000,0256
007,00097900,00097900,010,00195800,001024,001,000,0256
008,00099262,00099262,010,00198524,001024,001,000,0256
009,00098400,00098400,010,00196800,001024,001,000,0256
010,00100000,00100000,010,00200000,001024,001,000,0256
011,00098900,00098900,010,00197800,001024,001,000,0256
012,00099800,00099800,010,00199600,001024,001,000,0256
013,00098700,00098700,010,00197400,001024,001,000,0256
014,00098600,00098600,010,00197200,001024,001,000,0256
015,00098100,00098100,010,00196200,001024,001,000,0256
016,00099200,00099200,010,00198400,001024,001,000,0256
017,00098400,00098400,010,00196800,001024,001,000,0256
018,00097500,00097500,010,00195000,001024,001,000,0256
019,00098800,00098800,010,00197600,001024,001,000,0256
020,00098400,00098400,010,00196800,001024,001,000,0256
021,00098800,00098800,010,00197600,001024,001,000,0256
022,00098000,00098000,010,00196000,001024,001,000,0256
023,00097100,00097100,010,00194200,001024,001,000,0256
024,00099066,00099066,010,00198132,001024,001,000,0256
025,00099500,00099500,010,00199000,001024,001,000,0256
026,00099100,00099100,010,00198200,001024,001,000,0256
027,00098800,00098800,010,00197600,001024,001,000,0256
028,00099300,00099300,010,00198600,001024,001,000,0256
029,00099500,00099500,010,00199000,001024,001,000,0256
030,00098800,00098800,010,00197600,001024,001,000,0256
031,00098290,00098290,010,00196580,001024,001,000,0256
000,00095600,00095600,010,00191200,001024,001,001,0256
001,00096700,00096700,010,00193400,001024,001,001,0256
002,00094900,00094900,010,00189800,001024,001,001,0256
003,00095300,00095300,010,00190600,001024,001,001,0256
004,00095100,00095100,010,00190200,001024,001,001,0256
005,00096600,00096600,010,00193200,001024,001,001,0256
006,00095300,00095300,010,00190600,001024,001,001,0256
007,00094200,00094200,010,00188400,001024,001,001,0256
008,00096400,00096400,010,00192800,001024,001,001,0256
009,00096100,00096100,010,00192200,001024,001,001,0256
010,00096400,00096400,010,00192800,001024,001,001,0256
011,00096200,00096200,010,00192400,001024,001,001,0256
012,00095800,00095800,010,00191600,001024,001,001,0256
013,00095991,00095991,010,00191982,001024,001,001,0256
014,00094962,00094962,010,00189924,001024,001,001,0256
015,00095800,00095800,010,00191600,001024,001,001,0256
016,00095900,00095900,010,00191800,001024,001,001,0256
017,00095600,00095600,010,00191200,001024,001,001,0256
018,00095500,00095500,010,00191000,001024,001,001,0256
019,00095900,00095900,010,00191800,001024,001,001,0256
020,00095200,00095200,010,00190400,001024,001,001,0256
021,00095376,00095376,010,00190752,001024,001,001,0256
022,00094900,00094900,010,00189800,001024,001,001,0256
023,00096200,00096200,010,00192400,001024,001,001,0256
024,00094876,00094876,010,00189752,001024,001,001,0256
025,00096084,00096084,010,00192168,001024,001,001,0256
026,00096800,00096800,010,00193600,001024,001,001,0256
027,00096700,00096700,010,00193400,001024,001,001,0256
028,00095033,00095033,010,00190066,001024,001,001,0256
029,00096400,00096400,010,00192800,001024,001,001,0256
030,00096382,00096382,010,00192764,001024,001,001,0256
031,00095809,00095809,010,00191618,001024,001,001,0256
000,00076300,00076300,010,00152600,001024,001,002,0256
001,00076366,00076366,010,00152732,001024,001,002,0256
002,00075600,00075600,010,00151200,001024,001,002,0256
003,00076100,00076100,010,00152200,001024,001,002,0256
004,00075387,00075387,010,00150774,001024,001,002,0256
005,00076300,00076300,010,00152600,001024,001,002,0256
006,00077600,00077600,010,00155200,001024,001,002,0256
007,00077600,00077600,010,00155200,001024,001,002,0256
008,00076900,00076900,010,00153800,001024,001,002,0256
009,00075900,00075900,010,00151800,001024,001,002,0256
010,00075300,00075300,010,00150600,001024,001,002,0256
011,00075800,00075800,010,00151600,001024,001,002,0256
012,00076300,00076300,010,00152600,001024,001,002,0256
013,00075200,00075200,010,00150400,001024,001,002,0256
014,00075900,00075900,010,00151800,001024,001,002,0256
015,00075600,00075600,010,00151200,001024,001,002,0256
016,00076300,00076300,010,00152600,001024,001,002,0256
017,00076416,00076416,010,00152832,001024,001,002,0256
018,00076900,00076900,010,00153800,001024,001,002,0256
019,00075400,00075400,010,00150800,001024,001,002,0256
020,00077000,00077000,010,00154000,001024,001,002,0256
021,00075900,00075900,010,00151800,001024,001,002,0256
022,00076300,00076300,010,00152600,001024,001,002,0256
023,00076370,00076370,010,00152740,001024,001,002,0256
024,00076700,00076700,010,00153400,001024,001,002,0256
025,00076200,00076200,010,00152400,001024,001,002,0256
026,00075561,00075561,010,00151122,001024,001,002,0256
027,00076700,00076700,010,00153400,001024,001,002,0256
028,00075700,00075700,010,00151400,001024,001,002,0256
029,00075351,00075351,010,00150702,001024,001,002,0256
030,00076000,00076000,010,00152000,001024,001,002,0256
031,00075200,00075200,010,00150400,001024,001,002,0256
