tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00097702,00097702,010,00240086,001024,001,000,0256
001,00097470,00097470,010,00248874,001024,001,000,0256
002,00105236,00105236,010,00247185,001024,001,000,0256
003,00090572,00090572,010,00233114,001024,001,000,0256
004,00095176,00095176,010,00244962,001024,001,000,0256
005,00083283,00083283,010,00214062,001024,001,000,0256
006,00108066,00108066,010,00265886,001024,001,000,0256
007,00104888,00104888,010,00262876,001024,001,000,0256
008,00120772,00120772,010,00308401,001024,001,000,0256
009,00095864,00095864,010,00245489,001024,001,000,0256
010,00100868,00100868,010,00255811,001024,001,000,0256
011,00096564,00096564,010,00236961,001024,001,000,0256
012,00091335,00091335,010,00221885,001024,001,000,0256
013,00099085,00099085,010,00239030,001024,001,000,0256
014,00096976,00096976,010,00244932,001024,001,000,0256
015,00108137,00108137,010,00263032,001024,001,000,0256
016,00099397,00099397,010,00257644,001024,001,000,0256
017,00099607,00099607,010,00245672,001024,001,000,0256
018,00110811,00110811,010,00271355,001024,001,000,0256
019,00090890,00090890,010,00227525,001024,001,000,0256
020,00114808,00114808,010,00273946,001024,001,000,0256
021,00092357,00092357,010,00228448,001024,001,000,0256
022,00115990,00115990,010,00284753,001024,001,000,0256
023,00079963,00079963,010,00218626,001024,001,000,0256
024,00101434,00101434,010,00249067,001024,001,000,0256
025,00111548,00111548,010,00293850,001024,001,000,0256
026,00102913,00102913,010,00244664,001024,001,000,0256
027,00090042,00090042,010,00237919,001024,001,000,0256
028,00103388,00103388,010,00268296,001024,001,000,0256
029,00110848,00110848,010,00278246,001024,001,000,0256
030,00110807,00110807,010,00277583,001024,001,000,0256
031,00113589,00113589,010,00279366,001024,001,000,0256
000,00108438,00108438,010,00271286,001024,002,000,0256
001,00110619,00110619,010,00271931,001024,002,000,0256
002,00115348,00115348,010,00279285,001024,002,000,0256
003,00081846,00081846,010,00202062,001024,002,000,0256
004,00109301,00109301,010,00273239,001024,002,000,0256
005,00118255,00118255,010,00293246,001024,002,000,0256
006,00092801,00092801,010,00236498,001024,002,000,0256
007,00098123,00098123,010,00246422,001024,002,000,0256
008,00121591,00121591,010,00305398,001024,002,000,0256
009,00106719,00106719,010,00249947,001024,002,000,0256
010,00103980,00103980,010,00251853,001024,002,000,0256
011,00091921,00091921,010,00240454,001024,002,000,0256
012,00114311,00114311,010,00295375,001024,002,000,0256
013,00101157,00101157,010,00254279,001024,002,000,0256
014,00096965,00096965,010,00242400,001024,002,000,0256
015,00100608,00100608,010,00256948,001024,002,000,0256
016,00102920,00102920,010,00255689,001024,002,000,0256
017,00118606,00118606,010,00307283,001024,002,000,0256
018,00096243,00096243,010,00234592,001024,002,000,0256
019,00106515,00106515,010,00288034,001024,002,000,0256
020,00085127,00085127,010,00205135,001024,002,000,0256
021,00089047,00089047,010,00235681,001024,002,000,0256
022,00119685,00119685,010,00296094,001024,002,000,0256
023,00097696,00097696,010,00235691,001024,002,000,0256
024,00104809,00104809,010,00255376,001024,002,000,0256
025,00106550,00106550,010,00255126,001024,002,000,0256
026,00093744,00093744,010,00221674,001024,002,000,0256
027,00101389,00101389,010,00259827,001024,002,000,0256
028,00122881,00122881,010,00290947,001024,002,000,0256
029,00117255,00117255,010,00283824,001024,002,000,0256
030,00107234,00107234,010,00263592,001024,002,000,0256
031,00094586,00094586,010,00235842,001024,002,000,0256
000,00118477,00118477,010,00307575,001024,003,000,0256
001,00086247,00086247,010,00209682,001024,003,000,0256
002,00106395,00106395,010,00266792,001024,003,000,0256
003,00096391,00096391,010,00236419,001024,003,000,0256
004,00102062,00102062,010,00254490,001024,003,000,0256
005,00110070,00110070,010,00266797,001024,003,000,0256
006,00121279,00121279,010,00299096,001024,003,000,0256
007,00101508,00101508,010,00252196,001024,003,000,0256
008,00118871,00118871,010,00298277,001024,003,000,0256
009,00092749,00092749,010,00234594,001024,003,000,0256
010,00111833,00111833,010,00276242,001024,003,000,0256
011,00112174,00112174,010,00262189,001024,003,000,0256
012,00121724,00121724,010,00305523,001024,003,000,0256
013,00109871,00109871,010,00272448,001024,003,000,0256
014,00111698,00111698,010,00280774,001024,003,000,0256
015,00118204,00118204,010,00278019,001024,003,000,0256
016,00098290,00098290,010,00253929,001024,003,000,0256
017,00129291,00129291,010,00318178,001024,003,000,0256
018,00093564,00093564,010,00232102,001024,003,000,0256
019,00122320,00122320,010,00301164,001024,003,000,0256
020,00116156,00116156,010,00275943,001024,003,000,0256
021,00104788,00104788,010,00257189,001024,003,000,0256
022,00102185,00102185,010,00249786,001024,003,000,0256
023,00128982,00128982,010,00316047,001024,003,000,0256
024,00113335,00113335,010,00270992,001024,003,000,0256
025,00103939,00103939,010,00249462,001024,003,000,0256
026,00102637,00102637,010,00242053,001024,003,000,0256
027,00078213,00078213,010,00203557,001024,003,000,0256
028,00104842,00104842,010,00255942,001024,003,000,0256
029,00096516,00096516,010,00242671,001024,003,000,0256
030,00106851,00106851,010,00275638,001024,003,000,0256
031,00105063,00105063,010,00254794,001024,003,000,0256
000,00090934,00090934,010,00233220,001024,004,000,0256
001,00130118,00130118,010,00326854,001024,004,000,0256
002,00104970,00104970,010,00251441,001024,004,000,0256
003,00108308,00108308,010,00275261,001024,004,000,0256
004,00092326,00092326,010,00225376,001024,004,000,0256
005,00092350,00092350,010,00231524,001024,004,000,0256
006,00091873,00091873,010,00229579,001024,004,000,0256
007,00100929,00100929,010,00252854,001024,004,000,0256
008,00082313,00082313,010,00198347,001024,004,000,0256
009,00104831,00104831,010,00265064,001024,004,000,0256
010,00103088,00103088,010,00257986,001024,004,000,0256
011,00089987,00089987,010,00218588,001024,004,000,0256
012,00085255,00085255,010,00211705,001024,004,000,0256
013,00097891,00097891,010,00241194,001024,004,000,0256
014,00085791,00085791,010,00203231,001024,004,000,0256
015,00083406,00083406,010,00216680,001024,004,000,0256
016,00110589,00110589,010,00271770,001024,004,000,0256
017,00102074,00102074,010,00260368,001024,004,000,0256
018,00103361,00103361,010,00256675,001024,004,000,0256
019,00103713,00103713,010,00252687,001024,004,000,0256
020,00094667,00094667,010,00231833,001024,004,000,0256
021,00098546,00098546,010,00240139,001024,004,000,0256
022,00102497,00102497,010,00248284,001024,004,000,0256
023,00097106,00097106,010,00244621,001024,004,000,0256
024,00107700,00107700,010,00271910,001024,004,000,0256
025,00112017,00112017,010,00272968,001024,004,000,0256
026,00104541,00104541,010,00261970,001024,004,000,0256
027,00126073,00126073,010,00326512,001024,004,000,0256
028,00094909,00094909,010,00230977,001024,004,000,0256
029,00117092,00117092,010,00290147,001024,004,000,0256
030,00111289,00111289,010,00280520,001024,004,000,0256
031,00091918,00091918,010,00219111,001024,004,000,0256
000,00048043,00048043,010,00198590,001024,001,001,0256
001,00048959,00048959,010,00224987,001024,001,001,0256
002,00045244,00045244,010,00199135,001024,001,001,0256
003,00047372,00047372,010,00197260,001024,001,001,0256
004,00047153,00047153,010,00176395,001024,001,001,0256
005,00041707,00041707,010,00138090,001024,001,001,0256
006,00047936,00047936,010,00193455,001024,001,001,0256
007,00037673,00037673,010,00140842,001024,001,001,0256
008,00054492,00054492,010,00211025,001024,001,001,0256
009,00040093,00040093,010,00168632,001024,001,001,0256
010,00044872,00044872,010,00186876,001024,001,001,0256
011,00045230,00045230,010,00172105,001024,001,001,0256
012,00044547,00044547,010,00187312,001024,001,001,0256
013,00055354,00055354,010,00250492,001024,001,001,0256
014,00048700,00048700,010,00208496,001024,001,001,0256
015,00054237,00054237,010,00183056,001024,001,001,0256
016,00037860,00037860,010,00170381,001024,001,001,0256
017,00053870,00053870,010,00210788,001024,001,001,0256
018,00039849,00039849,010,00130360,001024,001,001,0256
019,00035768,00035768,010,00158213,001024,001,001,0256
020,00043880,00043880,010,00180341,001024,001,001,0256
021,00044347,00044347,010,00171831,001024,001,001,0256
022,00041456,00041456,010,00154711,001024,001,001,0256
023,00041713,00041713,010,00140811,001024,001,001,0256
024,00041407,00041407,010,00172361,001024,001,001,0256
025,00043404,00043404,010,00194218,001024,001,001,0256
026,00052161,00052161,010,00204032,001024,001,001,0256
027,00050766,00050766,010,00196461,001024,001,001,0256
028,00037245,00037245,010,00146048,001024,001,001,0256
029,00042318,00042318,010,00136640,001024,001,001,0256
030,00050129,00050129,010,00220860,001024,001,001,0256
031,00047227,00047227,010,00215425,001024,001,001,0256
000,00054727,00054727,010,00191731,001024,002,001,0256
001,00046991,00046991,010,00171569,001024,002,001,0256
002,00037897,00037897,010,00178036,001024,002,001,0256
003,00041831,00041831,010,00179025,001024,002,001,0256
004,00050097,00050097,010,00188377,001024,002,001,0256
005,00046373,00046373,010,00205723,001024,002,001,0256
006,00051255,00051255,010,00191641,001024,002,001,0256
007,00046564,00046564,010,00185426,001024,002,001,0256
008,00043373,00043373,010,00159691,001024,002,001,0256
009,00039825,00039825,010,00200994,001024,002,001,0256
010,00050098,00050098,010,00216053,001024,002,001,0256
011,00042985,00042985,010,00143605,001024,002,001,0256
012,00047897,00047897,010,00202375,001024,002,001,0256
013,00039521,00039521,010,00147515,001024,002,001,0256
014,00043174,00043174,010,00178899,001024,002,001,0256
015,00042673,00042673,010,00164079,001024,002,001,0256
016,00047184,00047184,010,00180719,001024,002,001,0256
017,00044944,00044944,010,00199387,001024,002,001,0256
018,00044106,00044106,010,00164613,001024,002,001,0256
019,00051200,00051200,010,00210832,001024,002,001,0256
020,00044178,00044178,010,00146704,001024,002,001,0256
021,00050032,00050032,010,00196870,001024,002,001,0256
022,00047599,00047599,010,00204156,001024,002,001,0256
023,00046827,00046827,010,00205942,001024,002,001,0256
024,00046594,00046594,010,00144286,001024,002,001,0256
025,00040567,00040567,010,00187755,001024,002,001,0256
026,00061421,00061421,010,00247059,001024,002,001,0256
027,00051262,00051262,010,00202143,001024,002,001,0256
028,00036063,00036063,010,00156070,001024,002,001,0256
029,00056092,00056092,010,00225003,001024,002,001,0256
030,00041552,00041552,010,00148288,001024,002,001,0256
031,00044515,00044515,010,00184477,001024,002,001,0256
000,00046947,00046947,010,00189079,001024,003,001,0256
001,00049123,00049123,010,00196364,001024,003,001,0256
002,00049189,00049189,010,00221231,001024,003,001,0256
003,00042144,00042144,010,00154330,001024,003,001,0256
004,00041574,00041574,010,00143212,001024,003,001,0256
005,00049373,00049373,010,00218942,001024,003,001,0256
006,00043604,00043604,010,00164058,001024,003,001,0256
007,00045451,00045451,010,00199246,001024,003,001,0256
008,00036327,00036327,010,00123197,001024,003,001,0256
009,00044547,00044547,010,00167988,001024,003,001,0256
010,00048445,00048445,010,00204104,001024,003,001,0256
011,00055321,00055321,010,00206244,001024,003,001,0256
012,00047721,00047721,010,00208949,001024,003,001,0256
013,00049759,00049759,010,00180352,001024,003,001,0256
014,00052754,00052754,010,00214327,001024,003,001,0256
015,00052506,00052506,010,00230308,001024,003,001,0256
016,00043021,00043021,010,00165505,001024,003,001,0256
017,00051619,00051619,010,00216821,001024,003,001,0256
018,00039934,00039934,010,00134230,001024,003,001,0256
019,00041377,00041377,010,00171896,001024,003,001,0256
020,00059455,00059455,010,00223348,001024,003,001,0256
021,00046341,00046341,010,00190032,001024,003,001,0256
022,00044960,00044960,010,00173241,001024,003,001,0256
023,00047596,00047596,010,00180857,001024,003,001,0256
024,00044627,00044627,010,00171454,001024,003,001,0256
025,00045765,00045765,010,00200668,001024,003,001,0256
026,00052475,00052475,010,00242459,001024,003,001,0256
027,00048214,00048214,010,00196075,001024,003,001,0256
028,00037772,00037772,010,00145647,001024,003,001,0256
029,00043357,00043357,010,00146987,001024,003,001,0256
030,00044182,00044182,010,00171537,001024,003,001,0256
031,00041783,00041783,010,00163950,001024,003,001,0256
000,00043840,00043840,010,00194280,001024,004,001,0256
001,00046129,00046129,010,00176318,001024,004,001,0256
002,00048142,00048142,010,00208150,001024,004,001,0256
003,00051235,00051235,010,00226808,001024,004,001,0256
004,00040816,00040816,010,00179835,001024,004,001,0256
005,00034528,00034528,010,00142140,001024,004,001,0256
006,00041796,00041796,010,00162560,001024,004,001,0256
007,00038385,00038385,010,00145604,001024,004,001,0256
008,00042219,00042219,010,00157622,001024,004,001,0256
009,00055703,00055703,010,00210353,001024,004,001,0256
010,00040762,00040762,010,00169896,001024,004,001,0256
011,00045369,00045369,010,00181897,001024,004,001,0256
012,00044131,00044131,010,00177396,001024,004,001,0256
013,00042832,00042832,010,00173207,001024,004,001,0256
014,00049545,00049545,010,00178682,001024,004,001,0256
015,00043075,00043075,010,00158797,001024,004,001,0256
016,00047257,00047257,010,00174910,001024,004,001,0256
017,00037936,00037936,010,00128673,001024,004,001,0256
018,00043173,00043173,010,00176063,001024,004,001,0256
019,00050783,00050783,010,00193990,001024,004,001,0256
020,00047972,00047972,010,00176220,001024,004,001,0256
021,00047283,00047283,010,00194652,001024,004,001,0256
022,00055734,00055734,010,00196262,001024,004,001,0256
023,00038590,00038590,010,00171790,001024,004,001,0256
024,00035340,00035340,010,00145128,001024,004,001,0256
025,00042614,00042614,010,00197677,001024,004,001,0256
026,00048394,00048394,010,00220842,001024,004,001,0256
027,00048155,00048155,010,00176308,001024,004,001,0256
028,00046797,00046797,010,00161487,001024,004,001,0256
029,00045549,00045549,010,00178255,001024,004,001,0256
030,00049143,00049143,010,00172349,001024,004,001,0256
031,00053378,00053378,010,00192249,001024,004,001,0256
000,00108876,00108876,010,00267217,001024,001,002,0256
001,00105476,00105476,010,00265994,001024,001,002,0256
002,00099222,00099222,010,00235360,001024,001,002,0256
003,00105991,00105991,010,00251316,001024,001,002,0256
004,00098973,00098973,010,00268556,001024,001,002,0256
005,00096052,00096052,010,00226974,001024,001,002,0256
006,00099130,00099130,010,00254982,001024,001,002,0256
007,00095370,00095370,010,00248341,001024,001,002,0256
008,00112195,00112195,010,00275965,001024,001,002,0256
009,00112665,00112665,010,00269850,001024,001,002,0256
010,00109525,00109525,010,00264174,001024,001,002,0256
011,00115855,00115855,010,00296849,001024,001,002,0256
012,00112516,00112516,010,00277727,001024,001,002,0256
013,00098582,00098582,010,00238169,001024,001,002,0256
014,00100092,00100092,010,00244675,001024,001,002,0256
015,00091656,00091656,010,00224477,001024,001,002,0256
016,00091662,00091662,010,00214265,001024,001,002,0256
017,00111905,00111905,010,00277606,001024,001,002,0256
018,00103312,00103312,010,00248101,001024,001,002,0256
019,00105305,00105305,010,00262335,001024,001,002,0256
020,00101504,00101504,010,00246635,001024,001,002,0256
021,00118045,00118045,010,00305445,001024,001,002,0256
022,00110693,00110693,010,00283048,001024,001,002,0256
023,00100170,00100170,010,00254784,001024,001,002,0256
024,00104810,00104810,010,00268221,001024,001,002,0256
025,00103120,00103120,010,00260393,001024,001,002,0256
026,00096532,00096532,010,00243709,001024,001,002,0256
027,00110944,00110944,010,00275226,001024,001,002,0256
028,00089882,00089882,010,00224045,001024,001,002,0256
029,00121701,00121701,010,00292257,001024,001,002,0256
030,00093844,00093844,010,00235963,001024,001,002,0256
031,00110419,00110419,010,00281190,001024,001,002,0256
000,00107459,00107459,010,00266627,001024,002,002,0256
001,00095222,00095222,010,00234168,001024,002,002,0256
002,00100215,00100215,010,00243070,001024,002,002,0256
003,00084585,00084585,010,00226460,001024,002,002,0256
004,00103411,00103411,010,00249030,001024,002,002,0256
005,00110181,00110181,010,00273837,001024,002,002,0256
006,00100627,00100627,010,00280052,001024,002,002,0256
007,00091431,00091431,010,00224946,001024,002,002,0256
008,00096440,00096440,010,00238710,001024,002,002,0256
009,00106605,00106605,010,00261087,001024,002,002,0256
010,00110279,00110279,010,00277633,001024,002,002,0256
011,00094632,00094632,010,00227869,001024,002,002,0256
012,00108147,00108147,010,00270052,001024,002,002,0256
013,00108903,00108903,010,00275481,001024,002,002,0256
014,00094485,00094485,010,00225219,001024,002,002,0256
015,00096159,00096159,010,00239919,001024,002,002,0256
016,00101023,00101023,010,00243335,001024,002,002,0256
017,00112548,00112548,010,00275685,001024,002,002,0256
018,00097441,00097441,010,00249342,001024,002,002,0256
019,00109670,00109670,010,00279224,001024,002,002,0256
020,00091566,00091566,010,00228280,001024,002,002,0256
021,00117922,00117922,010,00290648,001024,002,002,0256
022,00112515,00112515,010,00276081,001024,002,002,0256
023,00098484,00098484,010,00238027,001024,002,002,0256
024,00098028,00098028,010,00254964,001024,002,002,0256
025,00096998,00096998,010,00237565,001024,002,002,0256
026,00100112,00100112,010,00247437,001024,002,002,0256
027,00096710,00096710,010,00226330,001024,002,002,0256
028,00117532,00117532,010,00292147,001024,002,002,0256
029,00104169,00104169,010,00263268,001024,002,002,0256
030,00113490,00113490,010,00272892,001024,002,002,0256
031,00103441,00103441,010,00257132,001024,002,002,0256
000,00112332,00112332,010,00302866,001024,003,002,0256
001,00104132,00104132,010,00259295,001024,003,002,0256
002,00098652,00098652,010,00247429,001024,003,002,0256
003,00116432,00116432,010,00291198,001024,003,002,0256
004,00084991,00084991,010,00202224,001024,003,002,0256
005,00098690,00098690,010,00244687,001024,003,002,0256
006,00090207,00090207,010,00219151,001024,003,002,0256
007,00102534,00102534,010,00248549,001024,003,002,0256
008,00094469,00094469,010,00238765,001024,003,002,0256
009,00111737,00111737,010,00284766,001024,003,002,0256
010,00091130,00091130,010,00227962,001024,003,002,0256
011,00092592,00092592,010,00246975,001024,003,002,0256
012,00098883,00098883,010,00239838,001024,003,002,0256
013,00095195,00095195,010,00243603,001024,003,002,0256
014,00099279,00099279,010,00264372,001024,003,002,0256
015,00102295,00102295,010,00247174,001024,003,002,0256
016,00116394,00116394,010,00281788,001024,003,002,0256
017,00083927,00083927,010,00219950,001024,003,002,0256
018,00088424,00088424,010,00221647,001024,003,002,0256
019,00103855,00103855,010,00257296,001024,003,002,0256
020,00113420,00113420,010,00286807,001024,003,002,0256
021,00096660,00096660,010,00240497,001024,003,002,0256
022,00093134,00093134,010,00224122,001024,003,002,0256
023,00113108,00113108,010,00265117,001024,003,002,0256
024,00088096,00088096,010,00219374,001024,003,002,0256
025,00110348,00110348,010,00275425,001024,003,002,0256
026,00110248,00110248,010,00264504,001024,003,002,0256
027,00106696,00106696,010,00290707,001024,003,002,0256
028,00100579,00100579,010,00242661,001024,003,002,0256
029,00100983,00100983,010,00247663,001024,003,002,0256
030,00097582,00097582,010,00237610,001024,003,002,0256
031,00102933,00102933,010,00256408,001024,003,002,0256
000,00096492,00096492,010,00251695,001024,004,002,0256
001,00094607,00094607,010,00245390,001024,004,002,0256
002,00106184,00106184,010,00254877,001024,004,002,0256
003,00104702,00104702,010,00255203,001024,004,002,0256
004,00084137,00084137,010,00220988,001024,004,002,0256
005,00091256,00091256,010,00212604,001024,004,002,0256
006,00101747,00101747,010,00246856,001024,004,002,0256
007,00095842,00095842,010,00234044,001024,004,002,0256
008,00102881,00102881,010,00255200,001024,004,002,0256
009,00097305,00097305,010,00252079,001024,004,002,0256
010,00114033,00114033,010,00279084,001024,004,002,0256
011,00076835,00076835,010,00188759,001024,004,002,0256
012,00104121,00104121,010,00259193,001024,004,002,0256
013,00095156,00095156,010,00227509,001024,004,002,0256
014,00112672,00112672,010,00275810,001024,004,002,0256
015,00092867,00092867,010,00237085,001024,004,002,0256
016,00101995,00101995,010,00255699,001024,004,002,0256
017,00100049,00100049,010,00254694,001024,004,002,0256
018,00104777,00104777,010,00251042,001024,004,002,0256
019,00120729,00120729,010,00298685,001024,004,002,0256
020,00093343,00093343,010,00224601,001024,004,002,0256
021,00114130,00114130,010,00270442,001024,004,002,0256
022,00092426,00092426,010,00231266,001024,004,002,0256
023,00102553,00102553,010,00258320,001024,004,002,0256
024,00109955,00109955,010,00285280,001024,004,002,0256
025,00086506,00086506,010,00222907,001024,004,002,0256
026,00091944,00091944,010,00226483,001024,004,002,0256
027,00093295,00093295,010,00228227,001024,004,002,0256
028,00082774,00082774,010,00216003,001024,004,002,0256
029,00109598,00109598,010,00271146,001024,004,002,0256
030,00090915,00090915,010,00245821,001024,004,002,0256
031,00083888,00083888,010,00215223,001024,004,002,0256
