lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0011602,0000210,0000051,0001010,0032791,0011101,0032351,001024,001,000,0256
0017513,0001110,0002295,0001148,0044173,0016992,0043993,001024,001,000,0256
0011391,0000210,0000051,0001010,0032321,0010890,0031850,001024,002,000,0256
0017383,0001110,0002274,0001148,0044164,0016862,0043973,001024,002,000,0256
0011321,0000210,0000051,0001010,0032190,0010821,0031699,001024,003,000,0256
0017623,0001109,0002204,0001149,0043883,0017062,0043722,001024,003,000,0256
0011301,0000401,0000060,0001009,0030157,0010580,0029686,001024,004,000,0256
0017744,0001111,0003226,0001144,0041458,0016952,0041267,001024,004,000,0256
0011602,0000210,0000050,0001010,0032832,0011091,0032401,001024,001,001,0256
0017372,0001110,0002314,0001151,0044193,0016842,0044003,001024,001,001,0256
0011612,0000210,0000051,0001010,0032942,0011111,0032511,001024,002,001,0256
0017654,0001111,0002194,0001152,0044574,0017093,0044374,001024,002,001,0256
0011621,0000210,0000051,0001010,0032972,0011111,0032541,001024,003,001,0256
0017433,0001110,0002165,0001152,0044474,0016892,0044303,001024,003,001,0256
0011211,0000401,0000060,0001009,0029716,0010489,0029265,001024,004,001,0256
0017733,0001109,0003206,0001146,0040656,0016912,0040436,001024,004,001,0256
0011732,0000210,0000050,0001010,0033063,0011221,0032631,001024,001,002,0256
0018014,0001114,0002264,0001159,0044755,0017433,0044554,001024,001,002,0256
0011672,0000210,0000050,0001010,0032872,0011181,0032431,001024,002,002,0256
0017713,0001113,0002164,0001159,0044675,0017193,0044464,001024,002,002,0256
0011662,0000211,0000051,0001010,0032872,0011161,0032431,001024,003,002,0256
0017723,0001114,0002265,0001159,0044935,0017192,0044714,001024,003,002,0256
0011943,0000241,0000060,0001010,0034245,0011402,0033793,001024,004,002,0256
0018455,0001117,0002815,0001162,0046698,0017853,0046448,001024,004,002,0256
