tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00174700,00174700,010,00332972,001024,001,000,0256
001,00175427,00175427,010,00334438,001024,001,000,0256
002,00175478,00175478,010,00335358,001024,001,000,0256
003,00170588,00170588,010,00325108,001024,001,000,0256
004,00171641,00171641,010,00327598,001024,001,000,0256
005,00174251,00174251,010,00332126,001024,001,000,0256
006,00175226,00175226,010,00333974,001024,001,000,0256
007,00175280,00175280,010,00333790,001024,001,000,0256
008,00175376,00175376,010,00334246,001024,001,000,0256
009,00174335,00174335,010,00331588,001024,001,000,0256
010,00175074,00175074,010,00333480,001024,001,000,0256
011,00174484,00174484,010,00332218,001024,001,000,0256
012,00175383,00175383,010,00334368,001024,001,000,0256
013,00173767,00173767,010,00330556,001024,001,000,0256
014,00174452,00174452,010,00331922,001024,001,000,0256
015,00174230,00174230,010,00331466,001024,001,000,0256
016,00175124,00175124,010,00333236,001024,001,000,0256
017,00170801,00170801,010,00324934,001024,001,000,0256
018,00174248,00174248,010,00331074,001024,001,000,0256
019,00174383,00174383,010,00331530,001024,001,000,0256
020,00174713,00174713,010,00332322,001024,001,000,0256
021,00174946,00174946,010,00332874,001024,001,000,0256
022,00173989,00173989,010,00330224,001024,001,000,0256
023,00175052,00175052,010,00332718,001024,001,000,0256
024,00175038,00175038,010,00332548,001024,001,000,0256
025,00173965,00173965,010,00330108,001024,001,000,0256
026,00174466,00174466,010,00330940,001024,001,000,0256
027,00174046,00174046,010,00330342,001024,001,000,0256
028,00174562,00174562,010,00330952,001024,001,000,0256
029,00175256,00175256,010,00332736,001024,001,000,0256
030,00174266,00174266,010,00330526,001024,001,000,0256
031,00173751,00173751,010,00329276,001024,001,000,0256
000,00185253,00185253,010,00351228,001024,001,001,0256
001,00185336,00185336,010,00351136,001024,001,001,0256
002,00185238,00185238,010,00350860,001024,001,001,0256
003,00184604,00184604,010,00349220,001024,001,001,0256
004,00185053,00185053,010,00350394,001024,001,001,0256
005,00184298,00184298,010,00348454,001024,001,001,0256
006,00185399,00185399,010,00351220,001024,001,001,0256
007,00184315,00184315,010,00348480,001024,001,001,0256
008,00185274,00185274,010,00350932,001024,001,001,0256
009,00184246,00184246,010,00348434,001024,001,001,0256
010,00185196,00185196,010,00350716,001024,001,001,0256
011,00184762,00184762,010,00349482,001024,001,001,0256
012,00184777,00184777,010,00349598,001024,001,001,0256
013,00184274,00184274,010,00348114,001024,001,001,0256
014,00184503,00184503,010,00348456,001024,001,001,0256
015,00184783,00184783,010,00349250,001024,001,001,0256
016,00184276,00184276,010,00348140,001024,001,001,0256
017,00184425,00184425,010,00348138,001024,001,001,0256
018,00184349,00184349,010,00347986,001024,001,001,0256
019,00184073,00184073,010,00347116,001024,001,001,0256
020,00184065,00184065,010,00347224,001024,001,001,0256
021,00183971,00183971,010,00347534,001024,001,001,0256
022,00183180,00183180,010,00345098,001024,001,001,0256
023,00183953,00183953,010,00346846,001024,001,001,0256
024,00183680,00183680,010,00346292,001024,001,001,0256
025,00183635,00183635,010,00346018,001024,001,001,0256
026,00183445,00183445,010,00345416,001024,001,001,0256
027,00183724,00183724,010,00346408,001024,001,001,0256
028,00182929,00182929,010,00344188,001024,001,001,0256
029,00183374,00183374,010,00345332,001024,001,001,0256
030,00183610,00183610,010,00346180,001024,001,001,0256
031,00183409,00183409,010,00345640,001024,001,001,0256
000,00173876,00173876,010,00332324,001024,001,002,0256
001,00174083,00174083,010,00332600,001024,001,002,0256
002,00173869,00173869,010,00332104,001024,001,002,0256
003,00173441,00173441,010,00331100,001024,001,002,0256
004,00172959,00172959,010,00329808,001024,001,002,0256
005,00173700,00173700,010,00331426,001024,001,002,0256
006,00173700,00173700,010,00331432,001024,001,002,0256
007,00173100,00173100,010,00330048,001024,001,002,0256
008,00169354,00169354,010,00323284,001024,001,002,0256
009,00173775,00173775,010,00331348,001024,001,002,0256
010,00173593,00173593,010,00330984,001024,001,002,0256
011,00168500,00168500,010,00321324,001024,001,002,0256
012,00173400,00173400,010,00330686,001024,001,002,0256
013,00173695,00173695,010,00331208,001024,001,002,0256
014,00173077,00173077,010,00329802,001024,001,002,0256
015,00172211,00172211,010,00327924,001024,001,002,0256
016,00170900,00170900,010,00325152,001024,001,002,0256
017,00171200,00171200,010,00326302,001024,001,002,0256
018,00171403,00171403,010,00326256,001024,001,002,0256
019,00171510,00171510,010,00326514,001024,001,002,0256
020,00171116,00171116,010,00325294,001024,001,002,0256
021,00171400,00171400,010,00326468,001024,001,002,0256
022,00171938,00171938,010,00327080,001024,001,002,0256
023,00171998,00171998,010,00327516,001024,001,002,0256
024,00171496,00171496,010,00325776,001024,001,002,0256
025,00171399,00171399,010,00325936,001024,001,002,0256
026,00171509,00171509,010,00326206,001024,001,002,0256
027,00171795,00171795,010,00326662,001024,001,002,0256
028,00170828,00170828,010,00324800,001024,001,002,0256
029,00171649,00171649,010,00326434,001024,001,002,0256
030,00171276,00171276,010,00325228,001024,001,002,0256
031,00167100,00167100,010,00317668,001024,001,002,0256
