tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00164915,00164915,010,00435776,001024,001,000,0256
001,00164905,00164905,010,00435472,001024,001,000,0256
002,00164844,00164844,010,00434764,001024,001,000,0256
003,00165544,00165544,010,00436506,001024,001,000,0256
004,00164100,00164100,010,00433548,001024,001,000,0256
005,00165107,00165107,010,00436650,001024,001,000,0256
006,00165134,00165134,010,00435460,001024,001,000,0256
007,00165110,00165110,010,00435886,001024,001,000,0256
008,00164865,00164865,010,00435139,001024,001,000,0256
009,00164903,00164903,010,00436476,001024,001,000,0256
010,00164443,00164443,010,00435388,001024,001,000,0256
011,00164891,00164891,010,00435753,001024,001,000,0256
012,00164822,00164822,010,00435140,001024,001,000,0256
013,00164711,00164711,010,00435486,001024,001,000,0256
014,00164887,00164887,010,00435447,001024,001,000,0256
015,00164854,00164854,010,00435750,001024,001,000,0256
016,00164796,00164796,010,00434827,001024,001,000,0256
017,00164670,00164670,010,00434638,001024,001,000,0256
018,00164073,00164073,010,00433957,001024,001,000,0256
019,00164625,00164625,010,00435117,001024,001,000,0256
020,00165130,00165130,010,00434857,001024,001,000,0256
021,00164644,00164644,010,00434714,001024,001,000,0256
022,00164835,00164835,010,00435130,001024,001,000,0256
023,00164492,00164492,010,00434961,001024,001,000,0256
024,00164962,00164962,010,00435115,001024,001,000,0256
025,00164241,00164241,010,00433960,001024,001,000,0256
026,00164277,00164277,010,00434933,001024,001,000,0256
027,00164070,00164070,010,00433257,001024,001,000,0256
028,00164551,00164551,010,00435125,001024,001,000,0256
029,00164456,00164456,010,00434831,001024,001,000,0256
030,00164508,00164508,010,00435445,001024,001,000,0256
031,00164336,00164336,010,00433230,001024,001,000,0256
000,00101878,00101878,010,00327577,001024,002,000,0256
001,00102900,00102900,010,00331718,001024,002,000,0256
002,00101500,00101500,010,00327196,001024,002,000,0256
003,00103200,00103200,010,00333767,001024,002,000,0256
004,00103300,00103300,010,00335052,001024,002,000,0256
005,00105146,00105146,010,00338113,001024,002,000,0256
006,00101800,00101800,010,00327435,001024,002,000,0256
007,00103700,00103700,010,00334463,001024,002,000,0256
008,00105000,00105000,010,00337183,001024,002,000,0256
009,00104509,00104509,010,00337283,001024,002,000,0256
010,00104968,00104968,010,00338533,001024,002,000,0256
011,00104300,00104300,010,00335525,001024,002,000,0256
012,00105200,00105200,010,00339954,001024,002,000,0256
013,00105100,00105100,010,00337917,001024,002,000,0256
014,00103800,00103800,010,00334000,001024,002,000,0256
015,00105300,00105300,010,00340214,001024,002,000,0256
016,00104100,00104100,010,00336739,001024,002,000,0256
017,00106100,00106100,010,00340039,001024,002,000,0256
018,00105100,00105100,010,00337926,001024,002,000,0256
019,00104500,00104500,010,00337781,001024,002,000,0256
020,00105100,00105100,010,00340544,001024,002,000,0256
021,00104700,00104700,010,00338601,001024,002,000,0256
022,00104400,00104400,010,00335240,001024,002,000,0256
023,00104700,00104700,010,00338087,001024,002,000,0256
024,00106300,00106300,010,00342632,001024,002,000,0256
025,00105407,00105407,010,00339709,001024,002,000,0256
026,00105406,00105406,010,00340133,001024,002,000,0256
027,00104800,00104800,010,00337817,001024,002,000,0256
028,00105600,00105600,010,00340984,001024,002,000,0256
029,00105400,00105400,010,00339439,001024,002,000,0256
030,00105200,00105200,010,00338396,001024,002,000,0256
031,00104900,00104900,010,00337437,001024,002,000,0256
000,00163141,00163141,010,00430609,001024,003,000,0256
001,00162752,00162752,010,00430628,001024,003,000,0256
002,00163233,00163233,010,00431954,001024,003,000,0256
003,00162931,00162931,010,00430603,001024,003,000,0256
004,00163392,00163392,010,00432112,001024,003,000,0256
005,00162559,00162559,010,00428435,001024,003,000,0256
006,00162668,00162668,010,00430176,001024,003,000,0256
007,00162540,00162540,010,00431224,001024,003,000,0256
008,00163247,00163247,010,00431609,001024,003,000,0256
009,00162882,00162882,010,00430124,001024,003,000,0256
010,00163005,00163005,010,00430324,001024,003,000,0256
011,00162472,00162472,010,00430023,001024,003,000,0256
012,00162591,00162591,010,00430949,001024,003,000,0256
013,00162751,00162751,010,00430202,001024,003,000,0256
014,00162898,00162898,010,00430429,001024,003,000,0256
015,00162383,00162383,010,00430005,001024,003,000,0256
016,00162610,00162610,010,00431102,001024,003,000,0256
017,00163337,00163337,010,00430598,001024,003,000,0256
018,00162383,00162383,010,00429055,001024,003,000,0256
019,00162164,00162164,010,00429982,001024,003,000,0256
020,00162573,00162573,010,00429748,001024,003,000,0256
