tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00000000,00002260,002,00004561,001024,001,000,0512
001,00000000,00003602,002,00007280,001024,001,000,0512
002,00000000,00001506,002,00003045,001024,001,000,0512
003,00000000,00003739,002,00007853,001024,001,000,0512
004,00000000,00003326,002,00006696,001024,001,000,0512
005,00000000,00003303,002,00007210,001024,001,000,0512
006,00000000,00002870,002,00005112,001024,001,000,0512
007,00000000,00005477,002,00010617,001024,001,000,0512
008,00000000,00001470,002,00003007,001024,001,000,0512
009,00000000,00003698,002,00007574,001024,001,000,0512
010,00000000,00000870,002,00001710,001024,001,000,0512
011,00000000,00002247,002,00004531,001024,001,000,0512
012,00000000,00005585,002,00010675,001024,001,000,0512
013,00000000,00002126,002,00004273,001024,001,000,0512
014,00000000,00003200,002,00006545,001024,001,000,0512
015,00000000,00001680,002,00003418,001024,001,000,0512
016,00000000,00001781,002,00003651,001024,001,000,0512
017,00000000,00006334,002,00013422,001024,001,000,0512
018,00000000,00003065,002,00006322,001024,001,000,0512
019,00000000,00005349,002,00010912,001024,001,000,0512
020,00000000,00009807,002,00020486,001024,001,000,0512
021,00000000,00002368,002,00004656,001024,001,000,0512
022,00000000,00002153,002,00004700,001024,001,000,0512
023,00000000,00004152,002,00008225,001024,001,000,0512
024,00000000,00005122,002,00010125,001024,001,000,0512
025,00000000,00003104,002,00006078,001024,001,000,0512
026,00000000,00002853,002,00005762,001024,001,000,0512
027,00000000,00003860,002,00007516,001024,001,000,0512
028,00000000,00005339,002,00010789,001024,001,000,0512
029,00000000,00007839,002,00016306,001024,001,000,0512
030,00000000,00000397,002,00000795,001024,001,000,0512
031,00000000,00000857,002,00001770,001024,001,000,0512
000,00000000,00003725,002,00007698,001024,002,000,0512
001,00000000,00003281,002,00006642,001024,002,000,0512
002,00000000,00002491,002,00005361,001024,002,000,0512
003,00000000,00003578,002,00007928,001024,002,000,0512
004,00000000,00002811,002,00005807,001024,002,000,0512
005,00000000,00002566,002,00005203,001024,002,000,0512
006,00000000,00003820,002,00008407,001024,002,000,0512
007,00000000,00002858,002,00005872,001024,002,000,0512
008,00000000,00002862,002,00005775,001024,002,000,0512
009,00000000,00003779,002,00008175,001024,002,000,0512
010,00000000,00004521,002,00009211,001024,002,000,0512
011,00000000,00004634,002,00009245,001024,002,000,0512
012,00000000,00006196,002,00014302,001024,002,000,0512
013,00000000,00002715,002,00005502,001024,002,000,0512
014,00000000,00005128,002,00010736,001024,002,000,0512
015,00000000,00005381,002,00011856,001024,002,000,0512
016,00000000,00001327,002,00002768,001024,002,000,0512
017,00000000,00002294,002,00004705,001024,002,000,0512
018,00000000,00002856,002,00006351,001024,002,000,0512
019,00000000,00000658,002,00001346,001024,002,000,0512
020,00000000,00002657,002,00005416,001024,002,000,0512
021,00000000,00006055,002,00013194,001024,002,000,0512
022,00000000,00005367,002,00011423,001024,002,000,0512
023,00000000,00002183,002,00004413,001024,002,000,0512
024,00000000,00003617,002,00007674,001024,002,000,0512
025,00000000,00002497,002,00005409,001024,002,000,0512
026,00000000,00001262,002,00002494,001024,002,000,0512
027,00000000,00000605,002,00001251,001024,002,000,0512
028,00000000,00005315,002,00013079,001024,002,000,0512
029,00000000,00005065,002,00010550,001024,002,000,0512
030,00000000,00003594,002,00008053,001024,002,000,0512
031,00000000,00001839,002,00003529,001024,002,000,0512
