tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00008768,00008768,010,00043389,001024,001,000,0001
001,00008763,00008763,010,00043488,001024,001,000,0001
002,00008769,00008769,010,00043062,001024,001,000,0001
003,00008772,00008772,010,00043457,001024,001,000,0001
004,00008764,00008764,010,00043229,001024,001,000,0001
005,00008763,00008763,010,00043397,001024,001,000,0001
006,00008768,00008768,010,00043179,001024,001,000,0001
007,00008751,00008751,010,00043275,001024,001,000,0001
008,00008751,00008751,010,00043378,001024,001,000,0001
009,00008748,00008748,010,00043264,001024,001,000,0001
010,00008763,00008763,010,00043321,001024,001,000,0001
011,00008751,00008751,010,00043232,001024,001,000,0001
012,00008766,00008766,010,00043161,001024,001,000,0001
013,00008751,00008751,010,00043136,001024,001,000,0001
014,00008751,00008751,010,00043025,001024,001,000,0001
015,00008762,00008762,010,00043233,001024,001,000,0001
016,00008760,00008760,010,00043213,001024,001,000,0001
017,00008748,00008748,010,00043259,001024,001,000,0001
018,00008748,00008748,010,00042917,001024,001,000,0001
019,00008748,00008748,010,00043092,001024,001,000,0001
020,00008751,00008751,010,00043046,001024,001,000,0001
021,00008748,00008748,010,00042943,001024,001,000,0001
022,00008751,00008751,010,00043195,001024,001,000,0001
023,00008748,00008748,010,00043303,001024,001,000,0001
024,00008762,00008762,010,00043250,001024,001,000,0001
025,00008748,00008748,010,00042967,001024,001,000,0001
026,00008760,00008760,010,00043148,001024,001,000,0001
027,00008751,00008751,010,00043265,001024,001,000,0001
028,00008748,00008748,010,00043096,001024,001,000,0001
029,00008748,00008748,010,00043070,001024,001,000,0001
030,00008751,00008751,010,00043071,001024,001,000,0001
031,00008795,00008795,010,00043161,001024,001,000,0001
000,00008744,00008744,010,00040755,001024,002,000,0001
001,00008668,00008668,010,00040387,001024,002,000,0001
002,00008744,00008744,010,00040676,001024,002,000,0001
003,00008747,00008747,010,00040810,001024,002,000,0001
004,00008739,00008739,010,00040604,001024,002,000,0001
005,00008735,00008735,010,00040596,001024,002,000,0001
006,00008669,00008669,010,00040365,001024,002,000,0001
007,00008758,00008758,010,00040768,001024,002,000,0001
008,00008665,00008665,010,00040149,001024,002,000,0001
009,00008675,00008675,010,00040229,001024,002,000,0001
010,00008665,00008665,010,00040190,001024,002,000,0001
011,00008701,00008701,010,00040343,001024,002,000,0001
012,00008677,00008677,010,00040405,001024,002,000,0001
013,00008674,00008674,010,00040292,001024,002,000,0001
014,00008670,00008670,010,00040317,001024,002,000,0001
015,00008670,00008670,010,00040202,001024,002,000,0001
016,00008732,00008732,010,00040703,001024,002,000,0001
017,00008675,00008675,010,00040268,001024,002,000,0001
018,00008732,00008732,010,00040792,001024,002,000,0001
019,00008667,00008667,010,00040439,001024,002,000,0001
020,00008669,00008669,010,00040201,001024,002,000,0001
021,00008735,00008735,010,00040758,001024,002,000,0001
022,00008672,00008672,010,00040111,001024,002,000,0001
023,00008669,00008669,010,00040345,001024,002,000,0001
024,00008669,00008669,010,00040212,001024,002,000,0001
025,00008745,00008745,010,00040761,001024,002,000,0001
026,00008741,00008741,010,00040557,001024,002,000,0001
027,00008678,00008678,010,00040404,001024,002,000,0001
028,00008724,00008724,010,00040432,001024,002,000,0001
029,00008719,00008719,010,00040573,001024,002,000,0001
030,00008745,00008745,010,00040507,001024,002,000,0001
031,00008677,00008677,010,00040324,001024,002,000,0001
