tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     80644,   80644,    1.989599,    3.000000, 2868.890137,  126.732857, 2808.520020,   60.366188,   52.847546,   59.005180,    0.418252,    0.531498,      5016,               0,000,000
001,     98136,   98136,    2.222662,    3.000000, 2865.020996,  130.155807, 2806.795898,   64.067978,   49.875393,   57.893879,    0.446540,    0.610594,      5964,               0,000,000
002,     80312,   80312,    2.098326,    3.000000, 2867.810791,  127.542145, 2806.854492,   60.567554,   52.988667,   59.403267,    0.413267,    0.530193,      5013,               0,000,000
003,     80004,   80004,    2.016909,    3.000000, 2869.368164,  126.245064, 2808.599854,   59.286953,   53.196785,   59.611820,    0.426581,    0.530107,      5016,               0,000,000
004,     77745,   77745,    2.017446,    3.000000, 2871.554199,  124.098587, 2812.125977,   58.733200,   51.736809,   57.755260,    0.416918,    0.511255,      4843,               0,000,000
005,     80752,   80752,    2.015068,    3.000000, 2865.725342,  129.877319, 2805.277344,   63.284485,   52.838104,   59.205093,    0.414239,    0.528713,      5024,               0,000,000
006,     81022,   81022,    2.008411,    3.000000, 2867.935303,  127.597664, 2806.906982,   60.309986,   53.377918,   59.846626,    0.431545,    0.556125,      5046,               0,000,000
007,     81655,   81655,    2.037621,    3.000000, 2866.984863,  128.549515, 2805.551270,   60.799248,   53.722641,   60.159367,    0.434670,    0.538198,      5083,               0,000,000
008,     85158,   85158,    2.105428,    3.000000, 2853.787354,  141.549301, 2777.554199,   60.709122,   66.700317,   72.533806,    0.434205,    0.546357,      5381,               0,000,000
009,     71792,   71792,    1.817225,    3.000000, 2874.238525,  121.855492, 2814.222412,   56.543201,   53.030983,   58.588531,    0.366181,    0.487838,      4524,               0,000,000
010,     72897,   72897,    1.825433,    3.000000, 2873.438232,  122.585976, 2811.538086,   55.617569,   54.837479,   60.168274,    0.382950,    0.489449,      4635,               0,000,000
011,     73186,   73186,    1.848333,    3.000000, 2871.900879,  124.045197, 2810.797119,   57.606098,   54.025368,   59.641575,    0.390282,    0.483634,      4616,               0,000,000
012,     71830,   71830,    1.812177,    3.000000, 2875.022461,  121.052483, 2815.111328,   56.425415,   52.946472,   57.909561,    0.379638,    0.472205,      4472,               0,000,000
013,     73220,   73220,    1.831772,    3.000000, 2872.699707,  123.268654, 2811.392090,   56.910660,   54.199917,   59.537685,    0.367341,    0.480558,      4590,               0,000,000
014,     73898,   73898,    1.844412,    3.000000, 2872.720703,  123.328224, 2810.800049,   56.506752,   54.715630,   59.953613,    0.397073,    0.495450,      4642,               0,000,000
015,     75189,   75189,    1.886212,    3.000000, 2870.930908,  124.988747, 2808.421143,   57.063946,   55.280670,   60.932766,    0.400008,    0.495090,      4725,               0,000,000
000,     80656,   80656,    2.016158,    3.000000, 2869.762939,  125.780983, 2809.488525,   59.287647,   52.683136,   59.099567,    0.418844,    0.530028,      4981,               0,000,001
001,     96087,   96087,    2.175285,    3.000000, 2867.135254,  128.075607, 2810.390137,   63.235485,   48.564625,   56.776787,    0.438507,    0.600097,      5831,               0,000,001
