tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,    286168,  286168,    4.034770,    3.000000, 2743.326172,  247.753815, 2609.861084,   26.367115,  119.758217,  207.283707,    0.959482,    1.669235,     18686,               0,000,000
001,    286167,  286167,    4.080893,    3.000000, 2853.394043,  137.512314, 2772.319580,   23.939535,   66.500664,   98.638916,    0.621627,    0.808740,     10963,               0,000,000
002,    286166,  286166,    4.069123,    3.000000, 2895.013916,   95.953903, 2726.396973,   24.603279,  154.501587,   57.063774,    1.236880,    0.400467,     23871,               0,000,000
003,    286169,  286169,    4.006968,    3.000000, 2818.448975,  172.735916, 2740.155762,   22.988485,   64.786827,  130.189651,    0.533242,    1.016248,      9892,               0,000,000
004,    286170,  286170,    4.104420,    3.000000, 2715.697998,  275.280304, 2655.439453,   26.033295,   46.081108,  234.949066,    0.396135,    1.889263,      7103,               0,000,000
005,    286166,  286166,    3.991928,    3.000000, 2890.767090,  100.449890, 2780.530029,   22.402470,   96.766953,   64.101562,    0.813600,    0.467790,     15176,               0,000,000
006,    286164,  286164,    4.044257,    3.000000, 2875.430664,  115.542870, 2587.602051,   26.461319,  273.962128,   75.053543,    2.285067,    0.554817,     42586,               0,000,000
007,    286167,  286167,    3.995758,    3.000000, 2850.423584,  140.772919, 2741.548096,   22.484177,   95.345512,  104.359398,    0.815663,    0.794970,     14808,               0,000,000
008,         5,       5,    0.005060,    3.000000, 3000.030762,    0.008780, 3000.012695,    0.002515,    0.000000,    0.000512,    0.000000,    0.000000,         0,               0,000,000
009,         5,       5,    0.005377,    3.000000, 3000.029785,    0.008077, 3000.017090,    0.002128,    0.000000,    0.000293,    0.000000,    0.000000,         0,               0,000,000
010,         4,       4,    0.004543,    3.000000, 3000.025879,    0.007167, 3000.013428,    0.001402,    0.000000,    0.000223,    0.000000,    0.000000,         0,               0,000,000
011,         5,       5,    0.005363,    3.000000, 3000.031738,    0.007992, 3000.018799,    0.002092,    0.000000,    0.000312,    0.000000,    0.000000,         0,               0,000,000
012,         5,       5,    0.005290,    3.000000, 3000.033447,    0.007173, 3000.021240,    0.001717,    0.000000,    0.000318,    0.000000,    0.000000,         0,               0,000,000
013,         5,       5,    0.004852,    3.000000, 2999.996094,    0.043277, 2999.983154,    0.002177,    0.000000,    0.035168,    0.000000,    0.000093,         0,               0,000,000
014,         5,       5,    0.004577,    3.000000, 3000.054688,    0.006778, 3000.042969,    0.001365,    0.000000,    0.000232,    0.000000,    0.000000,         0,               0,000,000
015,         4,       4,    0.007557,    3.000000, 3000.043213,    0.006977, 3000.012939,    0.001597,    0.018073,    0.000275,    0.000173,    0.000000,         1,               0,000,000
000,    287255,  287255,    3.975803,    3.000000, 2742.524414,  248.920807, 2519.343750,   28.112356,  209.329346,  206.662048,    1.565470,    1.668322,     32340,               0,000,001
001,    287255,  287255,    4.019380,    3.000000, 2729.989990,  261.293518, 2630.946533,   26.117243,   84.039909,  220.227982,    0.670922,    1.826722,     13539,               0,000,001
002,    287254,  287254,    3.870667,    3.000000, 2916.724365,   74.959900, 2890.832520,   21.675243,   12.148162,   39.183998,    0.091448,    0.253210,      1889,               0,000,001
003,    287256,  287256,    3.901062,    3.000000, 2902.842773,   88.851097, 2805.014404,   22.260839,   84.481873,   47.303566,    0.656500,    0.321210,     13143,               0,000,001
004,    287256,  287256,    4.022493,    3.000000, 2681.584229,  309.842712, 2645.430176,   25.190243,   22.053652,  270.385315,    0.159588,    2.194472,      3432,               0,000,001
005,    287250,  287250,    3.967832,    3.000000, 2862.323242,  128.987259, 2543.574707,   25.766701,  304.847382,   89.123573,    2.339503,    0.670497,     47712,               0,000,001
006,    287255,  287255,    3.938715,    3.000000, 2873.083496,  118.457199, 2671.561035,   25.462112,  187.916901,   78.990669,    1.513800,    0.586008,     29276,               0,000,001
007,    287256,  287256,    3.847275,    3.000000, 2938.885010,   52.929768, 2911.035400,   20.826288,   14.714873,   18.605799,    0.110425,    0.080308,      2296,               0,000,001
008,         4,       4,    0.000183,    3.000000, 3000.193604,    0.039892, 3000.192383,    0.001007,    0.000000,    0.038467,    0.000000,    0.000095,         0,               0,000,001
009,         4,       4,    0.000192,    3.000000, 3000.230713,    0.001267, 3000.229980,    0.000680,    0.000000,    0.000187,    0.000000,    0.000000,         0,               0,000,001
010,         4,       4,    0.000147,    3.000000, 3000.230469,    0.001783, 3000.229980,    0.000830,    0.000000,    0.000192,    0.000000,    0.000000,         0,               0,000,001
011,         3,       3,    0.000190,    3.000000, 3000.224609,    0.001573, 3000.190186,    0.000940,    0.033465,    0.000152,    0.000188,    0.000000,         1,               0,000,001
012,         3,       3,    0.000163,    3.000000, 3000.225098,    0.001402, 3000.224365,    0.000930,    0.000000,    0.000142,    0.000000,    0.000000,         0,               0,000,001
013,         3,       3,    0.000163,    3.000000, 3000.225830,    0.001287, 3000.225342,    0.000780,    0.000000,    0.000118,    0.000000,    0.000000,         0,               0,000,001
014,         4,       4,    0.000135,    3.000000, 3000.231445,    0.001413, 3000.205078,    0.000750,    0.025825,    0.000303,    0.000148,    0.000000,         1,               0,000,001
015,         3,       3,    0.000173,    3.000000, 3000.225586,    0.001677, 3000.224121,    0.001158,    0.000000,    0.000107,    0.000000,    0.000000,         0,               0,000,001
000,    286158,  286158,    4.125903,    3.000000, 2903.890137,   86.982224, 2667.961426,   25.374708,  222.141357,   47.616283,    1.859518,    0.326523,     34421,               0,000,002
001,    286162,  286162,    4.231190,    3.000000, 2566.898926,  423.629852, 2469.203857,   28.301630,   82.184891,  375.115051,    0.808478,    3.262822,     13457,               0,000,002
002,    286158,  286158,    4.119468,    3.000000, 2869.052002,  121.803642, 2813.190918,   23.306246,   41.776131,   84.021271,    0.419103,    0.622253,      6513,               0,000,002
003,    286155,  286155,    4.071607,    3.000000, 2923.462646,   67.559364, 2869.911377,   21.391588,   40.153332,   26.987980,    0.421100,    0.149743,      6239,               0,000,002
004,    286158,  286158,    4.227911,    3.000000, 2796.550293,  194.139145, 2630.889404,   26.163416,  151.264664,  153.529907,    1.213655,    1.208165,     23204,               0,000,002
005,    286154,  286154,    4.055123,    3.000000, 2941.552246,   49.387535, 2871.488525,   21.560583,   56.688412,   14.061202,    0.561772,    0.041570,      8918,               0,000,002
006,    286161,  286161,    4.165262,    3.000000, 2854.896973,  135.861542, 2549.830322,   27.234510,  291.031921,   94.409897,    2.445300,    0.718735,     44766,               0,000,002
007,    286166,  286166,    4.108288,    3.000000, 2785.359619,  205.607803, 2734.697021,   23.120646,   37.019993,  168.419754,    0.377082,    1.330332,      5563,               0,000,002
008,         3,       3,    0.000197,    3.000000, 3000.147217,    0.001520, 3000.145752,    0.000960,    0.000000,    0.000170,    0.000000,    0.000000,         0,               0,000,002
009,         3,       3,    0.000142,    3.000000, 3000.147461,    0.001407, 3000.146240,    0.000768,    0.000000,    0.000110,    0.000000,    0.000000,         0,               0,000,002
010,         3,       3,    0.000160,    3.000000, 3000.147705,    0.001362, 3000.146240,    0.000822,    0.000000,    0.000127,    0.000000,    0.000000,         0,               0,000,002
011,         3,       3,    0.000147,    3.000000, 3000.148682,    0.001722, 3000.147217,    0.001015,    0.000000,    0.000212,    0.000000,    0.000000,         0,               0,000,002
012,         3,       3,    0.000143,    3.000000, 3000.146240,    0.001800, 3000.145020,    0.001262,    0.000000,    0.000168,    0.000000,    0.000000,         0,               0,000,002
013,         3,       3,    0.002712,    3.000000, 3000.137695,    0.004793, 3000.131104,    0.001475,    0.000000,    0.000125,    0.000000,    0.000000,         0,               0,000,002
014,         3,       3,    0.000193,    3.000000, 3000.147217,    0.001230, 3000.146240,    0.000550,    0.000000,    0.000222,    0.000000,    0.000000,         0,               0,000,002
015,         3,       3,    0.002577,    3.000000, 3000.137939,    0.004693, 3000.131348,    0.001258,    0.000000,    0.000110,    0.000000,    0.000000,         0,               0,000,002
