tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,     95484,   95484,    1.639605,   10.000000, 9384.589844,  611.254883, 8758.952148,   14.805067,  619.879944,  590.756409,    4.628820,    2.370717,     95484,               0,000,000
001,     95484,   95484,    1.589787,   10.000000, 9434.235352,  561.820496, 8856.186523,   15.740730,  572.307007,  540.368103,    5.001187,    2.826668,     95484,               0,000,000
002,     95485,   95485,    1.816649,   10.000000, 9383.888672,  611.815369, 8758.605469,   16.399191,  619.508057,  589.761841,    4.770870,    2.632587,     95485,               0,000,000
003,     95485,   95485,    1.640005,   10.000000, 9380.471680,  615.578003, 8751.157227,   15.649467,  623.569763,  591.993530,    4.896320,    2.341353,     95485,               0,000,000
004,     95485,   95485,    1.785965,   10.000000, 9383.416016,  612.823730, 8759.247070,   17.021444,  618.348083,  589.942383,    4.818821,    2.322660,     95485,               0,000,000
005,     95484,   95484,    1.628843,   10.000000, 9388.236328,  607.909058, 8764.709961,   15.193235,  617.850403,  587.075073,    4.874569,    2.337974,     95484,               0,000,000
006,     95485,   95485,    1.604182,   10.000000, 9388.723633,  607.337585, 8768.475586,   16.458370,  614.537598,  585.191772,    4.608665,    2.318317,     95485,               0,000,000
007,     95484,   95484,    1.616063,   10.000000, 9387.382812,  608.779053, 8763.391602,   15.658568,  618.314819,  587.457214,    4.879078,    2.338887,     95484,               0,000,000
008,         2,       2,    0.004508,   10.000000,10000.435547,    0.036965,10000.375000,    0.000887,    0.054988,    0.028962,    0.010350,    0.000070,         2,               0,000,000
009,         2,       2,    0.003950,   10.000000,10000.420898,    0.033980,10000.364258,    0.000987,    0.052462,    0.028567,    0.008580,    0.000065,         2,               0,000,000
010,         2,       2,    0.005885,   10.000000,10000.349609,    0.039280,10000.280273,    0.001327,    0.063842,    0.031587,    0.013122,    0.000087,         2,               0,000,000
011,         3,       3,    0.005877,   10.000000,10000.373047,    0.057928,10000.260742,    0.001808,    0.105232,    0.050778,    0.018615,    0.000142,         3,               0,000,000
012,         1,       1,    0.004305,   10.000000,10000.261719,    0.027120,10000.208984,    0.000453,    0.048767,    0.020100,    0.009563,    0.000053,         1,               0,000,000
013,         1,       1,    0.004682,   10.000000,10000.104492,    0.028742,10000.053711,    0.000507,    0.046533,    0.021542,    0.009928,    0.000042,         1,               0,000,000
014,         2,       2,    0.004472,   10.000000,10000.328125,    0.034732,10000.260742,    0.000918,    0.063467,    0.029160,    0.009985,    0.000088,         2,               0,000,000
015,         1,       1,    0.004390,   10.000000,10000.196289,    0.026555,10000.146484,    0.000465,    0.044753,    0.021453,    0.009723,    0.000045,         1,               0,000,000
000,     96051,   96051,    1.616292,   10.000000, 9382.916992,  613.141602, 8754.936523,   15.891700,  622.274292,  591.542236,    4.566970,    2.350568,     96051,               0,000,001
001,     96050,   96050,    1.574650,   10.000000, 9433.959961,  562.108521, 8853.977539,   15.601625,  574.256165,  540.787170,    4.805402,    2.850577,     96050,               0,000,001
002,     96051,   96051,    1.778363,   10.000000, 9383.204102,  612.598389, 8757.422852,   16.542820,  620.011597,  590.403015,    4.790840,    2.642397,     96051,               0,000,001
003,     96051,   96051,    1.615763,   10.000000, 9380.915039,  615.345886, 8751.766602,   15.759461,  623.422607,  591.477905,    4.853408,    2.331438,     96051,               0,000,001
004,     96051,   96051,    1.773787,   10.000000, 9382.613281,  613.605835, 8754.166016,   16.151459,  622.604065,  591.574280,    4.835358,    2.341042,     96051,               0,000,001
005,     96051,   96051,    1.588712,   10.000000, 9390.669922,  605.705261, 8766.633789,   15.727140,  618.408630,  584.372559,    4.838483,    2.328860,     96051,               0,000,001
006,     96051,   96051,    1.596180,   10.000000, 9387.377930,  608.766479, 8764.223633,   16.393976,  617.412720,  586.693298,    4.656768,    2.336685,     96051,               0,000,001
007,     96051,   96051,    1.587732,   10.000000, 9390.351562,  606.000671, 8769.085938,   14.477123,  615.650574,  585.929810,    4.838603,    2.321843,     96051,               0,000,001
008,         2,       2,    0.001517,   10.000000,10000.165039,    0.021982,10000.129883,    0.000835,    0.033072,    0.019495,    0.003342,    0.000052,         2,               0,000,001
009,         2,       2,    0.002730,   10.000000,10000.303711,    0.026923,10000.255859,    0.001070,    0.044878,    0.022997,    0.006025,    0.000062,         2,               0,000,001
010,         2,       2,    0.002752,   10.000000,10000.262695,    0.028705,10000.219727,    0.000802,    0.039302,    0.024937,    0.006005,    0.000053,         2,               0,000,001
011,         2,       2,    0.002842,   10.000000,10000.228516,    0.025170,10000.185547,    0.001077,    0.040193,    0.023625,    0.007042,    0.000070,         2,               0,000,001
012,         2,       2,    0.001363,   10.000000,10000.368164,    0.023350,10000.324219,    0.000880,    0.042577,    0.020847,    0.003338,    0.000060,         2,               0,000,001
013,         2,       2,    0.001378,   10.000000,10000.348633,    0.023050,10000.309570,    0.001020,    0.037098,    0.020375,    0.003380,    0.000060,         2,               0,000,001
014,         2,       2,    0.000230,   10.000000,10000.200195,    0.019385,10000.149414,    0.001053,    0.050850,    0.017923,    0.006500,    0.000047,         2,               0,000,001
015,         2,       2,    0.000113,   10.000000,10000.334961,    0.018143,10000.307617,    0.000963,    0.026557,    0.016888,    0.000353,    0.000060,         2,               0,000,001
000,     95827,   95827,    1.628847,   10.000000, 9383.209961,  612.864990, 8751.230469,   16.774389,  626.212769,  590.387756,    4.607542,    2.351182,     95827,               0,000,002
001,     95826,   95826,    1.570672,   10.000000, 9427.874023,  568.251221, 8842.569336,   16.079494,  579.569275,  543.969849,    4.863353,    2.848602,     95826,               0,000,002
002,     95827,   95827,    1.782965,   10.000000, 9385.099609,  610.816895, 8759.681641,   16.808010,  619.662415,  588.364258,    4.781458,    2.624490,     95827,               0,000,002
003,     95827,   95827,    1.621650,   10.000000, 9380.486328,  615.791443, 8744.689453,   13.085573,  630.148865,  594.797363,    4.864944,    2.334780,     95827,               0,000,002
004,     95827,   95827,    1.783730,   10.000000, 9382.083008,  613.861694, 8754.489258,   16.128008,  621.645752,  591.854492,    4.833056,    2.345950,     95827,               0,000,002
005,     95828,   95828,    1.578737,   10.000000, 9393.242188,  603.198303, 8774.666016,   15.821350,  613.005798,  581.811646,    4.786068,    2.302970,     95828,               0,000,002
006,     95828,   95828,    1.590233,   10.000000, 9387.213867,  609.346863, 8763.655273,   16.292578,  617.827820,  587.371948,    4.553140,    2.329540,     95828,               0,000,002
007,     95827,   95827,    1.583912,   10.000000, 9394.626953,  601.760315, 8778.583008,   15.009625,  610.482483,  581.194946,    4.783468,    2.311373,     95827,               0,000,002
008,         2,       2,    0.002617,   10.000000,10000.437500,    0.026213,10000.395508,    0.000837,    0.039708,    0.022575,    0.005670,    0.000053,         2,               0,000,002
009,         2,       2,    0.002558,   10.000000,10000.400391,    0.026723,10000.351562,    0.001112,    0.045913,    0.022888,    0.005535,    0.000060,         2,               0,000,002
010,         2,       2,    0.002912,   10.000000,10000.361328,    0.026828,10000.317383,    0.000993,    0.041103,    0.022840,    0.005635,    0.000053,         2,               0,000,002
011,         2,       2,    0.001438,   10.000000,10000.330078,    0.026477,10000.291016,    0.000870,    0.036855,    0.025255,    0.003022,    0.000083,         2,               0,000,002
012,         1,       1,    0.001303,   10.000000,10000.267578,    0.013015,10000.240234,    0.000333,    0.026537,    0.011107,    0.002955,    0.000032,         1,               0,000,002
013,         1,       1,    0.001248,   10.000000,10000.227539,    0.013158,10000.200195,    0.000425,    0.025483,    0.011308,    0.002687,    0.000028,         1,               0,000,002
014,         2,       2,    0.000050,   10.000000,10000.465820,    0.017802,10000.433594,    0.000840,    0.032483,    0.016800,    0.003007,    0.000047,         2,               0,000,002
015,         1,       1,    0.001277,   10.000000,10000.303711,    0.013530,10000.282227,    0.000288,    0.020008,    0.011843,    0.002972,    0.000025,         1,               0,000,002
