tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   6065472,   94773,   24.307678,   10.000000, 9375.894531,  597.279480, 8758.142578,    6.486423,  612.088135,  585.220398,    4.741423,    2.185085,     94773,        33554432,000,000
001,   6065408,   94772,   24.236401,   10.000000, 9419.053711,  554.006531, 8843.864258,    8.243168,  569.306519,  540.062134,    4.652603,    2.127192,     94772,        33554432,000,000
002,   6065472,   94773,   24.583109,   10.000000, 9370.215820,  602.905518, 8744.984375,    6.591482,  619.382690,  590.542847,    4.717112,    2.223677,     94773,        33554432,000,000
003,   6065408,   94772,   24.574598,   10.000000, 9379.939453,  592.980164, 8763.918945,    6.578540,  610.172424,  580.655396,    4.882226,    2.197315,     94772,        33554432,000,000
004,   6065408,   94772,   24.402477,   10.000000, 9369.390625,  603.517822, 8744.560547,    7.999856,  618.990662,  589.680969,    4.632490,    2.209543,     94772,        33554432,000,000
005,   6065408,   94772,   23.878935,   10.000000, 9384.007812,  589.634460, 8774.885742,    6.402013,  603.540222,  577.779602,    4.517837,    2.173565,     94772,        33554432,000,000
006,   6065408,   94772,   23.694427,   10.000000, 9382.751953,  591.143372, 8768.964844,    6.423138,  608.136902,  579.148926,    4.660050,    2.146782,     94772,        33554432,000,000
007,   6065408,   94772,   24.099003,   10.000000, 9380.634766,  592.728333, 8769.416992,    6.684358,  605.510559,  580.381897,    4.966308,    2.462788,     94772,        33554432,000,000
008,        64,       1,    0.004412,   10.000000,10000.196289,    0.027023,10000.152344,    0.000300,    0.038717,    0.022057,    0.009513,    0.000052,         1,        33554432,000,000
009,       128,       2,    0.005980,   10.000000,10000.309570,    0.040218,10000.243164,    0.000882,    0.060737,    0.031337,    0.012700,    0.000078,         2,        33554432,000,000
010,        64,       1,    0.006868,   10.000000,10000.111328,    0.024902,10000.061523,    0.000463,    0.044953,    0.019768,    0.010065,    0.000043,         1,        33554432,000,000
011,       128,       2,    0.006233,   10.000000,10000.346680,    0.038273,10000.277344,    0.000783,    0.062733,    0.031315,    0.012910,    0.000067,         2,        33554432,000,000
012,       128,       2,    0.006002,   10.000000,10000.407227,    0.041280,10000.341797,    0.000607,    0.059668,    0.032605,    0.013193,    0.000087,         2,        33554432,000,000
013,        64,       1,    0.004620,   10.000000,10000.296875,    0.029460,10000.247070,    0.000358,    0.044282,    0.024105,    0.010332,    0.000053,         1,        33554432,000,000
014,       128,       2,    0.006538,   10.000000,10000.382812,    0.035805,10000.312500,    0.000782,    0.065080,    0.028822,    0.012785,    0.000073,         2,        33554432,000,000
015,       128,       2,    0.004972,   10.000000,10000.435547,    0.035347,10000.379883,    0.001048,    0.050610,    0.029418,    0.010442,    0.000087,         2,        33554432,000,000
000,   6085568,   95087,   24.267260,   10.000000, 9373.981445,  599.354065, 8754.548828,    6.873328,  613.750610,  586.899902,    4.753238,    2.204922,     95087,        33554432,000,001
001,   6085568,   95087,   24.278528,   10.000000, 9417.849609,  555.395752, 8841.343750,    8.568447,  570.633911,  541.111206,    4.659882,    2.129770,     95087,        33554432,000,001
002,   6085568,   95087,   24.531185,   10.000000, 9370.561523,  602.296753, 8748.540039,    6.863015,  616.192566,  589.671448,    4.658566,    2.219658,     95087,        33554432,000,001
003,   6085568,   95087,   24.846230,   10.000000, 9370.121094,  602.703918, 8749.666992,    9.355001,  614.571838,  587.487061,    4.934475,    2.226737,     95087,        33554432,000,001
004,   6085632,   95088,   24.457384,   10.000000, 9373.480469,  599.619263, 8750.694336,    6.725357,  616.956360,  587.068054,    4.630545,    2.212560,     95088,        33554432,000,001
005,   6085632,   95088,   23.731041,   10.000000, 9388.245117,  586.124695, 8781.181641,    6.659678,  601.521790,  574.041199,    4.426990,    2.158858,     95088,        33554432,000,001
006,   6085632,   95088,   23.691174,   10.000000, 9383.391602,  590.710327, 8770.912109,    6.659673,  606.836304,  578.497864,    4.636387,    2.143258,     95088,        33554432,000,001
007,   6085568,   95087,   24.038921,   10.000000, 9381.976562,  591.625854, 8772.574219,    7.099800,  603.740784,  578.904297,    4.921148,    2.461960,     95087,        33554432,000,001
008,       128,       2,    0.003025,   10.000000,10000.501953,    0.023555,10000.460938,    0.000677,    0.038497,    0.022602,    0.005855,    0.000057,         2,        33554432,000,001
009,       128,       2,    0.003175,   10.000000,10000.431641,    0.025990,10000.384766,    0.000962,    0.044278,    0.022243,    0.006385,    0.000055,         2,        33554432,000,001
010,        64,       1,    0.001498,   10.000000,10000.330078,    0.009322,10000.308594,    0.000265,    0.020057,    0.008908,    0.003058,    0.000030,         1,        33554432,000,001
011,        64,       1,    0.001525,   10.000000,10000.293945,    0.013088,10000.272461,    0.000252,    0.020552,    0.011510,    0.002980,    0.000027,         1,        33554432,000,001
012,        64,       1,    0.001457,   10.000000,10000.364258,    0.014058,10000.341797,    0.000298,    0.020670,    0.012352,    0.003162,    0.000030,         1,        33554432,000,001
013,       128,       2,    0.002917,   10.000000,10000.471680,    0.021127,10000.422852,    0.000787,    0.045737,    0.020092,    0.006412,    0.000085,         2,        33554432,000,001
014,        64,       1,    0.001522,   10.000000,10000.259766,    0.012978,10000.237305,    0.000512,    0.020572,    0.011003,    0.003132,    0.000027,         1,        33554432,000,001
015,        64,       1,    0.001483,   10.000000,10000.406250,    0.013145,10000.380859,    0.000227,    0.024422,    0.011520,    0.003177,    0.000027,         1,        33554432,000,001
