tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run
000,   2772672,   43323,   10.939036,   10.000000, 9715.566406,  271.636841, 9434.228516,    4.121585,  278.807007,  264.994080,    2.153433,    0.974378,     43323,        33554432,000,000
001,   2772672,   43323,   11.219343,   10.000000, 9730.697266,  256.359680, 9461.017578,    4.216660,  267.119080,  248.402481,    2.330748,    0.975418,     43323,        33554432,000,000
002,   2772672,   43323,   11.049744,   10.000000, 9715.176758,  271.912445, 9433.186523,    4.427557,  279.458099,  264.975586,    2.091730,    0.975542,     43323,        33554432,000,000
003,   2772672,   43323,   10.846762,   10.000000, 9714.416992,  273.127655, 9427.223633,    4.204875,  284.653961,  266.408813,    2.019000,    1.039970,     43323,        33554432,000,000
004,   2772672,   43323,   10.868981,   10.000000, 9715.768555,  271.672546, 9435.158203,    4.001105,  278.103607,  265.169769,    2.115490,    0.974752,     43323,        33554432,000,000
005,   2772672,   43323,   10.874065,   10.000000, 9716.757812,  270.655914, 9435.294922,    4.508543,  278.922607,  263.657928,    2.183723,    0.974373,     43323,        33554432,000,000
006,   2772672,   43323,   10.842381,   10.000000, 9715.278320,  272.045624, 9433.070312,    4.154842,  279.673126,  265.415771,    2.040050,    0.979353,     43323,        33554432,000,000
007,   2772672,   43323,   10.799710,   10.000000, 9718.656250,  268.825867, 9438.900391,    4.171447,  277.248444,  262.121948,    2.062887,    0.978182,     43323,        33554432,000,000
008,   2772864,   43326,   11.079068,   10.000000, 9658.768555,  327.835815, 9319.641602,    4.318109,  336.246063,  320.665771,    2.362683,    0.979945,     43326,        33554432,000,000
009,   2772992,   43328,   11.220607,   10.000000, 9659.341797,  327.333893, 9319.530273,    4.184275,  336.971191,  320.338898,    2.362218,    0.984333,     43328,        33554432,000,000
010,   2772544,   43321,   11.074440,   10.000000, 9660.329102,  325.593140, 9321.773438,    3.814858,  335.692413,  318.867828,    2.381457,    0.982373,     43321,        33554432,000,000
011,   2772992,   43328,   11.095391,   10.000000, 9659.843750,  326.959412, 9320.408203,    4.076097,  336.592163,  319.920837,    2.546642,    0.984310,     43328,        33554432,000,000
012,   2772672,   43323,   11.169049,   10.000000, 9660.432617,  325.890076, 9320.294922,    3.855488,  337.251221,  319.185608,    2.380243,    0.980203,     43323,        33554432,000,000
013,   2772928,   43327,   11.120555,   10.000000, 9658.613281,  328.063568, 9318.064453,    4.290147,  337.703827,  320.947998,    2.708140,    1.006425,     43327,        33554432,000,000
014,   2772928,   43327,   11.032151,   10.000000, 9660.293945,  326.502014, 9320.886719,    3.990865,  336.606689,  319.654663,    2.370187,    0.977692,     43327,        33554432,000,000
015,   2772992,   43328,   11.122084,   10.000000, 9662.041992,  324.669861, 9325.359375,    3.973745,  333.742737,  317.696960,    2.426643,    0.976847,     43328,        33554432,000,000
000,   2784064,   43501,   10.950278,   10.000000, 9717.833984,  271.973114, 9435.463867,    3.730172,  279.832153,  265.733368,    2.145313,    0.978903,     43501,        33554432,000,001
001,   2784064,   43501,   11.029892,   10.000000, 9732.931641,  256.962372, 9462.117188,    4.184987,  267.150208,  249.178299,    2.368790,    0.978875,     43501,        33554432,000,001
002,   2784064,   43501,   10.837530,   10.000000, 9716.666992,  273.212311, 9430.017578,    4.347735,  284.106720,  266.376831,    2.111718,    0.980517,     43501,        33554432,000,001
003,   2784064,   43501,   11.068377,   10.000000, 9715.907227,  273.972107, 9431.021484,    4.330373,  282.362518,  267.155853,    2.047752,    1.030428,     43501,        33554432,000,001
004,   2784064,   43501,   10.932399,   10.000000, 9717.208984,  272.770966, 9435.053711,    3.988045,  279.628906,  266.255035,    2.128497,    0.994838,     43501,        33554432,000,001
