tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id
000,3.0, 0.000116667, 0.000116667, 0.000116667,3001.649658203,3001.649658203,3001.649658203, 0.013666667, 0.013666667, 0.013666667,3001.471191406,3001.471191406,3001.471191406, 0.002833333, 0.002833333, 0.002833333, 0.177856669, 0.177856669, 0.177856669, 0.010043333, 0.010043333, 0.010043333, 0.000263333, 0.000263333, 0.000263333, 0.000080000, 0.000080000, 0.000080000,17.000000000,17.000000000,17.000000000,               0,001
001,3.0, 0.000013333, 0.000015000, 0.000360000, 0.006145000, 0.024058333,1439.417358398, 0.006100000, 0.007930000, 0.294143319, 0.000051667, 0.000066667,1439.390380859, 0.000090000, 0.001798333, 0.286718339, 0.005910000, 0.023816667, 0.252205014, 0.005531667, 0.005885000, 0.016829999, 0.000045000, 0.000051667, 0.003880000, 0.000021667, 0.000025000, 0.000463333, 1.000000000, 4.000000000,42.000000000,               0,001
002,3.0, 0.000246667, 0.000246667, 0.000246667,3001.745117188,3001.745117188,3001.745117188, 0.014746667, 0.014746667, 0.014746667,3001.672851562,3001.672851562,3001.672851562, 0.002873333, 0.002873333, 0.002873333, 0.071099997, 0.071099997, 0.071099997, 0.011043333, 0.011043333, 0.011043333, 0.000263333, 0.000263333, 0.000263333, 0.000080000, 0.000080000, 0.000080000, 6.000000000, 6.000000000, 6.000000000,               0,001
003,3.0, 0.000013333, 0.000017083, 0.000404167, 0.007460000, 0.016250417,1562.211669922, 0.007747083, 0.009877916, 0.025653332, 0.000058750, 0.000075833,1562.160888672, 0.000080000, 0.001785417, 0.015094167, 0.007200000, 0.015979167, 1.917984962, 0.005688750, 0.007894583, 0.023421668, 0.000045000, 0.000056667, 0.009541250, 0.000023333, 0.000028333, 0.000429583, 1.000000000, 2.000000000,240.000000000,               0,001
004,3.0, 0.000120000, 0.000120000, 0.000120000,3001.452148438,3001.452148438,3001.452148438, 0.014043333, 0.014043333, 0.014043333,3001.398925781,3001.398925781,3001.398925781, 0.003176667, 0.003176667, 0.003176667, 0.051890001, 0.051890001, 0.051890001, 0.010156667, 0.010156667, 0.010156667, 0.000286667, 0.000286667, 0.000286667, 0.000080000, 0.000080000, 0.000080000, 4.000000000, 4.000000000, 4.000000000,               0,001
005,3.0, 0.000130000, 0.000130000, 0.000130000,3001.291748047,3001.291748047,3001.291748047, 0.015620000, 0.015620000, 0.015620000,3001.215820312,3001.215820312,3001.215820312, 0.003430000, 0.003430000, 0.003430000, 0.074976668, 0.074976668, 0.074976668, 0.011466667, 0.011466667, 0.011466667, 0.000273333, 0.000273333, 0.000273333, 0.000076667, 0.000076667, 0.000076667, 6.000000000, 6.000000000, 6.000000000,               0,001
006,3.0, 0.000120000, 0.000120000, 0.000120000,3001.802246094,3001.802246094,3001.802246094, 0.014306666, 0.014306666, 0.014306666,3001.769042969,3001.769042969,3001.769042969, 0.002956667, 0.002956667, 0.002956667, 0.032363333, 0.032363333, 0.032363333, 0.010633334, 0.010633334, 0.010633334, 0.000263333, 0.000263333, 0.000263333, 0.000080000, 0.000080000, 0.000080000, 2.000000000, 2.000000000, 2.000000000,               0,001
007,3.0, 0.000113333, 0.000113333, 0.000113333,3000.235839844,3000.235839844,3000.235839844, 0.014176667, 0.014176667, 0.014176667,3000.202636719,3000.202636719,3000.202636719, 0.003223333, 0.003223333, 0.003223333, 0.032203332, 0.032203332, 0.032203332, 0.010176667, 0.010176667, 0.010176667, 0.000250000, 0.000250000, 0.000250000, 0.000080000, 0.000080000, 0.000080000, 2.000000000, 2.000000000, 2.000000000,               0,001
008,3.0, 0.000170000, 0.000170000, 0.000170000,3001.060546875,3001.060546875,3001.060546875, 0.017180000, 0.017180000, 0.017180000,3000.977050781,3000.977050781,3000.977050781, 0.003290000, 0.003290000, 0.003290000, 0.082196668, 0.082196668, 0.082196668, 0.012880000, 0.012880000, 0.012880000, 0.000306667, 0.000306667, 0.000306667, 0.000073333, 0.000073333, 0.000073333, 6.000000000, 6.000000000, 6.000000000,               0,001
009,3.0, 0.000156667, 0.000156667, 0.000156667,3000.182128906,3000.182128906,3000.182128906, 0.016300000, 0.016300000, 0.016300000,3000.108154297,3000.108154297,3000.108154297, 0.003043333, 0.003043333, 0.003043333, 0.072886668, 0.072886668, 0.072886668, 0.012180000, 0.012180000, 0.012180000, 0.000306667, 0.000306667, 0.000306667, 0.000073333, 0.000073333, 0.000073333, 5.000000000, 5.000000000, 5.000000000,               0,001
010,3.0, 0.000170000, 0.000170000, 0.000170000,3001.371093750,3001.371093750,3001.371093750, 0.016519999, 0.016519999, 0.016519999,3001.314697266,3001.314697266,3001.314697266, 0.003240000, 0.003240000, 0.003240000, 0.055146668, 0.055146668, 0.055146668, 0.012463333, 0.012463333, 0.012463333, 0.000256667, 0.000256667, 0.000256667, 0.000080000, 0.000080000, 0.000080000, 4.000000000, 4.000000000, 4.000000000,               0,001
