tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,         0,       0,    0.000010,    0.000000,    0.011910,    0.006098,    0.000643,    0.000216,    0.011070,    0.005753,         1,               0,000,000
000,         0,       0,    0.000008,    0.000000,    0.231928,    0.005112,    0.226449,    0.000054,    0.005431,    0.005002,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.199972,    0.005066,    0.194578,    0.000064,    0.005347,    0.004952,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.202778,    0.006713,    0.197440,    0.000083,    0.005298,    0.006573,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.194578,    0.005079,    0.188937,    0.000066,    0.005561,    0.004964,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.200630,    0.005130,    0.195058,    0.000051,    0.005519,    0.005031,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.193304,    0.005113,    0.187696,    0.000047,    0.005537,    0.005000,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.213307,    0.005110,    0.207169,    0.000061,    0.006065,    0.004994,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.192532,    0.005068,    0.186983,    0.000048,    0.005482,    0.004969,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.199590,    0.005101,    0.192622,    0.000054,    0.006877,    0.004998,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.190918,    0.005069,    0.185389,    0.000046,    0.005468,    0.004972,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.200647,    0.005029,    0.195106,    0.000039,    0.005476,    0.004941,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.191472,    0.005078,    0.185980,    0.000047,    0.005435,    0.004980,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.196807,    0.010862,    0.191300,    0.000057,    0.005452,    0.010736,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.192770,    0.005099,    0.187183,    0.000044,    0.005506,    0.004988,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.200266,    0.005061,    0.194829,    0.000052,    0.005389,    0.004946,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.191745,    0.005053,    0.186285,    0.000044,    0.005414,    0.004957,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.201483,    0.005121,    0.192098,    0.000050,    0.009330,    0.005010,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.192919,    0.005046,    0.187432,    0.000045,    0.005387,    0.004955,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.199438,    0.010918,    0.193941,    0.000056,    0.005446,    0.010800,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.024187,    0.005647,    0.017201,    0.000127,    0.006840,    0.005447,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.230219,    0.005484,    0.224412,    0.000104,    0.005739,    0.005341,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.199369,    0.005329,    0.193789,    0.000083,    0.005539,    0.005205,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.204173,    0.005343,    0.198576,    0.000046,    0.005552,    0.005262,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.194278,    0.005296,    0.188712,    0.000045,    0.005471,    0.005211,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.200501,    0.005411,    0.194933,    0.000040,    0.005503,    0.005313,         1,               0,000,000
