tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,glock_tries,array_size(B),client_id,run
000,         0,       0,    0.000010,    0.000000,    0.013172,    0.011795,    0.001038,    0.001592,    0.011775,    0.010031,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.132692,    0.006601,    0.126444,    0.001370,    0.006197,    0.005182,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.051840,    0.006142,    0.046429,    0.001006,    0.005362,    0.005092,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019975,    0.006006,    0.014668,    0.000840,    0.005268,    0.005110,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019526,    0.005954,    0.014097,    0.000847,    0.005390,    0.005066,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.020645,    0.006012,    0.015240,    0.000778,    0.005368,    0.005191,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.020813,    0.006021,    0.015379,    0.000757,    0.005332,    0.005157,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019719,    0.005936,    0.014336,    0.000779,    0.005317,    0.005114,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019558,    0.005940,    0.014115,    0.000825,    0.005401,    0.005073,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019394,    0.005939,    0.014093,    0.000829,    0.005264,    0.005069,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.020246,    0.005854,    0.014902,    0.000766,    0.005302,    0.005044,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.020360,    0.005859,    0.015105,    0.000769,    0.005218,    0.005048,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019838,    0.005875,    0.014480,    0.000764,    0.005318,    0.005068,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019491,    0.005829,    0.014048,    0.000781,    0.005405,    0.005008,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019557,    0.006331,    0.014138,    0.000818,    0.005315,    0.005405,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019441,    0.005863,    0.014122,    0.000766,    0.005280,    0.005054,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019483,    0.006278,    0.014136,    0.000781,    0.005308,    0.005457,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019368,    0.005896,    0.014062,    0.000797,    0.005259,    0.005056,         1,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.019445,    0.005906,    0.014115,    0.000780,    0.005292,    0.005086,         1,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.019448,    0.005923,    0.014027,    0.000766,    0.005381,    0.005116,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    4.442017,    0.012838,    4.435277,    0.001779,    0.006317,    0.010938,         1,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.019779,    0.007991,    0.012755,    0.001252,    0.006922,    0.006669,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.019025,    0.006453,    0.012916,    0.001119,    0.006037,    0.005281,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.022088,    0.006498,    0.016568,    0.000861,    0.005479,    0.005597,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.020309,    0.005965,    0.014933,    0.000788,    0.005308,    0.005123,         1,               0,000,000
001,         0,       0,    0.000012,    0.000000,    0.027200,    0.007749,    0.014668,    0.001032,    0.012431,    0.006607,         1,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.018883,    0.007642,    0.012251,    0.001176,    0.006537,    0.006403,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.018114,    0.005875,    0.012331,    0.000530,    0.005708,    0.005282,         1,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.015603,    0.005813,    0.010292,    0.000486,    0.005253,    0.005288,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.015653,    0.005646,    0.010329,    0.000487,    0.005278,    0.005118,         1,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.015727,    0.005655,    0.010440,    0.000487,    0.005233,    0.005127,         1,               0,000,000
