tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,      3502,    3502,    0.032849,   30.000000,22481.722656,   18.693958,22462.791016,    0.119062,   18.766140,   18.421312,      3502,               0,000,000
001,     44018,   44018,    0.412237,   30.000000,22262.167969,  237.362885,22024.796875,    1.452449,  235.336533,  233.971725,     44018,               0,000,000
002,     54840,   54840,    0.509700,   30.000000,22213.402344,  285.981293,21926.054688,    1.893231,  285.184204,  281.896820,     54840,               0,000,000
003,     12169,   12169,    0.114332,   30.000000,22435.115234,   65.145775,22369.386719,    0.395974,   65.253578,   64.279694,     12169,               0,000,000
004,    113465,  113465,    1.048857,   30.000000,21898.667969,  599.713196,21294.923828,    3.590367,  598.255493,  591.635986,    113465,               0,000,000
005,     34545,   34545,    0.321704,   30.000000,22317.613281,  182.254593,22134.271484,    1.124007,  181.995163,  179.803314,     34545,               0,000,000
006,      6111,    6111,    0.058084,   30.000000,22466.513672,   33.902317,22432.291016,    0.256941,   33.934929,   33.386124,      6111,               0,000,000
007,     53911,   53911,    0.498970,   30.000000,22212.019531,  287.340485,21922.738281,    1.756810,  287.146027,  283.459808,     53911,               0,000,000
008,    172834,  172834,    1.590159,   30.000000,21331.845703, 1165.294189,20152.150391,    7.935227, 1166.292847, 1143.676514,    172834,               0,000,000
009,    134266,  134266,    1.245093,   30.000000,21641.642578,  856.386169,20774.160156,    4.257468,  860.584412,  846.904907,    134266,               0,000,000
010,    235281,  235281,    2.211188,   30.000000,20986.949219, 1509.164307,19460.291016,    7.701898, 1517.626587, 1492.349976,    235281,               0,000,000
011,    144631,  144631,    1.348944,   30.000000,21595.269531,  902.602722,20683.162109,    4.626574,  906.592102,  892.455933,    144631,               0,000,000
012,    111916,  111916,    1.036493,   30.000000,21786.603516,  711.715271,21068.294922,    3.892518,  713.784180,  703.391174,    111916,               0,000,000
013,    149072,  149072,    1.373671,   30.000000,21524.533203,  973.055603,20541.546875,    4.752679,  976.783752,  962.367737,    149072,               0,000,000
014,    246710,  246710,    2.283403,   30.000000,20897.654297, 1598.109497,19285.064453,    7.878743, 1601.981934, 1580.341064,    246710,               0,000,000
015,    261806,  261806,    2.450899,   30.000000,20798.880859, 1696.812378,19085.019531,    8.241275, 1703.810425, 1678.517090,    261806,               0,000,000
000,       813,     813,    0.007681,   30.000000,22495.671875,    4.431811,22491.136719,    0.031343,    4.494253,    4.361938,       813,               0,000,001
001,      3490,    3490,    0.032958,   30.000000,22481.150391,   18.859104,22462.097656,    0.117980,   18.905193,   18.600567,      3490,               0,000,001
002,     46390,   46390,    0.435398,   30.000000,22254.730469,  244.372803,22008.904297,    1.563243,  244.038727,  241.010376,     46390,               0,000,001
003,      8291,    8291,    0.077602,   30.000000,22455.531250,   44.399433,22410.773438,    0.267730,   44.435654,   43.813019,      8291,               0,000,001
004,     43187,   43187,    0.405471,   30.000000,22271.177734,  228.108734,22041.867188,    1.371060,  227.605484,  225.030533,     43187,               0,000,001
005,     10570,   10570,    0.100778,   30.000000,22444.699219,   55.165779,22389.031250,    0.345637,   55.248734,   54.415260,     10570,               0,000,001
006,      5285,    5285,    0.049149,   30.000000,22471.027344,   29.003920,22441.855469,    0.207692,   28.952900,   28.581961,      5285,               0,000,001
007,     29334,   29334,    0.270689,   30.000000,22345.189453,  154.352768,22190.062500,    0.945460,  153.953918,  152.246429,     29334,               0,000,001
008,    110105,  110105,    1.017514,   30.000000,21758.330078,  739.606812,21009.457031,    5.054830,  740.184509,  725.823547,    110105,               0,000,001
009,    523152,  523152,    4.843107,   30.000000,19120.691406, 3369.505615,15714.771484,   16.515238, 3385.856934, 3332.773193,    523152,               0,000,001
010,     66212,   66212,    0.625505,   30.000000,22072.833984,  426.107910,21641.072266,    2.156141,  429.213043,  421.380646,     66212,               0,000,001
011,    128239,  128239,    1.195533,   30.000000,21693.640625,  804.102234,20880.150391,    4.121696,  808.581787,  795.078308,    128239,               0,000,001
012,    328513,  328513,    3.052012,   30.000000,20405.826172, 2087.741943,18296.603516,   11.262940, 2096.260498, 2063.491943,    328513,               0,000,001
013,     25294,   25294,    0.234625,   30.000000,22334.410156,  165.293747,22167.466797,    0.804276,  165.897415,  163.487915,     25294,               0,000,001
014,    113021,  113021,    1.045022,   30.000000,21766.128906,  731.962097,21026.943359,    3.583764,  734.729675,  723.929138,    113021,               0,000,001
015,    313636,  313636,    2.934231,   30.000000,20480.279297, 2013.850708,18444.042969,   10.099180, 2024.234131, 1991.736450,    313636,               0,000,001
