tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
000,1539571712,    5872,  987.572998,   20.000000,19004.162109,    2.411400,19003.365234,    1.277735,    0.118878,    0.400792,    0.000000,    0.000000,         0,         1048576,000,000,000001
001,1539571712,    5872, 1099.387573,   20.000000,18461.431641,  433.520477, 8111.534180,    1.474580,10349.174805,  431.234894,  502.812653,  424.192047,   1404792,         1048576,000,000,000001
002,1539571712,    5872, 1012.228394,   20.000000,14298.762695, 4683.753418,14297.977539,    1.179022,    0.125757, 4681.945801,    0.000000, 4666.794434,         0,         1048576,000,000,000001
003,1539571712,    5872,  994.997681,   20.000000,18996.177734,    2.632398,18581.757812,    1.447283,  413.732697,    0.389192,  198.845779,    0.000000,     29976,         1048576,000,000,000001
004,   1310720,       4,    0.863590,   20.000000,16727.486328,    0.003322,16722.947266,    0.002230,    4.528870,    0.000240,    0.240845,    0.000000,       515,         1048576,000,000,000001
005,   1310720,       4,    0.828842,   20.000000,16727.673828,    0.002727,16727.671875,    0.001605,    0.000067,    0.000372,    0.000000,    0.000000,         0,         1048576,000,000,000001
006,   1310720,       4,    0.920395,   20.000000,16726.945312,    0.525237,16726.919922,    0.002348,    0.000067,    0.521910,    0.000000,    0.511648,         0,         1048576,000,000,000001
007,   1310720,       4,    0.682950,   20.000000,16727.898438,    0.003002,16727.876953,    0.001688,    0.000052,    0.000277,    0.000000,    0.000000,         0,         1048576,000,000,000001
000,1201930240,    4584,  821.765442,   20.000000,19171.982422,    2.005601,11878.178711,    1.099694, 7293.280273,    0.297951,  263.312042,    0.000000,    993869,         1048576,000,001,000001
001,1202192384,    4585,  782.896667,   20.000000,18657.458984,  556.343384,18317.966797,    0.972286,  338.922150,  554.805969,   11.965453,  546.564026,     46283,         1048576,000,001,000001
002,1201668096,    4583,  803.436157,   20.000000,19166.195312,   25.816874,14543.692383,    1.096803, 4621.970703,   24.181320,  155.859756,   23.453587,    632830,         1048576,000,001,000001
003,1201668096,    4583,  789.318665,   20.000000,18669.341797,  536.479431,15271.412109,    1.089032, 3397.359375,  534.759216,  117.494797,  525.995972,    487448,         1048576,000,001,000001
004,    786432,       2,    0.339267,   20.000000, 6300.077637,    0.001407, 6300.076172,    0.000937,    0.000035,    0.000082,    0.000000,    0.000000,         0,         1048576,000,001,000001
005,   1048576,       3,    0.590665,   20.000000,15680.842773,    1.016608,15680.841797,    0.001785,    0.000038,    1.014322,    0.000000,    0.995835,         0,         1048576,000,001,000001
006,    786432,       2,    0.412768,   20.000000, 6299.837402,    0.001800, 6282.481445,    0.001155,   17.355217,    0.000139,    0.241246,    0.000000,      2010,         1048576,000,001,000001
007,    786432,       2,    0.334880,   20.000000, 6300.234375,    0.503805, 6300.232910,    0.000497,    0.000078,    0.502940,    0.000000,    0.493917,         0,         1048576,000,001,000001
000,1190658048,    4541,  766.419617,   20.000000,19215.398438,    2.019682,19214.785156,    1.116013,    0.073980,    0.331308,    0.000000,    0.000000,         0,         1048576,000,002,000001
001,1190658048,    4541,  783.093994,   20.000000,18096.845703, 1104.591919,18096.224609,    0.848930,    0.064108, 1103.219849,    0.000000, 1086.843262,         0,         1048576,000,002,000001
002,1190658048,    4541,  761.552307,   20.000000,19220.582031,    1.863215,19219.947266,    0.983097,    0.103785,    0.373228,    0.000000,    0.000000,         0,         1048576,000,002,000001
003,1190658048,    4541,  812.277649,   20.000000,19169.019531,    2.219357, 3427.753662,    1.270262,15740.770508,    0.249278,  541.997742,    0.000000,   2258032,         1048576,000,002,000001
004,    524288,       1,    0.168440,   20.000000,14372.505859,    0.000672,14372.505859,    0.000465,    0.000012,    0.000040,    0.000000,    0.000000,         0,         1048576,000,002,000001
005,    524288,       1,    0.200500,   20.000000,14369.369141,    0.493117,14369.369141,    0.000485,    0.000012,    0.492477,    0.000000,    0.483842,         0,         1048576,000,002,000001
006,    524288,       1,    0.203000,   20.000000,14372.415039,    0.000537,14370.038086,    0.000318,    2.378122,    0.000073,    0.239368,    0.000000,       255,         1048576,000,002,000001
007,    524288,       1,    0.167682,   20.000000,14372.667969,    0.000533,14372.666016,    0.000315,    0.000013,    0.000065,    0.000000,    0.000000,         0,         1048576,000,002,000001
000,1217396736,    4643,  829.028931,   20.000000,18857.787109,  292.608948,12688.083984,    1.115548, 6169.171387,  290.890167,  227.781754,  286.392914,    844148,         1048576,000,003,000001
001,1217921024,    4645,  815.237366,   20.000000,18701.865234,  462.662354,14751.119141,    1.027622, 3950.161133,  461.029114,  143.666946,  454.181274,    538329,         1048576,000,003,000001
002,1217658880,    4644,  787.165588,   20.000000,18816.240234,  377.040741,18815.609375,    0.976075,    0.087927,  375.555145,    0.000000,  369.687347,         0,         1048576,000,003,000001
003,1217658880,    4644,  801.517090,   20.000000,19175.710938,    2.197087,13691.704102,    1.205817, 5483.427246,    0.295368,  184.085236,    0.000000,    786975,         1048576,000,003,000001
