tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
000,20.0, 0.167706668, 0.168148339, 0.168424994, 0.536610007, 1.960260034, 9.848054886, 0.000365000, 0.000419167, 0.000471667, 0.536504984, 1.960125804, 9.847933769, 0.000195000, 0.000210000, 0.000253333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
001,20.0, 0.176725000, 0.187728330, 0.200721666, 0.511878312, 1.942685843, 9.831976891, 0.000423333, 0.000450000, 0.000475000, 0.511738360, 0.756183326, 1.007143378, 0.000226667, 0.000262500, 0.000276667, 2.117084980, 3.201444149, 8.592144966, 0.000000000, 0.244050831, 0.249806672, 0.239079997, 0.239323333, 0.239535004, 0.000000000, 0.238612503, 0.240116671,299.000000000,460.000000000,1213.000000000,         1048576,000,000001
002,20.0, 0.172270000, 0.174408332, 0.175148338, 0.529579997, 1.711522460, 9.357110023, 0.000436667, 0.242935836, 0.486738324, 0.529468358, 1.711390853, 9.356967926, 0.000146667, 0.000194167, 0.000231667, 0.000000000, 0.000000000, 0.000000000, 0.244711667, 0.245365828, 0.246246666, 0.000000000, 0.000000000, 0.000000000, 0.239098340, 0.240068331, 0.240596667, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
003,20.0, 0.168313339, 0.169080839, 0.176346660, 0.533138335, 1.958451629, 9.847036362, 0.000371667, 0.000423333, 0.000518333, 0.533041656, 1.958328366, 9.846858025, 0.000175000, 0.000215000, 0.000283333, 0.000000000, 0.003441667, 0.011175000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.118488334, 0.238593340, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 1.000000000,         1048576,000,000001
004,20.0, 0.167768329, 0.186859161, 0.322103322, 0.599563360,5046.520019531,6633.848144531, 0.000733333, 0.000754167, 0.001080000, 0.599136651,5044.250000000,6633.847656250, 0.000495000, 0.000520833, 0.000693333, 0.000000000, 0.000000000, 4.286896706, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.240844995, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,515.000000000,         1048576,000,000001
005,20.0, 0.167163327, 0.168449163, 0.324779987, 0.903980017,5046.460449219,6633.847656250, 0.000483333, 0.000638333, 0.000966667, 0.903483331,5046.459960938,6633.847167969, 0.000290000, 0.000389167, 0.000536667, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
006,20.0, 0.196706668, 0.203059167, 0.317570001, 0.488020003,5044.036621094,6638.385253906, 0.001016667, 0.001031667, 0.522156656, 0.487323344,5044.025390625,6638.383789062, 0.000480000, 0.000566667, 0.000735000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.255863339, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.265451670, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
007,20.0, 0.167593330, 0.168021664, 0.179313332,2011.013061523,4041.519287109,6633.846679688, 0.000500000, 0.000565000, 0.001371667,2010.991577148,4041.519042969,6633.846191406, 0.000248333, 0.000343333, 0.000753333, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000,         1048576,000,000001
000,20.0, 0.168098330, 0.169607505, 0.170161664, 0.533708334, 4.098159313,22.699132919, 0.000378333, 0.000452500, 0.000513333, 0.533603311, 4.098028183,22.698957443, 0.000206667, 0.000232500, 0.000286667, 0.000000000, 2.102309227, 4.256443501, 0.000000000, 0.123598330, 0.247724995, 0.000000000, 0.238592505, 0.244161665, 0.000000000, 0.119938336, 0.240976661, 0.000000000,253.000000000,529.000000000,         1048576,001,000001
001,20.0, 0.176455006, 0.195213333, 0.207048327, 0.508343339, 4.077643394,22.672964096, 0.000380000, 0.000413333, 0.000532917, 0.508198321, 0.753879189, 1.002104998, 0.000200000, 0.000224167, 0.000324167, 0.516813338, 5.339389801,21.430143356, 0.000000000, 0.000000000, 0.000000000, 0.238943338, 0.239850834, 0.242339998, 0.000000000, 0.000000000, 0.000000000,53.000000000,626.000000000,2524.000000000,         1048576,001,000001
