tid,total_duration(s),min_slock_hold,med,max,min_swait_acq,med,max,min_swait_rel,med,max,min_slwait_acq,med,max,min_slwait_rel,med,max,min_sgwait_acq,med,max,min_sgwait_rel,med,max,min_sdata_read,med,max,min_sdata_write,med,max,min_sglock_tries,med,max,array_size(B),client_id,nlocks
000,20.0, 0.092953332, 0.093066670, 0.093269996, 0.484699994, 0.487191677, 0.488481671, 0.131131664, 0.133856669, 0.135366663, 0.353870004, 0.354693323, 0.356804997, 0.000211667, 0.000238333, 0.000520000, 0.007330000, 0.009369167, 0.010405000, 0.007008333, 0.009005000, 0.009900000, 0.121976666, 0.122133337, 0.123256668, 0.123623334, 0.124291666, 0.124903336, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
001,20.0, 0.077676669, 0.077879168, 0.078534998, 0.501271665, 0.503172517,5449.350097656, 0.129308328, 0.129455000, 0.130521670, 0.372456670, 0.374150842,5449.196289062, 0.000241667, 0.000245833, 0.000471667, 0.006670000, 0.006945834, 0.026680000, 0.006660000, 0.006705833, 0.006953334, 0.121491663, 0.121744998, 0.122308336, 0.122189999, 0.122266665, 0.122749999, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
002,20.0, 0.092960000, 0.093074165, 0.093304999, 0.484200001, 0.502485812, 0.510401666, 0.130594999, 0.130834162, 0.134498328, 0.353789985, 0.372369170, 0.377198339, 0.000251667, 0.000260000, 0.000576667, 0.007506667, 0.007865833, 0.008151666, 0.007145000, 0.007350000, 0.007748333, 0.122021668, 0.122209169, 0.126433328, 0.122806668, 0.122973330, 0.126678333, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
003,20.0, 0.092976667, 0.093169168, 0.093269996, 0.500738323, 0.503653347, 0.508774996, 0.130576670, 0.130694166, 0.134896666, 0.370303333, 0.372887492, 0.378464997, 0.000250000, 0.000253333, 0.000473333, 0.007476666, 0.007711667, 0.009916667, 0.007251667, 0.007326667, 0.007666667, 0.122016668, 0.122260831, 0.123171665, 0.122791670, 0.122936666, 0.127036661, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
004,20.0, 0.092978336, 0.093101665, 0.093373336, 0.488775015, 0.504419148, 0.509429991, 0.130364999, 0.130561665, 0.130903333, 0.358451664, 0.374334157, 0.376509994, 0.000230000, 0.000239167, 0.000400000, 0.007216667, 0.007633334, 0.011616667, 0.007143334, 0.007169167, 0.007306667, 0.121996664, 0.122260831, 0.122390002, 0.122773334, 0.122941665, 0.123326667, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
005,20.0, 0.092935003, 0.093130000, 0.096634999, 0.501964986, 0.504009187, 0.519675016, 0.130526662, 0.130618334, 0.130989999, 0.371811658, 0.373661667, 0.388779998, 0.000260000, 0.000263333, 0.000671667, 0.007508333, 0.008004167, 0.008253333, 0.007163333, 0.007219166, 0.007295000, 0.122056663, 0.122256666, 0.122538336, 0.122830003, 0.122902498, 0.123331666, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
006,20.0, 0.091848336, 0.093000002, 0.093901664, 0.484210014, 0.489187509, 0.506555021, 0.130488336, 0.131275833, 0.131856665, 0.354473323, 0.358345002, 0.376366675, 0.000251667, 0.000258333, 0.000778333, 0.007258333, 0.007549167, 0.007893333, 0.007211667, 0.007612500, 0.007866667, 0.121911667, 0.122450836, 0.126574993, 0.122813337, 0.123163335, 0.123548336, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
007,20.0, 0.092991665, 0.093123332, 0.093335003, 0.482930005, 0.483104169, 0.487571657, 0.130174994, 0.130331665, 0.134618327, 0.352939993, 0.353598326, 0.358334988, 0.000206667, 0.000208333, 0.000413333, 0.007035000, 0.007370833, 0.007703333, 0.007086667, 0.007155000, 0.007298333, 0.121825002, 0.122024998, 0.122156665, 0.122644998, 0.122739166, 0.126955003, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
008,20.0, 0.102876663, 0.104297496, 0.105470002, 0.502361655, 0.504018307, 0.518390000, 0.134703338, 0.135734171, 0.136746660, 0.368421674, 0.369838327, 0.383619994, 0.000230000, 0.000241667, 0.000596667, 0.009003334, 0.009736666, 0.010420000, 0.009041667, 0.009869167, 0.010555000, 0.123860002, 0.124205001, 0.124700002, 0.124914996, 0.125351667, 0.126171663, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
009,20.0, 0.103296667, 0.105479166, 0.106793337, 0.505553305, 0.509604156, 0.511976659, 0.133788332, 0.134555832, 0.135023341, 0.371761680, 0.376221657, 0.378719985, 0.000210000, 0.000211667, 0.000793333, 0.008863334, 0.009457500, 0.011335000, 0.008445000, 0.009260833, 0.009840000, 0.123206668, 0.123798333, 0.124890000, 0.124261670, 0.124863334, 0.125206664, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
010,20.0, 0.104238331, 0.105899997, 0.106969997, 0.469191670, 0.470293343, 0.499029994, 0.133478329, 0.134107500, 0.135735005, 0.335933328, 0.336344987, 0.365356654, 0.000256667, 0.000260833, 0.000265000, 0.008933334, 0.009458333, 0.012228333, 0.008636666, 0.009003334, 0.009825000, 0.123216666, 0.123860002, 0.127839997, 0.124161668, 0.124735832, 0.125530005, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
011,20.0, 0.103211664, 0.104968332, 0.106338330, 0.490648329, 0.504848361, 0.508069992, 0.133068338, 0.134744167, 0.135821670, 0.357053339, 0.371007502, 0.373601675, 0.000210000, 0.000213333, 0.000431667, 0.008756666, 0.009611666, 0.012588333, 0.008425000, 0.009183333, 0.009870000, 0.123598330, 0.123893335, 0.124545000, 0.124213330, 0.125124171, 0.125628337, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
012,20.0, 0.102880001, 0.105109997, 0.105970003, 0.486696661, 0.487949997, 0.491663337, 0.133411661, 0.134102494, 0.138323337, 0.353570014, 0.354392499, 0.358393341, 0.000253333, 0.000259167, 0.000550000, 0.008826667, 0.009230834, 0.009841667, 0.008648333, 0.008983334, 0.009710000, 0.123130001, 0.123598330, 0.124365002, 0.124193333, 0.124510832, 0.129143327, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
013,20.0, 0.102973334, 0.104001664, 0.105973333, 0.485118330, 0.486973345, 0.490740001, 0.132919997, 0.134533331, 0.135600001, 0.352936655, 0.353854179, 0.357606679, 0.000245000, 0.000251667, 0.000693333, 0.008810000, 0.009377500, 0.009861667, 0.008326666, 0.009255000, 0.010696666, 0.123053335, 0.123604164, 0.124823332, 0.123941667, 0.124725834, 0.125093326, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
014,20.0, 0.103536665, 0.105705835, 0.107588336, 0.486930013, 0.487746656, 0.507610023, 0.133413330, 0.134632498, 0.135421664, 0.352976680, 0.353842497, 0.374101669, 0.000260000, 0.000269167, 0.000608333, 0.009073333, 0.009321666, 0.011416666, 0.008578333, 0.009257500, 0.009765000, 0.123630002, 0.124040000, 0.124653332, 0.124143332, 0.124865830, 0.125206664, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
015,20.0, 0.103486665, 0.105217502, 0.120773330, 0.503741682, 0.504730821, 0.506671667, 0.133376673, 0.135041669, 0.135998338, 0.369328320, 0.370948344, 0.373151660, 0.000205000, 0.000208333, 0.000470000, 0.008881667, 0.009550000, 0.010170000, 0.008360000, 0.009307500, 0.009523333, 0.123695001, 0.124197498, 0.124569997, 0.124485001, 0.125283331, 0.126169994, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
000,20.0, 0.093050003, 0.093120001, 0.093330003, 0.485145003, 0.485745013, 0.490998328, 0.131081671, 0.132652506, 0.135140002, 0.354028344, 0.354386657, 0.356856674, 0.000220000, 0.000249167, 0.000418333, 0.006916667, 0.008852500, 0.011660000, 0.006881667, 0.008370833, 0.009855000, 0.121978335, 0.122088335, 0.126988336, 0.123594999, 0.123772502, 0.124799997, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
001,20.0, 0.092941664, 0.093116663, 0.093208335, 0.482958347, 0.483600825, 0.488148332, 0.130371660, 0.130560830, 0.131893337, 0.353178322, 0.353718340, 0.358319998, 0.000201667, 0.000203333, 0.000630000, 0.007431667, 0.007556667, 0.009540000, 0.007128333, 0.007263334, 0.007760000, 0.121919997, 0.122093335, 0.122776665, 0.122698337, 0.122855835, 0.123713337, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
002,20.0, 0.093011670, 0.093101665, 0.098201670, 0.466178328, 0.502611637, 0.508554995, 0.130641669, 0.131173328, 0.131648332, 0.336326659, 0.371822506, 0.377979994, 0.000200000, 0.000265000, 0.000410000, 0.007491667, 0.007850833, 0.008215000, 0.007186667, 0.007434167, 0.007746667, 0.122170001, 0.122407503, 0.122850001, 0.122921668, 0.123310000, 0.123510003, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
003,20.0, 0.092935003, 0.093068331, 0.096376665, 0.483619988, 0.484300822, 0.489905000, 0.130410001, 0.131493330, 0.131801665, 0.353044987, 0.354020834, 0.359536678, 0.000190000, 0.000202500, 0.000615000, 0.006990000, 0.007714167, 0.009861667, 0.006863333, 0.007663333, 0.007906667, 0.122180000, 0.122529998, 0.122893333, 0.123144999, 0.123359166, 0.123641670, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
004,20.0, 0.093010001, 0.093155831, 0.093308337, 0.483114988, 0.483898342, 0.487931669, 0.130226672, 0.130550832, 0.130853340, 0.353390008, 0.353752494, 0.358028322, 0.000201667, 0.000210000, 0.000643333, 0.007000000, 0.007492500, 0.007675000, 0.006848333, 0.007220000, 0.007356666, 0.121981665, 0.122127503, 0.122716665, 0.122819997, 0.122945830, 0.123191670, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
005,20.0, 0.092998333, 0.093142502, 0.093261667, 0.471146673, 0.484583348, 0.487238348, 0.130248338, 0.130566671, 0.130740002, 0.340810001, 0.354280829, 0.357323319, 0.000205000, 0.000209167, 0.000600000, 0.007135000, 0.007625833, 0.007980000, 0.007196667, 0.007309167, 0.007420000, 0.122043334, 0.122170001, 0.123078331, 0.122623332, 0.122811668, 0.122960001, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
006,20.0, 0.092956670, 0.093054168, 0.096843332, 0.477803320, 0.483370841, 0.485648334, 0.130251661, 0.130481660, 0.132613331, 0.348251671, 0.353454173, 0.355371654, 0.000200000, 0.000209167, 0.000475000, 0.007133333, 0.007407500, 0.007796667, 0.007061667, 0.007192500, 0.007208333, 0.121976666, 0.122062497, 0.122511670, 0.122746669, 0.122908331, 0.124996670, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
007,20.0, 0.093106665, 0.093231663, 0.093306668, 0.503388345, 0.505057514, 0.509005010, 0.130406663, 0.130620837, 0.131889999, 0.373299986, 0.374616653, 0.379184991, 0.000250000, 0.000257500, 0.000426667, 0.007105000, 0.007534167, 0.009683333, 0.007091667, 0.007183333, 0.007848334, 0.122021668, 0.122184999, 0.123060003, 0.122800000, 0.122946665, 0.123575002, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
008,20.0, 0.102861665, 0.103869170, 0.105240002, 0.487813324, 0.488590002, 0.493813336, 0.134803340, 0.136013329, 0.136325002, 0.354021668, 0.354323328, 0.358926654, 0.000286667, 0.000302500, 0.000568333, 0.008976666, 0.009819167, 0.010235000, 0.008515000, 0.009785000, 0.010081667, 0.123761669, 0.124238335, 0.125161663, 0.124949999, 0.125695005, 0.126011670, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
009,20.0, 0.103558332, 0.104995832, 0.106258333, 0.486538321, 0.488163322, 0.492700011, 0.133780003, 0.134804994, 0.138628334, 0.353313327, 0.353886664, 0.358143330, 0.000260000, 0.000260833, 0.000598333, 0.008750000, 0.009636667, 0.011981667, 0.008420000, 0.009356666, 0.009615000, 0.123144999, 0.124188334, 0.128643334, 0.124741666, 0.124913335, 0.128648341, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
010,20.0, 0.103741668, 0.105859168, 0.106803335, 0.504400015, 0.507497489, 0.510743320, 0.133615002, 0.133870840, 0.134113327, 0.371190012, 0.374745011, 0.377564996, 0.000200000, 0.000201667, 0.000281667, 0.008715000, 0.009207500, 0.009416667, 0.008528333, 0.008830833, 0.009110000, 0.123365000, 0.123751670, 0.124386668, 0.124404997, 0.124611668, 0.124849997, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
011,20.0, 0.103370003, 0.104631670, 0.106270000, 0.487101674, 0.488893330, 0.491476655, 0.133401662, 0.134174168, 0.139094993, 0.353928328, 0.355436653, 0.358566672, 0.000223333, 0.000228333, 0.000370000, 0.008541667, 0.009395000, 0.010228333, 0.008186666, 0.008988333, 0.013513333, 0.123214997, 0.123693332, 0.125103340, 0.124073334, 0.124921665, 0.125450000, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
012,20.0, 0.103923336, 0.104660831, 0.105981670, 0.486934990, 0.487778336, 0.489645004, 0.133591667, 0.134524167, 0.135661662, 0.353863329, 0.354149997, 0.356643319, 0.000261667, 0.000265833, 0.000448333, 0.008830000, 0.009281667, 0.010080000, 0.008570000, 0.008940834, 0.009903333, 0.123594999, 0.123846665, 0.124315001, 0.124488331, 0.125052497, 0.125741661, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
013,20.0, 0.102966666, 0.103806667, 0.106196664, 0.503910005, 0.506760836, 0.509926677, 0.132689998, 0.133532494, 0.134448335, 0.371450007, 0.373949170, 0.375078321, 0.000201667, 0.000205000, 0.000256667, 0.008276667, 0.008869166, 0.009976666, 0.008241666, 0.008639167, 0.009063333, 0.123296663, 0.123644166, 0.127485007, 0.124016665, 0.124482498, 0.124969997, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
014,20.0, 0.104089998, 0.105444163, 0.106919996, 0.502266645, 0.504308343, 0.509146690, 0.133078337, 0.134525836, 0.135126665, 0.368143320, 0.370504171, 0.374811679, 0.000196667, 0.000200833, 0.000270000, 0.008711667, 0.009621667, 0.010026666, 0.008560000, 0.009229166, 0.009408333, 0.123153336, 0.123929165, 0.124353334, 0.124100000, 0.125024170, 0.125330001, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
015,20.0, 0.104541667, 0.106025830, 0.106523335, 0.504639983, 0.506042480, 0.509880006, 0.133276671, 0.134987503, 0.138699993, 0.370973319, 0.372525007, 0.375928342, 0.000198333, 0.000206667, 0.000358333, 0.008835000, 0.009645834, 0.010156667, 0.008115000, 0.009297500, 0.009626667, 0.123251669, 0.123904169, 0.124605000, 0.124756664, 0.125239998, 0.129020005, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
000,20.0, 0.092918336, 0.093070835, 0.097350001, 0.498351663, 0.502919137, 0.508894980, 0.132456660, 0.132850006, 0.133011669, 0.369349986, 0.371378332, 0.379823327, 0.000293333, 0.000298333, 0.000740000, 0.006481667, 0.008739167, 0.008958333, 0.008230000, 0.008304167, 0.008390000, 0.122000001, 0.122141667, 0.126269996, 0.123625003, 0.123934999, 0.124106668, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
001,20.0, 0.092990004, 0.093132503, 0.093221664, 0.500008345, 0.505280018, 0.510061681, 0.130641669, 0.130772501, 0.131323338, 0.370059997, 0.375384986, 0.378639996, 0.000251667, 0.000257500, 0.000638333, 0.007523333, 0.007625000, 0.009773334, 0.007270000, 0.007332500, 0.007771667, 0.121941663, 0.122117497, 0.122466668, 0.122790001, 0.122972503, 0.123166665, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
002,20.0, 0.092984997, 0.093109168, 0.093213335, 0.499136657, 0.501456678, 0.506320000, 0.130500004, 0.130872503, 0.131448328, 0.369213343, 0.371313334, 0.376385003, 0.000258333, 0.000264167, 0.001145000, 0.007266667, 0.007593333, 0.009623333, 0.007150000, 0.007302500, 0.007821667, 0.122024998, 0.122175835, 0.122946665, 0.122819997, 0.122981668, 0.123369999, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
003,20.0, 0.092966668, 0.093148336, 0.093254998, 0.499040008, 0.501861691, 0.508994997, 0.130643338, 0.131066665, 0.131868333, 0.369071662, 0.371100008, 0.376378328, 0.000238333, 0.000255000, 0.000598333, 0.007570000, 0.007771667, 0.010048334, 0.007190000, 0.007288333, 0.007770000, 0.122161664, 0.122392498, 0.123508334, 0.122956663, 0.123207502, 0.123543337, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
004,20.0, 0.092871666, 0.093144998, 0.093273334, 0.483649999, 0.485569179, 0.487488329, 0.130510002, 0.130784169, 0.131483331, 0.353350013, 0.355599999, 0.356465012, 0.000210000, 0.000211667, 0.000546667, 0.007366667, 0.007524167, 0.008296667, 0.007231667, 0.007370833, 0.007846666, 0.122123331, 0.122361667, 0.122845002, 0.122788332, 0.123032503, 0.123599999, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
005,20.0, 0.092945002, 0.093146667, 0.093233332, 0.500294983, 0.503842473, 0.505831659, 0.130278334, 0.130660832, 0.131675005, 0.370448321, 0.373679996, 0.374615014, 0.000253333, 0.000256667, 0.000395000, 0.007176667, 0.007562500, 0.008495000, 0.007040000, 0.007272500, 0.007845000, 0.122006670, 0.122175835, 0.126149997, 0.122766666, 0.122885831, 0.123546667, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
006,20.0, 0.091739997, 0.093118332, 0.093216665, 0.482746661, 0.483984172, 0.487895012, 0.130183339, 0.130707502, 0.134438336, 0.353331655, 0.353805840, 0.357728332, 0.000198333, 0.000210000, 0.000761667, 0.007361667, 0.007611667, 0.008245000, 0.007083334, 0.007318333, 0.008125000, 0.121888332, 0.122184165, 0.122821666, 0.122690000, 0.123099163, 0.126118332, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
007,20.0, 0.093041666, 0.093156666, 0.093336664, 0.482701659, 0.483651668, 0.487866670, 0.130438328, 0.130588338, 0.132241666, 0.352984995, 0.353549987, 0.357894987, 0.000201667, 0.000205000, 0.001176667, 0.007303333, 0.007512500, 0.007980000, 0.007105000, 0.007210000, 0.008151666, 0.122108333, 0.122218333, 0.126208335, 0.122790001, 0.122977503, 0.123675004, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
008,20.0, 0.102463335, 0.104143336, 0.105640002, 0.488241673, 0.490030825, 0.493076652, 0.134369999, 0.136152506, 0.136788338, 0.354020000, 0.355323344, 0.356979996, 0.000280000, 0.000297500, 0.000831667, 0.008416667, 0.010034166, 0.011181667, 0.008410000, 0.009720000, 0.009965000, 0.124141663, 0.124435000, 0.125223339, 0.125351667, 0.125745833, 0.126431674, 1.000000000, 1.000000000, 1.000000000,          524288,000,000001
