tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,         0,       0,    0.000011,    0.000000,    0.103407,    0.043100,    0.001363,    0.000405,    0.101666,    0.042505,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.718439,    0.033939,    2.674724,    0.000267,    0.043581,    0.033567,         0,               0,000,000
000,         0,       0,    0.000008,    0.000000,    2.347853,    0.031481,    2.300404,    0.000175,    0.047284,    0.031180,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.405766,    0.033259,    2.366422,    0.000205,    0.039209,    0.032955,         0,               0,000,000
000,         0,       0,    0.000008,    0.000000,    2.474994,    0.030533,    2.440109,    0.000161,    0.034720,    0.030292,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.397624,    0.030689,    2.362580,    0.000166,    0.034893,    0.030453,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    2.222287,    0.028018,    2.191221,    0.001281,    0.030856,    0.026648,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.262734,    0.030259,    2.226868,    0.001276,    0.035730,    0.028911,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.454253,    0.031895,    2.419211,    0.000248,    0.034887,    0.031547,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.526380,    0.030194,    2.481037,    0.000176,    0.045177,    0.029951,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.375659,    0.030351,    2.339986,    0.000193,    0.035499,    0.030037,         0,               0,000,000
000,         0,       0,    0.000008,    0.000000,    2.595385,    0.030134,    2.560828,    0.000175,    0.034381,    0.029893,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.391287,    0.030282,    2.339940,    0.000173,    0.051203,    0.030039,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.491061,    0.030233,    2.457136,    0.000153,    0.033776,    0.030018,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.367471,    0.030133,    2.331997,    0.000195,    0.035274,    0.029867,         0,               0,000,000
000,         0,       0,    0.000008,    0.000000,    2.497230,    0.035466,    2.458508,    0.000153,    0.038558,    0.035239,         0,               0,000,000
000,         0,       0,    0.000008,    0.000000,    2.433954,    0.032258,    2.385311,    0.000210,    0.048423,    0.031951,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.421413,    0.030167,    2.387410,    0.000185,    0.033854,    0.029892,         0,               0,000,000
000,         0,       0,    0.000012,    0.000000,    2.307584,    0.030724,    2.272449,    0.000230,    0.034947,    0.030357,         0,               0,000,000
000,         0,       0,    0.000011,    0.000000,    2.386469,    0.030506,    2.350371,    0.000206,    0.035926,    0.030228,         0,               0,000,000
001,         0,       0,    0.000035,    0.000000,    0.484796,    0.038386,    0.429296,    0.000409,    0.055186,    0.037795,         0,               0,000,000
001,         0,       0,    0.000008,    0.000000,    2.663051,    0.033052,    2.624801,    0.000224,    0.038048,    0.032674,         0,               0,000,000
001,         0,       0,    0.000008,    0.000000,    2.336877,    0.036026,    2.301007,    0.000380,    0.035750,    0.035510,         0,               0,000,000
001,         0,       0,    0.000042,    0.000000,    2.418297,    0.037654,    2.376453,    0.000214,    0.041715,    0.037329,         0,               0,000,000
001,         0,       0,    0.000008,    0.000000,    2.471611,    0.054232,    2.435503,    0.000264,    0.035957,    0.053825,         0,               0,000,000
001,         0,       0,    0.000058,    0.000000,    2.314798,    0.033567,    2.278255,    0.001656,    0.036364,    0.031784,         0,               0,000,000
001,         0,       0,    0.000033,    0.000000,    4.544869,    0.037075,    4.503955,    0.001356,    0.040734,    0.035590,         0,               0,000,000
001,         0,       0,    0.000011,    0.000000,    2.459783,    0.083080,    2.418766,    0.012599,    0.040862,    0.070111,         0,               0,000,000
001,         0,       0,    0.000038,    0.000000,    2.464055,    0.041967,    2.426251,    0.011092,    0.037602,    0.030750,         0,               0,000,000
001,         0,       0,    0.000008,    0.000000,    2.396525,    0.041156,    2.360115,    0.010166,    0.036236,    0.030813,         0,               0,000,000
001,         0,       0,    0.000041,    0.000000,    2.544572,    0.041677,    2.507804,    0.010568,    0.036593,    0.030983,         0,               0,000,000
001,         0,       0,    0.000034,    0.000000,    2.375175,    0.045392,    2.338686,    0.012924,    0.036360,    0.032342,         0,               0,000,000
001,         0,       0,    0.000038,    0.000000,    2.452725,    0.040013,    2.415992,    0.009764,    0.036563,    0.030130,         0,               0,000,000
001,         0,       0,    0.000011,    0.000000,    2.398081,    0.048234,    2.357515,    0.010280,    0.040389,    0.037833,         0,               0,000,000
001,         0,       0,    0.000038,    0.000000,    2.501555,    0.031022,    2.466335,    0.000202,    0.035043,    0.030683,         0,               0,000,000
001,         0,       0,    0.000033,    0.000000,    2.376168,    0.051372,    2.340080,    0.000248,    0.035917,    0.051010,         0,               0,000,000
