tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,         0,       0,    0.000010,    0.000000,    0.089525,    0.040981,    0.001800,    0.000422,    0.087279,    0.040422,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.037790,    0.035686,    0.000105,    0.000153,    0.037570,    0.035470,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.035169,    0.034208,    0.000081,    0.000156,    0.034982,    0.033925,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.036836,    0.050566,    0.000096,    0.000150,    0.036636,    0.050347,         0,               0,000,000
000,         0,       0,    0.000020,    0.000000,    0.045878,    0.048025,    0.000071,    0.000156,    0.036305,    0.047776,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.035917,    0.053962,    0.000075,    0.000148,    0.035745,    0.053747,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.035864,    0.045434,    0.000074,    0.000155,    0.035634,    0.045206,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.035040,    0.034289,    0.000070,    0.000158,    0.034869,    0.034071,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.043545,    0.028708,    0.000072,    0.000160,    0.043379,    0.028485,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.044558,    0.029816,    0.000075,    0.000166,    0.044388,    0.029584,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.029945,    0.040773,    0.000074,    0.000162,    0.029773,    0.040485,         0,               0,000,000
000,         0,       0,    0.000020,    0.000000,    0.037878,    0.040057,    0.000088,    0.000158,    0.037589,    0.039807,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.042244,    0.028874,    0.000074,    0.000162,    0.042074,    0.028648,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.029680,    0.029512,    0.000074,    0.000151,    0.029508,    0.029293,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.029681,    0.029298,    0.000075,    0.000158,    0.029456,    0.029078,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.052194,    0.029634,    0.000075,    0.000161,    0.052012,    0.029411,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.030986,    0.029175,    0.000075,    0.000161,    0.030810,    0.028950,         0,               0,000,000
000,         0,       0,    0.000020,    0.000000,    0.040777,    0.054390,    0.000076,    0.000164,    0.040521,    0.054133,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.029355,    0.041278,    0.000075,    0.000160,    0.029176,    0.040980,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.030188,    0.039681,    0.000097,    0.000338,    0.029981,    0.039236,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.048044,    0.044408,    0.000000,    0.000158,    0.000160,    0.028112,     88353,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.033633,    0.037730,    0.000000,    0.000075,    0.000154,    0.029100,     84399,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.039576,    0.026369,    0.000000,    0.000075,    0.000157,    0.027394,     87489,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.027125,    0.026190,    0.000000,    0.000106,    0.000150,    0.027013,     95148,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.027006,    0.028000,    0.000000,    0.000071,    0.000147,    0.028132,     88281,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.049542,    0.025973,    0.000000,    0.000075,    0.000162,    0.037263,    198422,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.027092,    0.030301,    0.000000,    0.000075,    0.000148,    0.038466,    116085,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.028207,    0.039780,    0.000000,    0.000075,    0.000159,    0.047870,    158998,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.040659,    0.027574,    0.000000,    0.000070,    0.000142,    0.037831,    118215,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.028181,    0.026818,    0.000000,    0.000070,    0.000151,    0.038305,    118041,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.027064,    0.037572,    0.000000,    0.000075,    0.000147,    0.026556,    152502,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.038090,    0.027610,    0.000000,    0.000089,    0.000320,    0.027485,    125406,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.026885,    0.048181,    0.000000,    0.000155,    0.000151,    0.037317,     87096,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.028351,    0.026252,    0.000000,    0.000075,    0.000159,    0.027127,     86661,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.026887,    0.026168,    0.000000,    0.000074,    0.000152,    0.026823,     82632,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.026806,    0.030605,    0.000000,    0.000075,    0.000144,    0.028716,     85704,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.028213,    0.047502,    0.000000,    0.000071,    0.000147,    0.026549,     81738,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.040310,    0.026498,    0.000000,    0.000074,    0.000164,    0.026130,     84954,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.027137,    0.026032,    0.000000,    0.000075,    0.000320,    0.026384,    119155,               0,000,001
