tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,         0,       0,    0.000010,    0.000000,    0.117188,    0.034052,    0.000421,    0.000215,    0.116505,    0.033634,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.038423,    0.031768,    0.000097,    0.000113,    0.038232,    0.031570,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.033573,    0.031168,    0.000070,    0.000106,    0.033402,    0.030953,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.034129,    0.030377,    0.000060,    0.000109,    0.033981,    0.030184,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.035852,    0.032812,    0.000063,    0.000105,    0.035701,    0.032626,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.034997,    0.030691,    0.000062,    0.000107,    0.034831,    0.030502,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.040424,    0.034341,    0.000066,    0.000123,    0.040231,    0.034132,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.034252,    0.030863,    0.000071,    0.000112,    0.034088,    0.030666,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.034913,    0.031345,    0.000063,    0.000105,    0.034759,    0.031157,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.033547,    0.033975,    0.000069,    0.000099,    0.033391,    0.033793,               0,000,000
000,         0,       0,    0.000020,    0.000000,    0.046655,    0.041273,    0.000063,    0.000111,    0.046409,    0.041007,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.035003,    0.030860,    0.000068,    0.000106,    0.034838,    0.030664,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.034255,    0.031046,    0.000076,    0.000106,    0.034094,    0.030857,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.035477,    0.030760,    0.000062,    0.000101,    0.035328,    0.030579,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.033452,    0.031943,    0.000061,    0.000105,    0.033283,    0.031755,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.033686,    0.034363,    0.000058,    0.000110,    0.033540,    0.034173,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.035028,    0.030645,    0.000061,    0.000106,    0.034880,    0.030458,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.033828,    0.031874,    0.000062,    0.000101,    0.033678,    0.031688,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.033854,    0.030392,    0.000071,    0.000098,    0.033699,    0.030192,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.036988,    0.031598,    0.000064,    0.000092,    0.036835,    0.031422,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.034742,    0.030669,    0.000127,    0.000108,    0.034507,    0.030479,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.036495,    0.030826,    0.000066,    0.000104,    0.036340,    0.030639,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.034072,    0.032027,    0.000069,    0.000091,    0.033905,    0.031853,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.033580,    0.031286,    0.000065,    0.000091,    0.033423,    0.031107,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.033662,    0.033456,    0.000065,    0.000112,    0.033512,    0.033262,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.034348,    0.030143,    0.000061,    0.000104,    0.034200,    0.029963,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.033537,    0.031782,    0.000062,    0.000102,    0.033390,    0.031577,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.033322,    0.030222,    0.000066,    0.000104,    0.033172,    0.030031,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.034307,    0.033095,    0.000068,    0.000099,    0.034151,    0.032913,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.034602,    0.030298,    0.000061,    0.000102,    0.034451,    0.030107,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.037038,    0.031377,    0.000061,    0.000100,    0.036872,    0.031191,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.033191,    0.033773,    0.000066,    0.000098,    0.033040,    0.033592,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.056838,    0.031553,    0.000066,    0.000102,    0.056572,    0.031347,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.036089,    0.032230,    0.000061,    0.000099,    0.035942,    0.032047,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.033643,    0.030564,    0.000079,    0.000103,    0.033475,    0.030357,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.034975,    0.030833,    0.000067,    0.000102,    0.034821,    0.030647,               0,000,001
000,         0,       0,    0.000007,    0.000000,    0.033517,    0.032333,    0.000069,    0.000100,    0.033360,    0.032147,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.034349,    0.030495,    0.000069,    0.000091,    0.034192,    0.030321,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.034988,    0.030531,    0.000062,    0.000098,    0.034823,    0.030352,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.033137,    0.036481,    0.000063,    0.000096,    0.032985,    0.036294,               0,000,001
000,         0,       0,    0.000010,    0.000000,    0.034209,    0.030854,    0.000096,    0.000105,    0.034012,    0.030663,               0,000,002
000,         0,       0,    0.000010,    0.000000,    0.034559,    0.030267,    0.000062,    0.000102,    0.034407,    0.030079,               0,000,002
000,         0,       0,    0.000007,    0.000000,    0.033488,    0.033538,    0.000069,    0.000107,    0.033331,    0.033332,               0,000,002
000,         0,       0,    0.000007,    0.000000,    0.034392,    0.030704,    0.000065,    0.000110,    0.034243,    0.030514,               0,000,002
000,         0,       0,    0.000010,    0.000000,    0.033709,    0.033923,    0.000067,    0.000117,    0.033552,    0.033730,               0,000,002
000,         0,       0,    0.000007,    0.000000,    0.035111,    0.030652,    0.000076,    0.000106,    0.034951,    0.030463,               0,000,002
000,         0,       0,    0.000010,    0.000000,    0.033461,    0.031795,    0.000061,    0.000103,    0.033288,    0.031616,               0,000,002
