tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,         0,       0,    0.000007,    0.000000,    6.497866,    0.025168,    6.460510,    0.000266,    0.036951,    0.024762,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.461176,    0.028396,    0.433904,    0.000105,    0.027185,    0.028212,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.398857,    0.024383,    0.372968,    0.000095,    0.025798,    0.024165,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.407649,    0.025488,    0.381005,    0.000117,    0.026537,    0.025279,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.416247,    0.027056,    0.390494,    0.000074,    0.025657,    0.026904,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.393758,    0.025796,    0.364408,    0.000081,    0.029255,    0.025634,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.385988,    0.026425,    0.359202,    0.000059,    0.026630,    0.026290,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.410356,    0.023484,    0.383543,    0.000066,    0.026710,    0.023347,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.395292,    0.023734,    0.369827,    0.000061,    0.025375,    0.023605,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.389640,    0.023624,    0.364002,    0.000061,    0.025546,    0.023499,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.396010,    0.023971,    0.370038,    0.000100,    0.025869,    0.023662,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.389909,    0.022805,    0.364869,    0.000073,    0.024951,    0.022656,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.389597,    0.023643,    0.363397,    0.000067,    0.026111,    0.023490,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    3.596800,    0.025839,    3.569969,    0.000112,    0.026755,    0.025645,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.399157,    0.026099,    0.373260,    0.000080,    0.025755,    0.025937,         0,               0,000,000
000,         0,       0,    0.000008,    0.000000,    0.397210,    0.029693,    0.369810,    0.000083,    0.027297,    0.029520,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.396771,    0.025339,    0.370980,    0.000072,    0.025689,    0.025158,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.428208,    0.024877,    0.399152,    0.000073,    0.028967,    0.024721,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.415033,    0.024992,    0.388941,    0.000062,    0.026002,    0.024804,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.392357,    0.024622,    0.366204,    0.000062,    0.026071,    0.024486,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    6.364849,    0.025787,    6.326693,    0.000222,    0.037830,    0.025423,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.486194,    0.030029,    0.453908,    0.000128,    0.032171,    0.029692,         0,               0,000,000
001,         0,       0,    0.000011,    0.000000,    0.401076,    0.029269,    0.368299,    0.000143,    0.032650,    0.029019,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.398128,    0.028561,    0.369495,    0.000105,    0.028468,    0.028326,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.420523,    0.026184,    0.388432,    0.000311,    0.031963,    0.025799,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.391642,    0.025959,    0.360930,    0.000104,    0.030534,    0.025774,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.390346,    0.024107,    0.362112,    0.000104,    0.028116,    0.023925,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.410465,    0.023664,    0.383045,    0.000106,    0.027304,    0.023471,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.394338,    0.023988,    0.367085,    0.000129,    0.027143,    0.023762,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.389794,    0.026315,    0.362658,    0.000196,    0.027020,    0.025933,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.391270,    0.027917,    0.363688,    0.000111,    0.027409,    0.027684,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.389098,    0.024705,    0.362376,    0.000190,    0.026603,    0.024403,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.386772,    0.025719,    0.359800,    0.000106,    0.026850,    0.025493,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    3.587352,    0.029753,    3.557311,    0.000107,    0.029869,    0.029521,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.399908,    0.029959,    0.371035,    0.000112,    0.028756,    0.029732,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.394208,    0.027246,    0.361908,    0.000105,    0.032131,    0.027018,         0,               0,000,000
001,         0,       0,    0.000009,    0.000000,    0.400523,    0.027898,    0.365854,    0.000143,    0.034493,    0.027664,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.401442,    0.025795,    0.368513,    0.000105,    0.032805,    0.025543,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.439063,    0.023955,    0.387853,    0.000107,    0.051109,    0.023756,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.392460,    0.025973,    0.364959,    0.000204,    0.027389,    0.025622,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.201862,    0.034118,    0.148694,    0.000364,    0.052910,    0.033620,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    6.584754,    0.024258,    6.557538,    0.000108,    0.027091,    0.024077,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.407203,    0.023333,    0.382278,    0.000075,    0.024853,    0.023184,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.407959,    0.023653,    0.382035,    0.000077,    0.025868,    0.023507,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.421608,    0.023869,    0.396515,    0.000228,    0.024967,    0.023577,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.392846,    0.026508,    0.367971,    0.000067,    0.024814,    0.026370,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.392743,    0.025972,    0.367889,    0.000075,    0.024794,    0.025829,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.411331,    0.024110,    0.382525,    0.000075,    0.028748,    0.023972,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.394787,    0.023443,    0.369873,    0.000074,    0.024854,    0.023245,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.390577,    0.023174,    0.365482,    0.000070,    0.025036,    0.023044,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.389917,    0.027326,    0.365323,    0.000119,    0.024532,    0.027152,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.393771,    0.024118,    0.368821,    0.000087,    0.024880,    0.023967,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.387533,    0.023725,    0.362533,    0.000079,    0.024882,    0.023578,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    3.585571,    0.024393,    3.559708,    0.000080,    0.025771,    0.024241,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.406484,    0.024267,    0.381968,    0.000075,    0.024448,    0.024126,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.396708,    0.024143,    0.371902,    0.000069,    0.024747,    0.023990,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.401342,    0.024081,    0.376455,    0.000069,    0.024828,    0.023883,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.406875,    0.024144,    0.381118,    0.000096,    0.025702,    0.023977,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.422557,    0.023999,    0.395895,    0.000088,    0.026593,    0.023846,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.416742,    0.023371,    0.391691,    0.000077,    0.024992,    0.023222,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    6.433545,    0.026820,    6.391470,    0.000316,    0.041789,    0.026373,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.472050,    0.024177,    0.447190,    0.000080,    0.024788,    0.024035,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.405264,    0.023344,    0.381280,    0.000192,    0.023926,    0.023098,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.407580,    0.023752,    0.379314,    0.000117,    0.028102,    0.023568,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.419303,    0.023272,    0.394723,    0.000060,    0.024499,    0.023142,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.393481,    0.023779,    0.369732,    0.000102,    0.023679,    0.023625,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.390823,    0.023527,    0.367253,    0.000066,    0.023499,    0.023397,         0,               0,000,000
