tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,         0,       0,    0.000007,    0.000000,    0.289269,    0.026979,    0.250807,    0.000377,    0.038158,    0.026461,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    6.546676,    0.025766,    6.515244,    0.000187,    0.031341,    0.025496,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.400700,    0.025195,    0.373382,    0.000150,    0.027190,    0.024915,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.393414,    0.025268,    0.366531,    0.000164,    0.026766,    0.025035,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.394454,    0.024979,    0.367945,    0.000148,    0.026377,    0.024761,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.416987,    0.025928,    0.390215,    0.000183,    0.026640,    0.025664,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.390747,    0.025022,    0.364080,    0.000154,    0.026527,    0.024792,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.388906,    0.024798,    0.361987,    0.000162,    0.026842,    0.024563,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.400016,    0.025212,    0.372322,    0.000104,    0.027575,    0.025034,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.409806,    0.025487,    0.382702,    0.000112,    0.027023,    0.025305,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.407050,    0.026130,    0.379976,    0.000116,    0.026998,    0.025879,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.404769,    0.025672,    0.376164,    0.000124,    0.028531,    0.025471,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.401738,    0.025326,    0.374719,    0.000110,    0.026939,    0.025135,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    3.778799,    0.026752,    3.749979,    0.000118,    0.028680,    0.026565,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.432993,    0.026654,    0.403150,    0.000121,    0.029676,    0.026460,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.417508,    0.026688,    0.390191,    0.000119,    0.027240,    0.026485,         0,               0,000,000
000,         0,       0,    0.000007,    0.000000,    0.407761,    0.026444,    0.379677,    0.000120,    0.028006,    0.026246,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.405647,    0.025792,    0.377490,    0.000116,    0.028086,    0.025607,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.432093,    0.026429,    0.404965,    0.000112,    0.027059,    0.026179,         0,               0,000,000
000,         0,       0,    0.000010,    0.000000,    0.407591,    0.026512,    0.379409,    0.000117,    0.028092,    0.026324,         0,               0,000,000
001,         0,       0,    0.000007,    0.000000,    0.096402,    0.053653,    0.001446,    0.000407,    0.094618,    0.053046,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    6.603005,    0.027289,    6.570499,    0.000189,    0.032296,    0.026950,         0,               0,000,000
001,         0,       0,    0.000010,    0.000000,    0.405691,    0.025809,    0.375573,    0.000171,    0.029923,    0.025549,         0,               0,000,000
