tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
000,     13961,   13961,    0.133333,   30.000000,22133.064453,  367.844574,21762.222656,   12.799722,  369.868866,  354.286560,               0,000,000
001,     12290,   12290,    0.114954,   30.000000,22172.953125,  328.810760,21836.851562,   13.907216,  335.121307,  314.112091,               0,000,000
002,     10578,   10578,    0.098447,   30.000000,22220.539062,  280.553925,21931.404297,   11.836335,  288.317841,  268.072693,               0,000,000
003,     10947,   10947,    0.102948,   30.000000,22204.246094,  296.764008,21900.392578,   12.243361,  302.989197,  283.798859,               0,000,000
004,     12178,   12178,    0.119210,   30.000000,22151.742188,  349.678558,21789.201172,   15.335730,  361.111572,  333.132385,               0,000,000
005,     11191,   11191,    0.112644,   30.000000,22214.333984,  287.169769,21923.230469,   10.709165,  290.318634,  275.825714,               0,000,000
006,     19771,   19771,    0.184416,   30.000000,21978.660156,  522.491089,21441.984375,   21.283625,  535.291199,  499.955688,               0,000,000
007,     13404,   13404,    0.124828,   30.000000,22138.447266,  362.716125,21770.679688,   13.817945,  366.738525,  348.058014,               0,000,000
008,     12032,   12032,    0.122875,   30.000000,22176.318359,  324.226715,21840.265625,   14.104150,  335.073151,  309.301605,               0,000,000
009,      7738,    7738,    0.072150,   30.000000,22296.203125,  205.448364,22084.531250,    8.579618,  211.077820,  196.362198,               0,000,000
010,      9390,    9390,    0.087528,   30.000000,22252.273438,  248.536697,21999.750000,    9.305284,  251.855484,  238.722961,               0,000,000
011,      7523,    7523,    0.070203,   30.000000,22295.425781,  204.629013,22082.134766,    9.540007,  212.643356,  194.586075,               0,000,000
012,     14996,   14996,    0.142898,   30.000000,22024.115234,  475.472839,21541.197266,   20.703548,  480.839233,  453.418488,               0,000,000
013,     15336,   15336,    0.143276,   30.000000,22095.849609,  405.377747,21679.005859,   16.390507,  415.697083,  388.017853,               0,000,000
014,     10613,   10613,    0.105572,   30.000000,22207.185547,  293.271179,21901.931641,   14.506674,  304.375397,  278.035461,               0,000,000
015,     11115,   11115,    0.104464,   30.000000,22200.587891,  299.785309,21888.576172,   13.566583,  311.021362,  285.412323,               0,000,000
016,      9038,    9038,    0.106216,   30.000000,22217.927734,  283.141571,21935.396484,   14.023173,  281.047546,  268.149780,               0,000,000
017,      9678,    9678,    0.119305,   30.000000,22198.884766,  301.928070,21898.503906,   13.995667,  298.869873,  286.881134,               0,000,000
018,     12353,   12353,    0.139882,   30.000000,22115.763672,  384.849396,21734.056641,   16.364872,  380.384918,  367.371613,               0,000,000
019,     10084,   10084,    0.110841,   30.000000,22182.437500,  317.378479,21868.480469,   13.309832,  312.949371,  303.066193,               0,000,000
020,     13640,   13640,    0.142817,   30.000000,22079.529297,  420.261505,21661.595703,   15.761155,  416.768372,  403.447113,               0,000,000
021,     10657,   10657,    0.118067,   30.000000,22166.431641,  334.636230,21830.722656,   14.705110,  334.654541,  318.926910,               0,000,000
022,     12807,   12807,    0.136857,   30.000000,22106.861328,  393.529968,21713.970703,   16.676363,  391.618713,  375.841827,               0,000,000
023,      7890,    7890,    0.084154,   30.000000,22257.197266,  243.038284,22019.556641,    9.418187,  236.921356,  232.968781,               0,000,000
024,      4387,    4387,    0.047814,   30.000000,22362.783203,  138.047440,22224.566406,    6.019206,  137.791595,  131.640945,               0,000,000
025,     12271,   12271,    0.144078,   30.000000,22114.367188,  385.339508,21738.199219,   15.703805,  374.930115,  368.604889,               0,000,000
026,      8581,    8581,    0.098909,   30.000000,22236.388672,  263.896545,21973.404297,    9.969494,  262.115387,  253.247726,               0,000,000
027,      5547,    5547,    0.061384,   30.000000,22329.974609,  171.857819,22157.824219,    7.674378,  171.542404,  163.665573,               0,000,000
028,     15286,   15286,    0.185215,   30.000000,22025.736328,  474.881775,21550.615234,   21.376789,  473.640533,  452.016815,               0,000,000
029,     22950,   22950,    0.251138,   30.000000,21775.521484,  725.179932,21057.246094,   29.039921,  715.768860,  693.991333,               0,000,000
030,     12218,   12218,    0.137122,   30.000000,22103.886719,  396.004333,21713.843750,   16.738007,  388.722076,  378.179321,               0,000,000
031,      9206,    9206,    0.093623,   30.000000,22219.824219,  280.486969,21940.236328,   11.360970,  278.848969,  268.350311,               0,000,000
000,      5964,    5964,    0.056071,   30.000000,22342.679688,  158.189026,22179.384766,    7.320211,  162.875259,  150.525986,               0,000,001
001,      8232,    8232,    0.076590,   30.000000,22285.708984,  215.258682,22065.564453,   10.209040,  219.548386,  204.581879,               0,000,001
002,     12848,   12848,    0.119697,   30.000000,22166.478516,  334.601440,21826.601562,   13.591977,  338.875671,  320.186523,               0,000,001
003,     10231,   10231,    0.095656,   30.000000,22223.636719,  276.101654,21937.433594,   12.184647,  285.336517,  263.172974,               0,000,001
004,     10263,   10263,    0.095006,   30.000000,22210.765625,  290.879974,21905.589844,   12.973714,  304.028778,  276.933502,               0,000,001
005,     10173,   10173,    0.101151,   30.000000,22225.740234,  274.391174,21943.841797,   12.224023,  281.116058,  261.485504,               0,000,001
006,     11193,   11193,    0.105326,   30.000000,22204.476562,  296.735931,21898.708984,   12.535390,  304.893250,  283.492340,               0,000,001
007,     12445,   12445,    0.116668,   30.000000,22164.558594,  336.048187,21820.705078,   14.355968,  342.907135,  320.947845,               0,000,001
008,      9823,    9823,    0.101800,   30.000000,22241.837891,  260.048431,21972.462891,   10.905085,  268.561554,  248.488586,               0,000,001
009,     11328,   11328,    0.105407,   30.000000,22206.484375,  293.516968,21906.529297,   12.754219,  299.117493,  280.102173,               0,000,001
010,      9893,    9893,    0.100550,   30.000000,22241.353516,  259.474274,21974.193359,   10.768410,  266.343964,  248.006104,               0,000,001
011,     12367,   12367,    0.115075,   30.000000,22171.171875,  329.760254,21831.234375,   13.841880,  338.934326,  315.149506,               0,000,001
012,     11859,   11859,    0.111317,   30.000000,22136.380859,  365.315125,21760.060547,   16.010664,  374.850403,  348.289032,               0,000,001
013,      7405,    7405,    0.069862,   30.000000,22304.066406,  197.437119,22102.556641,    7.778375,  200.908356,  189.121246,               0,000,001
014,     14647,   14647,    0.145747,   30.000000,22114.570312,  385.892670,21711.626953,   17.798292,  401.864014,  367.218353,               0,000,001
015,     18709,   18709,    0.175252,   30.000000,21992.000000,  508.717712,21463.613281,   23.598013,  526.596375,  483.707672,               0,000,001
016,     14074,   14074,    0.175505,   30.000000,22057.089844,  442.457428,21610.148438,   22.071779,  444.678131,  418.740845,               0,000,001
017,     21398,   21398,    0.257303,   30.000000,21829.783203,  669.444641,21168.531250,   32.116550,  657.587708,  634.460022,               0,000,001
018,      5153,    5153,    0.053962,   30.000000,22344.451172,  156.960175,22189.736328,    6.680701,  154.225555,  149.888977,               0,000,001
019,     13640,   13640,    0.144612,   30.000000,22084.640625,  416.733032,21671.119141,   17.090034,  412.216431,  398.302643,               0,000,001
020,     19807,   19807,    0.218296,   30.000000,21897.212891,  602.221069,21302.935547,   24.612160,  592.405823,  576.131287,               0,000,001
021,      9028,    9028,    0.089308,   30.000000,22229.849609,  270.570221,21962.433594,    9.466381,  266.546112,  260.474915,               0,000,001
022,     16559,   16559,    0.179140,   30.000000,21997.599609,  502.381409,21504.156250,   19.144117,  491.909668,  481.876770,               0,000,001
023,      8385,    8385,    0.082757,   30.000000,22260.904297,  240.303345,22021.984375,   10.165666,  238.317078,  229.621338,               0,000,001
024,     10632,   10632,    0.121585,   30.000000,22169.203125,  331.217651,21839.912109,   13.818256,  328.159821,  316.413391,               0,000,001
025,      6642,    6642,    0.068937,   30.000000,22300.550781,  200.469162,22102.330078,    8.307615,  197.587494,  191.675293,               0,000,001
026,     12036,   12036,    0.139441,   30.000000,22129.904297,  369.853760,21761.546875,   16.230391,  367.331604,  352.498596,               0,000,001
027,     10996,   10996,    0.115623,   30.000000,22162.785156,  338.725494,21824.277344,   13.362308,  337.542450,  324.325043,               0,000,001
028,     12664,   12664,    0.148911,   30.000000,22115.460938,  384.631165,21733.419922,   14.252760,  381.012207,  369.474792,               0,000,001
029,      9532,    9532,    0.108390,   30.000000,22215.193359,  286.254669,21931.937500,   12.466098,  282.407349,  273.038544,               0,000,001
030,     13774,   13774,    0.145581,   30.000000,22065.435547,  435.741486,21633.226562,   18.488058,  430.936951,  416.064575,               0,000,001
031,     10862,   10862,    0.113891,   30.000000,22168.714844,  331.788452,21839.185547,   14.693056,  328.569031,  316.211426,               0,000,001
