tid,wait_acq(ms),wait_rel(ms),client_id,run
000,  0.890287,  2.007985,000,000
001,  0.766688,  1.770762,000,000
002,  0.649296,  1.334559,000,000
003,  0.649581,  1.491980,000,000
004,  0.711684,  1.589634,000,000
005,  0.639210,  1.480891,000,000
006,  1.173132,  2.646271,000,000
007,  0.785838,  1.817958,000,000
008,  0.730897,  1.592250,000,000
009,  0.479263,  1.044148,000,000
010,  0.582108,  1.253973,000,000
011,  0.418818,  0.909963,000,000
012,  0.855543,  1.952512,000,000
013,  0.963716,  2.109671,000,000
014,  0.726720,  1.578860,000,000
015,  0.684629,  1.564668,000,000
016,  0.553424,  1.207197,000,000
017,  0.583743,  1.217133,000,000
018,  0.764888,  1.645576,000,000
019,  0.607027,  1.395558,000,000
020,  0.778318,  1.736408,000,000
021,  0.635562,  1.352549,000,000
022,  0.741521,  1.696906,000,000
023,  0.485699,  1.088109,000,000
024,  0.278601,  0.564483,000,000
025,  0.792802,  1.841144,000,000
026,  0.490698,  1.120319,000,000
027,  0.329234,  0.705657,000,000
028,  0.890592,  1.992210,000,000
029,  1.443638,  3.310230,000,000
030,  0.743164,  1.687995,000,000
031,  0.528679,  1.199562,000,000
000,  0.380526,  0.759180,000,001
001,  0.565534,  1.112366,000,001
002,  0.818109,  1.879209,000,001
003,  0.614066,  1.357574,000,001
004,  0.556350,  1.300574,000,001
005,  0.645192,  1.485180,000,001
006,  0.733402,  1.572954,000,001
007,  0.692198,  1.500711,000,001
008,  0.600959,  1.201527,000,001
009,  0.673428,  1.412258,000,001
010,  0.548242,  1.175812,000,001
011,  0.678095,  1.525219,000,001
012,  0.677794,  1.448629,000,001
013,  0.459974,  1.035827,000,001
014,  0.942874,  1.761001,000,001
015,  1.181115,  2.519537,000,001
016,  0.854856,  1.906571,000,001
017,  1.372062,  2.916280,000,001
018,  0.307041,  0.721247,000,001
019,  0.768423,  1.754508,000,001
020,  1.138339,  2.513322,000,001
021,  0.535433,  1.239195,000,001
022,  0.997102,  2.275185,000,001
023,  0.472605,  1.002791,000,001
024,  0.704108,  1.450559,000,001
025,  0.387835,  0.824066,000,001
026,  0.721272,  1.529271,000,001
027,  0.621217,  1.410794,000,001
028,  0.736509,  1.606721,000,001
029,  0.581613,  1.248970,000,001
030,  0.963483,  1.968759,000,001
031,  0.699407,  1.517570,000,001
