tid,wait_acq(ms),wait_rel(ms),client_id,run
000,  2.237613,  5.288696,000,000
001,  1.985433,  4.720076,000,000
002,  1.306922,  3.024700,000,000
003,  1.419288,  3.363048,000,000
004,  1.335246,  3.163157,000,000
005,  1.657200,  3.959254,000,000
006,  2.020157,  4.761127,000,000
007,  1.341028,  3.152193,000,000
008,  1.240495,  2.961357,000,000
009,  1.435175,  3.245221,000,000
010,  1.600117,  3.656113,000,000
011,  0.902405,  2.170647,000,000
012,  1.562413,  3.764211,000,000
013,  1.678859,  3.996650,000,000
014,  1.933557,  4.596300,000,000
015,  1.055178,  2.496151,000,000
000,  1.578577,  3.493980,000,001
001,  1.553709,  3.321942,000,001
002,  1.776110,  3.942149,000,001
003,  1.595872,  3.468989,000,001
004,  1.510822,  3.194095,000,001
005,  1.600820,  3.582071,000,001
006,  1.632724,  3.585197,000,001
007,  1.550117,  3.478523,000,001
008,  1.779519,  4.039777,000,001
009,  1.434509,  3.192733,000,001
010,  1.930879,  4.203310,000,001
011,  1.828531,  3.946265,000,001
012,  1.572577,  3.487395,000,001
013,  1.396123,  3.129751,000,001
014,  1.464668,  3.238264,000,001
015,  1.574638,  3.355762,000,001
