tid,wait_acq(ms),wait_rel(ms),client_id,run
000,1.936332226,2.132871628,000,000
000,2.366078377,2.679323435,000,000
000,2.513496637,2.820912123,000,000
001,1.990079045,2.194335938,000,000
001,2.402135611,2.711248159,000,000
001,3.120607615,3.405644894,000,000
002,2.778865337,3.056581974,000,000
002,3.825130224,4.296602726,000,000
002,3.097298384,3.476205111,000,000
003,3.152491808,3.470070839,000,000
003,3.520579576,3.917017460,000,000
003,4.034523964,4.731833458,000,000
004,2.879721642,3.143383980,000,000
004,3.082969666,3.458079338,000,000
004,2.592629910,2.811082602,000,000
005,3.479823112,3.791637182,000,000
005,3.238938808,3.619626522,000,000
005,3.157774687,3.558089018,000,000
006,3.129532576,3.423319578,000,000
006,2.568964720,2.863454103,000,000
006,2.602254391,2.874269009,000,000
007,2.684143066,2.948222876,000,000
007,3.623756170,4.039031029,000,000
007,2.866228104,3.201187611,000,000
008,1.589716911,1.719012141,000,000
008,2.457785606,2.756541491,000,000
008,2.948754311,3.224646568,000,000
009,2.643801451,2.871221304,000,000
009,3.612331867,3.990656137,000,000
009,2.716509342,2.996294975,000,000
010,3.267346859,3.607846975,000,000
010,3.022631168,3.354893446,000,000
010,4.536999226,5.015950203,000,000
011,2.480140209,2.692868471,000,000
011,2.835150957,3.108642101,000,000
011,2.656177521,2.929949045,000,000
012,2.863663197,3.158804893,000,000
012,2.034274578,2.277125597,000,000
012,2.834829330,3.053580999,000,000
013,3.321641207,3.595417500,000,000
013,2.666043758,2.957264900,000,000
013,2.523660898,2.956955671,000,000
014,3.706768990,4.046675205,000,000
014,3.467350245,3.884439468,000,000
014,2.364296198,2.586143494,000,000
015,2.908364058,3.162835360,000,000
015,5.122845173,5.733121872,000,000
015,2.482748508,2.738260269,000,000
000,3.585762262,3.972343206,000,001
000,2.607672215,2.887458801,000,001
000,2.839771032,3.076997757,000,001
001,3.400954723,3.615718126,000,001
001,3.610104322,3.894626141,000,001
001,3.382566452,3.621350527,000,001
002,2.347805738,2.488447428,000,001
002,2.693383217,2.960685015,000,001
002,2.798226595,3.008406639,000,001
003,2.271903753,2.564361572,000,001
003,2.684935331,3.012972116,000,001
003,3.867164135,4.159019947,000,001
004,2.181226969,2.349401236,000,001
004,2.304906607,2.582679272,000,001
004,3.781070709,4.030513287,000,001
005,2.736934662,2.942407608,000,001
005,3.994640589,4.373525620,000,001
005,3.791766644,4.058929920,000,001
006,3.325171947,3.666971207,000,001
006,2.036283731,2.178973198,000,001
006,4.901676655,5.283104897,000,001
007,2.984848022,3.177618742,000,001
007,2.989435196,3.336616993,000,001
007,2.689668655,2.863124132,000,001
008,3.024689913,3.303292513,000,001
008,3.125369072,3.524574280,000,001
008,3.527557611,3.776750565,000,001
009,3.147832394,3.381926298,000,001
009,2.271624327,2.556508064,000,001
009,1.957437158,2.123861313,000,001
010,3.441307545,3.659298658,000,001
010,3.809894085,4.187275410,000,001
010,3.115184069,3.331642389,000,001
011,3.514125109,3.831843853,000,001
011,3.092544317,3.396759272,000,001
011,3.687866211,3.947616577,000,001
012,3.466404438,3.760804653,000,001
012,2.697152853,2.951584578,000,001
012,2.669121504,2.847602844,000,001
013,2.403245687,2.543118715,000,001
013,3.325436354,3.637849569,000,001
013,2.615576267,2.797723055,000,001
014,2.786155224,2.994449139,000,001
014,3.459917784,3.793061256,000,001
014,2.040777206,2.223469734,000,001
015,2.669513464,2.915463686,000,001
015,3.416621208,3.760399580,000,001
015,3.152024031,3.357635736,000,001
000,2.543028831,2.828345537,000,002
000,2.544198751,2.746484995,000,002
000,2.088525057,2.245056629,000,002
001,2.532625198,2.737507582,000,002
001,2.617655516,2.894482613,000,002
001,3.282450914,3.644199371,000,002
002,3.866338015,4.297392368,000,002
002,2.318931580,2.605341673,000,002
002,2.364963770,2.626876831,000,002
003,3.427416563,3.702200651,000,002
003,3.924671173,4.239184856,000,002
003,2.190503359,2.345328808,000,002
004,2.961031914,3.170553684,000,002
004,1.992598176,2.127803326,000,002
004,2.360508680,2.564677477,000,002
005,3.064471960,3.355626583,000,002
005,2.344472885,2.534432888,000,002
005,2.610860586,2.833575010,000,002
006,2.813363552,3.013600349,000,002
006,2.500291824,2.719235659,000,002
006,2.148311138,2.331331968,000,002
007,2.626442909,2.921075583,000,002
007,3.324415207,3.540550232,000,002
007,3.396843672,3.730705261,000,002
008,2.875835657,3.098120689,000,002
008,2.634079695,2.800807476,000,002
008,2.375037193,2.517460346,000,002
009,2.463385344,2.739376783,000,002
009,2.181540966,2.333152533,000,002
009,2.070695639,2.243654966,000,002
010,3.115501881,3.469967842,000,002
010,3.332609892,3.642162085,000,002
010,2.545899391,2.808058023,000,002
011,3.241027594,3.517195225,000,002
011,4.875907421,5.167107105,000,002
011,2.167615414,2.344500065,000,002
012,3.697949171,4.138032913,000,002
012,2.704138041,2.869977236,000,002
012,2.524894714,2.734027386,000,002
013,3.098859310,3.334178448,000,002
013,2.266566515,2.449934006,000,002
013,2.380070686,2.635401487,000,002
014,2.527091265,2.763461351,000,002
014,2.737015247,2.904100418,000,002
014,4.343332291,4.707536221,000,002
015,3.168931961,3.435448170,000,002
015,2.447185278,2.683216810,000,002
015,2.624759912,2.889514685,000,002
