tid,wait_acq(ms),wait_rel(ms),client_id,run
000,  0.593537,  1.208668,000,000
001,  0.619463,  1.220891,000,000
002,  0.594832,  1.223373,000,000
003,  0.588294,  1.235129,000,000
004,  0.577986,  1.225645,000,000
005,  0.542758,  1.244999,000,000
006,  0.580791,  1.276685,000,000
007,  0.551398,  1.236012,000,000
008,  0.534643,  1.209008,000,000
009,  0.585497,  1.259173,000,000
010,  0.556623,  1.258878,000,000
011,  0.573487,  1.262751,000,000
012,  0.585550,  1.262898,000,000
013,  0.580011,  1.242636,000,000
014,  0.559088,  1.196518,000,000
015,  0.579897,  1.234427,000,000
016,  0.550549,  1.222555,000,000
017,  0.577574,  1.192545,000,000
018,  0.547919,  1.188954,000,000
019,  0.545579,  1.193774,000,000
020,  0.578478,  1.176050,000,000
021,  0.611137,  1.191122,000,000
022,  0.563599,  1.225001,000,000
023,  0.588645,  1.200830,000,000
024,  0.595693,  1.212430,000,000
025,  0.632206,  1.208942,000,000
026,  0.559051,  1.184751,000,000
027,  0.569624,  1.184239,000,000
028,  0.577425,  1.263093,000,000
029,  0.554909,  1.253738,000,000
030,  0.595312,  1.220359,000,000
031,  0.541673,  1.236394,000,000
000,  0.582221,  1.341710,000,001
001,  0.593797,  1.391215,000,001
002,  0.593261,  1.329634,000,001
003,  0.587804,  1.369251,000,001
004,  0.622184,  1.350553,000,001
005,  0.584505,  1.371662,000,001
006,  0.636048,  1.389302,000,001
007,  0.602776,  1.407940,000,001
008,  0.572010,  1.326478,000,001
009,  0.588209,  1.373150,000,001
010,  0.573369,  1.366757,000,001
011,  0.592085,  1.374139,000,001
012,  0.584795,  1.394562,000,001
013,  0.589445,  1.369980,000,001
014,  0.573110,  1.320985,000,001
015,  0.584340,  1.346302,000,001
016,  0.623253,  1.350438,000,001
017,  0.554508,  1.332037,000,001
018,  0.641743,  1.330917,000,001
019,  0.595159,  1.326570,000,001
020,  0.579560,  1.335765,000,001
021,  0.579650,  1.328418,000,001
022,  0.563497,  1.324654,000,001
023,  0.568379,  1.403917,000,001
024,  0.561430,  1.335933,000,001
025,  0.584126,  1.331406,000,001
026,  0.594591,  1.323230,000,001
027,  0.573357,  1.323825,000,001
028,  0.597805,  1.387469,000,001
029,  0.587040,  1.394897,000,001
030,  0.649569,  1.335778,000,001
031,  0.580513,  1.325548,000,001
