tid,wait_acq(ms),wait_rel(ms),client_id,run
000,  0.000955,  0.000530,000,000
000,  0.000073,  0.000136,000,000
000,  0.000073,  0.000134,000,000
000,  0.000075,  0.000146,000,000
000,  0.000077,  0.000137,000,000
000,  0.000070,  0.000150,000,000
000,  0.000083,  0.000138,000,000
000,  0.000069,  0.000145,000,000
000,  0.000072,  0.000146,000,000
000,  0.000080,  0.000135,000,000
000,  0.000076,  0.000108,000,000
000,  0.000071,  0.000127,000,000
000,  0.000073,  0.000148,000,000
000,  0.000072,  0.000138,000,000
000,  0.000067,  0.000142,000,000
000,  0.000067,  0.000142,000,000
000,  0.000072,  0.000142,000,000
000,  0.000067,  0.000146,000,000
000,  0.000072,  0.000125,000,000
000,  0.000072,  0.000141,000,000
001,  0.000077,  0.000164,000,000
001,  0.000074,  0.000147,000,000
001,  0.000080,  0.000135,000,000
001,  0.000074,  0.000121,000,000
001,  0.000075,  0.000154,000,000
001,  0.000070,  0.000129,000,000
001,  0.000069,  0.000148,000,000
001,  0.000073,  0.000126,000,000
001,  0.000076,  0.000148,000,000
001,  0.000076,  0.000145,000,000
001,  0.000066,  0.000141,000,000
001,  0.000075,  0.000146,000,000
001,  0.000070,  0.000145,000,000
001,  0.000067,  0.000146,000,000
001,  0.000068,  0.000142,000,000
001,  0.000068,  0.000142,000,000
001,  0.000076,  0.000139,000,000
001,  0.000073,  0.000153,000,000
001,  0.000067,  0.000139,000,000
001,  0.000065,  0.000152,000,000
002,  0.000173,  0.000300,000,000
002,  0.000072,  0.000154,000,000
002,  0.000071,  0.000143,000,000
002,  0.000067,  0.000158,000,000
002,  0.000072,  0.000165,000,000
002,  0.000069,  0.000141,000,000
002,  0.000074,  0.000152,000,000
002,  0.000069,  0.000154,000,000
002,  0.000068,  0.000154,000,000
002,  0.000072,  0.000159,000,000
002,  0.000075,  0.000152,000,000
002,  0.000067,  0.000149,000,000
002,  0.000068,  0.000155,000,000
002,  0.000067,  0.000145,000,000
002,  0.000072,  0.000181,000,000
002,  0.000093,  0.000146,000,000
002,  0.000082,  0.000155,000,000
002,  0.000073,  0.000154,000,000
002,  0.000066,  0.000145,000,000
002,  0.000076,  0.000152,000,000
003,  0.000074,  0.000158,000,000
003,  0.000075,  0.000146,000,000
003,  0.000074,  0.000137,000,000
003,  0.000071,  0.000148,000,000
003,  0.000072,  0.000145,000,000
003,  0.000067,  0.000142,000,000
003,  0.000069,  0.000147,000,000
003,  0.000069,  0.000136,000,000
003,  0.000066,  0.000136,000,000
003,  0.000071,  0.000141,000,000
003,  0.000068,  0.000145,000,000
003,  0.000071,  0.000147,000,000
003,  0.000070,  0.000146,000,000
003,  0.000068,  0.000135,000,000
003,  0.000070,  0.000146,000,000
003,  0.000070,  0.000137,000,000
003,  0.000069,  0.000147,000,000
003,  0.000072,  0.000141,000,000
003,  0.000067,  0.000149,000,000
003,  0.000073,  0.000136,000,000
004,  0.000071,  0.000145,000,000
004,  0.000081,  0.000142,000,000
004,  0.000074,  0.000139,000,000
004,  0.000072,  0.000142,000,000
004,  0.000077,  0.000149,000,000
004,  0.000072,  0.000138,000,000
004,  0.000070,  0.000150,000,000
004,  0.000074,  0.000146,000,000
004,  0.000067,  0.000149,000,000
004,  0.000071,  0.000147,000,000
004,  0.000073,  0.000148,000,000
004,  0.000071,  0.000136,000,000
004,  0.000068,  0.000135,000,000
004,  0.000070,  0.000147,000,000
004,  0.000071,  0.000137,000,000
004,  0.000072,  0.000143,000,000
004,  0.000069,  0.000135,000,000
004,  0.000069,  0.000143,000,000
004,  0.000076,  0.000135,000,000
004,  0.000069,  0.000147,000,000
005,  0.000148,  0.000318,000,000
005,  0.000074,  0.000145,000,000
005,  0.000067,  0.000145,000,000
005,  0.000067,  0.000146,000,000
005,  0.000070,  0.000146,000,000
005,  0.000076,  0.000137,000,000
005,  0.000070,  0.000142,000,000
005,  0.000073,  0.000141,000,000
005,  0.000071,  0.000147,000,000
005,  0.000068,  0.000137,000,000
005,  0.000069,  0.000136,000,000
005,  0.000073,  0.000137,000,000
005,  0.000067,  0.000135,000,000
005,  0.000075,  0.000135,000,000
005,  0.000069,  0.000144,000,000
005,  0.000070,  0.000143,000,000
005,  0.000074,  0.000155,000,000
005,  0.000069,  0.000133,000,000
005,  0.000070,  0.000138,000,000
005,  0.000071,  0.000145,000,000
006,  0.000079,  0.000152,000,000
006,  0.000068,  0.000141,000,000
006,  0.000072,  0.000156,000,000
006,  0.000071,  0.000150,000,000
006,  0.000077,  0.000149,000,000
006,  0.000071,  0.000148,000,000
006,  0.000075,  0.000153,000,000
006,  0.000072,  0.000139,000,000
006,  0.000082,  0.000146,000,000
006,  0.000077,  0.000146,000,000
006,  0.000072,  0.000137,000,000
006,  0.000074,  0.000142,000,000
006,  0.000069,  0.000139,000,000
006,  0.000071,  0.000142,000,000
006,  0.000074,  0.000149,000,000
006,  0.000080,  0.000148,000,000
006,  0.000071,  0.000140,000,000
006,  0.000070,  0.000141,000,000
006,  0.000074,  0.000138,000,000
006,  0.000074,  0.000137,000,000
007,  0.000082,  0.000142,000,000
007,  0.000085,  0.000146,000,000
007,  0.000071,  0.000142,000,000
007,  0.000069,  0.000154,000,000
007,  0.000070,  0.000157,000,000
007,  0.000073,  0.000162,000,000
007,  0.000077,  0.000162,000,000
007,  0.000070,  0.000138,000,000
007,  0.000070,  0.000155,000,000
007,  0.000068,  0.000133,000,000
007,  0.000076,  0.000136,000,000
007,  0.000071,  0.000136,000,000
007,  0.000070,  0.000139,000,000
007,  0.000070,  0.000147,000,000
007,  0.000070,  0.000134,000,000
007,  0.000075,  0.000145,000,000
007,  0.000068,  0.000135,000,000
007,  0.000073,  0.000135,000,000
007,  0.000075,  0.000146,000,000
007,  0.000076,  0.000146,000,000
008,  0.000073,  0.000144,000,000
008,  0.000068,  0.000137,000,000
008,  0.000075,  0.000133,000,000
008,  0.000069,  0.000155,000,000
008,  0.000064,  0.000142,000,000
008,  0.000071,  0.000149,000,000
008,  0.000076,  0.000141,000,000
008,  0.000068,  0.000155,000,000
008,  0.000071,  0.000137,000,000
008,  0.000073,  0.000145,000,000
008,  0.000076,  0.000135,000,000
008,  0.000072,  0.000133,000,000
008,  0.000073,  0.000153,000,000
008,  0.000073,  0.000164,000,000
008,  0.000070,  0.000145,000,000
008,  0.000077,  0.000145,000,000
008,  0.000082,  0.000158,000,000
008,  0.000078,  0.000145,000,000
008,  0.000070,  0.000144,000,000
008,  0.000070,  0.000149,000,000
009,  0.000067,  0.000145,000,000
009,  0.000070,  0.000156,000,000
009,  0.000075,  0.000164,000,000
009,  0.000068,  0.000153,000,000
009,  0.000067,  0.000143,000,000
009,  0.000074,  0.000158,000,000
009,  0.000078,  0.000148,000,000
009,  0.000070,  0.000137,000,000
009,  0.000068,  0.000097,000,000
009,  0.000073,  0.000134,000,000
009,  0.000062,  0.000157,000,000
009,  0.000070,  0.000142,000,000
009,  0.000075,  0.000142,000,000
009,  0.000069,  0.000145,000,000
009,  0.000068,  0.000140,000,000
009,  0.000067,  0.000151,000,000
009,  0.000071,  0.000134,000,000
009,  0.000069,  0.000147,000,000
009,  0.000072,  0.000147,000,000
009,  0.000083,  0.000145,000,000
010,  0.000077,  0.000156,000,000
010,  0.000077,  0.000148,000,000
010,  0.000074,  0.000165,000,000
010,  0.000083,  0.000162,000,000
010,  0.000075,  0.000159,000,000
010,  0.000072,  0.000164,000,000
010,  0.000081,  0.000163,000,000
010,  0.000069,  0.000157,000,000
010,  0.000067,  0.000145,000,000
010,  0.000074,  0.000147,000,000
010,  0.000069,  0.000143,000,000
010,  0.000068,  0.000147,000,000
010,  0.000073,  0.000143,000,000
010,  0.000086,  0.000147,000,000
010,  0.000077,  0.000136,000,000
010,  0.000072,  0.000146,000,000
010,  0.000081,  0.000153,000,000
010,  0.000077,  0.000149,000,000
010,  0.000068,  0.000149,000,000
010,  0.000073,  0.000148,000,000
011,  0.000071,  0.000148,000,000
011,  0.000071,  0.000145,000,000
011,  0.000067,  0.000148,000,000
011,  0.000078,  0.000135,000,000
011,  0.000066,  0.000152,000,000
011,  0.000067,  0.000141,000,000
011,  0.000071,  0.000148,000,000
011,  0.000071,  0.000141,000,000
011,  0.000065,  0.000145,000,000
011,  0.000070,  0.000136,000,000
011,  0.000070,  0.000148,000,000
011,  0.000070,  0.000139,000,000
011,  0.000070,  0.000136,000,000
011,  0.000074,  0.000137,000,000
011,  0.000071,  0.000141,000,000
011,  0.000075,  0.000143,000,000
011,  0.000075,  0.000137,000,000
011,  0.000078,  0.000144,000,000
011,  0.000075,  0.000146,000,000
011,  0.000076,  0.000141,000,000
012,  0.000067,  0.000154,000,000
012,  0.000081,  0.000163,000,000
012,  0.000069,  0.000148,000,000
012,  0.000073,  0.000147,000,000
012,  0.000073,  0.000155,000,000
012,  0.000072,  0.000143,000,000
012,  0.000067,  0.000154,000,000
012,  0.000071,  0.000134,000,000
012,  0.000067,  0.000135,000,000
012,  0.000072,  0.000134,000,000
012,  0.000079,  0.000136,000,000
012,  0.000071,  0.000147,000,000
012,  0.000077,  0.000145,000,000
012,  0.000072,  0.000145,000,000
012,  0.000067,  0.000136,000,000
012,  0.000071,  0.000145,000,000
012,  0.000069,  0.000144,000,000
012,  0.000071,  0.000130,000,000
012,  0.000075,  0.000139,000,000
012,  0.000070,  0.000141,000,000
013,  0.000070,  0.000143,000,000
013,  0.000069,  0.000147,000,000
013,  0.000072,  0.000141,000,000
013,  0.000068,  0.000148,000,000
013,  0.000070,  0.000132,000,000
013,  0.000067,  0.000142,000,000
013,  0.000080,  0.000143,000,000
013,  0.000072,  0.000148,000,000
013,  0.000069,  0.000148,000,000
013,  0.000068,  0.000149,000,000
013,  0.000070,  0.000139,000,000
013,  0.000069,  0.000147,000,000
013,  0.000076,  0.000151,000,000
013,  0.000077,  0.000150,000,000
013,  0.000067,  0.000136,000,000
013,  0.000072,  0.000131,000,000
013,  0.000067,  0.000139,000,000
013,  0.000076,  0.000146,000,000
013,  0.000075,  0.000148,000,000
013,  0.000079,  0.000139,000,000
014,  0.000068,  0.000156,000,000
014,  0.000072,  0.000136,000,000
014,  0.000071,  0.000150,000,000
014,  0.000067,  0.000143,000,000
014,  0.000071,  0.000147,000,000
014,  0.000074,  0.000141,000,000
014,  0.000073,  0.000147,000,000
014,  0.000068,  0.000145,000,000
014,  0.000074,  0.000141,000,000
014,  0.000073,  0.000150,000,000
014,  0.000075,  0.000137,000,000
014,  0.000075,  0.000147,000,000
014,  0.000071,  0.000143,000,000
014,  0.000076,  0.000150,000,000
014,  0.000077,  0.000153,000,000
014,  0.000065,  0.000140,000,000
014,  0.000073,  0.000154,000,000
014,  0.000071,  0.000155,000,000
014,  0.000071,  0.000138,000,000
014,  0.000074,  0.000145,000,000
015,  0.000070,  0.000154,000,000
015,  0.000070,  0.000142,000,000
015,  0.000070,  0.000155,000,000
015,  0.000072,  0.000143,000,000
015,  0.000073,  0.000146,000,000
015,  0.000075,  0.000143,000,000
015,  0.000078,  0.000148,000,000
015,  0.000071,  0.000147,000,000
015,  0.000083,  0.000152,000,000
015,  0.000077,  0.000149,000,000
015,  0.000072,  0.000139,000,000
015,  0.000071,  0.000145,000,000
015,  0.000084,  0.000148,000,000
015,  0.000073,  0.000152,000,000
015,  0.000071,  0.000147,000,000
015,  0.000070,  0.000138,000,000
015,  0.000080,  0.000145,000,000
015,  0.000141,  0.000149,000,000
015,  0.000078,  0.000153,000,000
015,  0.000067,  0.000141,000,000
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
000,  0.000000,  0.000000,000,001
001,  0.000075,  0.000139,000,001
001,  0.000071,  0.000136,000,001
001,  0.000068,  0.000145,000,001
001,  0.000073,  0.000145,000,001
001,  0.000070,  0.000145,000,001
001,  0.000067,  0.000137,000,001
001,  0.000070,  0.000147,000,001
001,  0.000068,  0.000135,000,001
001,  0.000067,  0.000137,000,001
001,  0.000073,  0.000142,000,001
001,  0.000069,  0.000147,000,001
001,  0.000064,  0.000134,000,001
001,  0.000073,  0.000137,000,001
001,  0.000068,  0.000137,000,001
001,  0.000070,  0.000138,000,001
001,  0.000068,  0.000147,000,001
001,  0.000084,  0.000149,000,001
001,  0.000071,  0.000142,000,001
001,  0.000074,  0.000145,000,001
001,  0.000072,  0.000147,000,001
002,  0.000067,  0.000137,000,001
002,  0.000064,  0.000135,000,001
002,  0.000067,  0.000135,000,001
002,  0.000071,  0.000142,000,001
002,  0.000069,  0.000148,000,001
002,  0.000074,  0.000143,000,001
002,  0.000070,  0.000145,000,001
002,  0.000071,  0.000137,000,001
002,  0.000073,  0.000148,000,001
002,  0.000075,  0.000149,000,001
002,  0.000071,  0.000151,000,001
002,  0.000072,  0.000136,000,001
002,  0.000068,  0.000142,000,001
002,  0.000072,  0.000146,000,001
002,  0.000072,  0.000137,000,001
002,  0.000069,  0.000142,000,001
002,  0.000073,  0.000142,000,001
002,  0.000068,  0.000145,000,001
002,  0.000071,  0.000145,000,001
002,  0.000071,  0.000135,000,001
003,  0.000089,  0.000151,000,001
003,  0.000075,  0.000150,000,001
003,  0.000070,  0.000149,000,001
003,  0.000067,  0.000157,000,001
003,  0.000072,  0.000154,000,001
003,  0.000071,  0.000148,000,001
003,  0.000070,  0.000150,000,001
003,  0.000072,  0.000135,000,001
003,  0.000068,  0.000154,000,001
003,  0.000067,  0.000136,000,001
003,  0.000067,  0.000135,000,001
003,  0.000069,  0.000142,000,001
003,  0.000072,  0.000145,000,001
003,  0.000067,  0.000144,000,001
003,  0.000068,  0.000139,000,001
003,  0.000066,  0.000145,000,001
003,  0.000064,  0.000145,000,001
003,  0.000070,  0.000141,000,001
003,  0.000068,  0.000137,000,001
003,  0.000071,  0.000147,000,001
004,  0.000072,  0.000146,000,001
004,  0.000066,  0.000142,000,001
004,  0.000068,  0.000147,000,001
004,  0.000069,  0.000145,000,001
004,  0.000080,  0.000144,000,001
004,  0.000067,  0.000144,000,001
004,  0.000070,  0.000137,000,001
004,  0.000071,  0.000137,000,001
004,  0.000071,  0.000139,000,001
004,  0.000071,  0.000150,000,001
004,  0.000071,  0.000149,000,001
004,  0.000073,  0.000144,000,001
004,  0.000070,  0.000142,000,001
004,  0.000070,  0.000139,000,001
004,  0.000068,  0.000138,000,001
004,  0.000067,  0.000137,000,001
004,  0.000062,  0.000143,000,001
004,  0.000066,  0.000134,000,001
004,  0.000071,  0.000142,000,001
004,  0.000076,  0.000145,000,001
005,  0.000067,  0.000137,000,001
005,  0.000077,  0.000147,000,001
005,  0.000067,  0.000142,000,001
005,  0.000069,  0.000148,000,001
005,  0.000066,  0.000136,000,001
005,  0.000069,  0.000136,000,001
005,  0.000067,  0.000154,000,001
005,  0.000075,  0.000147,000,001
005,  0.000067,  0.000143,000,001
005,  0.000068,  0.000140,000,001
005,  0.000070,  0.000132,000,001
005,  0.000079,  0.000148,000,001
005,  0.000070,  0.000146,000,001
005,  0.000075,  0.000149,000,001
005,  0.000072,  0.000135,000,001
005,  0.000078,  0.000152,000,001
005,  0.000095,  0.000152,000,001
005,  0.000070,  0.000142,000,001
005,  0.000086,  0.000149,000,001
005,  0.000074,  0.000142,000,001
006,  0.000069,  0.000149,000,001
006,  0.000070,  0.000146,000,001
006,  0.000068,  0.000144,000,001
006,  0.000069,  0.000148,000,001
006,  0.000069,  0.000136,000,001
006,  0.000070,  0.000127,000,001
006,  0.000067,  0.000142,000,001
006,  0.000071,  0.000135,000,001
006,  0.000067,  0.000145,000,001
006,  0.000071,  0.000134,000,001
006,  0.000067,  0.000144,000,001
006,  0.000072,  0.000133,000,001
006,  0.000072,  0.000148,000,001
006,  0.000076,  0.000144,000,001
006,  0.000067,  0.000129,000,001
006,  0.000069,  0.000149,000,001
006,  0.000071,  0.000136,000,001
006,  0.000067,  0.000137,000,001
006,  0.000071,  0.000154,000,001
006,  0.000066,  0.000136,000,001
007,  0.000069,  0.000143,000,001
007,  0.000071,  0.000151,000,001
007,  0.000070,  0.000146,000,001
007,  0.000066,  0.000149,000,001
007,  0.000076,  0.000135,000,001
007,  0.000071,  0.000142,000,001
007,  0.000073,  0.000145,000,001
007,  0.000072,  0.000146,000,001
007,  0.000068,  0.000138,000,001
007,  0.000071,  0.000134,000,001
007,  0.000071,  0.000147,000,001
007,  0.000067,  0.000142,000,001
007,  0.000071,  0.000148,000,001
007,  0.000070,  0.000145,000,001
007,  0.000071,  0.000142,000,001
007,  0.000075,  0.000142,000,001
007,  0.000072,  0.000144,000,001
007,  0.000075,  0.000144,000,001
007,  0.000070,  0.000146,000,001
007,  0.000067,  0.000136,000,001
008,  0.000070,  0.000147,000,001
008,  0.000073,  0.000154,000,001
008,  0.000078,  0.000154,000,001
008,  0.000069,  0.000134,000,001
008,  0.000069,  0.000134,000,001
008,  0.000070,  0.000142,000,001
008,  0.000067,  0.000134,000,001
008,  0.000071,  0.000137,000,001
008,  0.000067,  0.000141,000,001
008,  0.000069,  0.000151,000,001
008,  0.000080,  0.000150,000,001
008,  0.000077,  0.000140,000,001
008,  0.000071,  0.000140,000,001
008,  0.000071,  0.000140,000,001
008,  0.000069,  0.000146,000,001
008,  0.000067,  0.000152,000,001
008,  0.000069,  0.000146,000,001
008,  0.000067,  0.000146,000,001
008,  0.000074,  0.000145,000,001
008,  0.000071,  0.000134,000,001
009,  0.000072,  0.000148,000,001
009,  0.000069,  0.000147,000,001
009,  0.000068,  0.000141,000,001
009,  0.000070,  0.000138,000,001
009,  0.000070,  0.000146,000,001
009,  0.000068,  0.000145,000,001
009,  0.000065,  0.000139,000,001
009,  0.000068,  0.000145,000,001
009,  0.000069,  0.000139,000,001
009,  0.000069,  0.000142,000,001
009,  0.000072,  0.000142,000,001
009,  0.000081,  0.000145,000,001
009,  0.000073,  0.000143,000,001
009,  0.000076,  0.000147,000,001
009,  0.000073,  0.000135,000,001
009,  0.000078,  0.000147,000,001
009,  0.000068,  0.000147,000,001
009,  0.000071,  0.000127,000,001
009,  0.000069,  0.000154,000,001
009,  0.000067,  0.000142,000,001
010,  0.000069,  0.000152,000,001
010,  0.000068,  0.000134,000,001
010,  0.000062,  0.000147,000,001
010,  0.000068,  0.000137,000,001
010,  0.000070,  0.000149,000,001
010,  0.000067,  0.000148,000,001
010,  0.000066,  0.000140,000,001
010,  0.000073,  0.000151,000,001
010,  0.000067,  0.000149,000,001
010,  0.000069,  0.000153,000,001
010,  0.000081,  0.000143,000,001
010,  0.000078,  0.000153,000,001
010,  0.000067,  0.000148,000,001
010,  0.000073,  0.000144,000,001
010,  0.000067,  0.000151,000,001
010,  0.000070,  0.000146,000,001
010,  0.000077,  0.000147,000,001
010,  0.000074,  0.000147,000,001
010,  0.000068,  0.000142,000,001
010,  0.000067,  0.000145,000,001
011,  0.000068,  0.000132,000,001
011,  0.000072,  0.000147,000,001
011,  0.000067,  0.000146,000,001
011,  0.000066,  0.000137,000,001
011,  0.000069,  0.000146,000,001
011,  0.000079,  0.000144,000,001
011,  0.000072,  0.000148,000,001
011,  0.000075,  0.000151,000,001
011,  0.000067,  0.000147,000,001
011,  0.000069,  0.000146,000,001
