lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0007764,0000081,0000050,0001050,0007064,0006192,0007033,001024,001,000,0001
0008977,0000161,0000090,0001324,0007434,0007153,0007364,001024,001,000,0001
0007174,0000080,0000041,0001049,0007073,0006412,0007034,001024,002,000,0001
0008276,0000150,0000080,0001266,0007314,0007444,0007253,001024,002,000,0001
0006963,0000080,0000050,0001051,0007023,0006362,0006983,001024,003,000,0001
0008035,0000131,0000130,0001284,0007234,0007374,0007183,001024,003,000,0001
0007003,0000080,0000041,0001050,0007003,0006352,0006963,001024,004,000,0001
0010069,0000151,0000121,0001315,0012524,0009117,0012394,001024,004,000,0001
0007184,0000080,0000041,0001051,0007074,0006422,0007043,001024,001,001,0001
0008266,0000140,0000080,0001264,0007303,0007424,0007254,001024,001,001,0001
0007765,0000071,0000040,0001050,0007063,0006222,0007023,001024,002,001,0001
0009047,0000170,0000090,0001339,0007434,0007203,0007354,001024,002,001,0001
0006974,0000080,0000040,0001051,0007033,0006372,0006994,001024,003,001,0001
0008046,0000140,0000081,0001292,0007254,0007374,0007204,001024,003,001,0001
0007113,0000080,0000041,0001051,0007053,0006402,0007013,001024,004,001,0001
0009978,0000170,0000081,0001290,0012634,0009107,0012414,001024,004,001,0001
0007875,0000071,0000040,0001050,0007063,0006121,0007023,001024,001,002,0001
0008977,0000180,0000090,0001351,0007484,0007124,0007404,001024,001,002,0001
0006973,0000090,0000040,0001051,0007033,0006362,0006994,001024,002,002,0001
0008015,0000161,0000080,0001284,0007243,0007354,0007193,001024,002,002,0001
0007173,0000081,0000040,0001050,0007084,0006412,0007053,001024,003,002,0001
0008245,0000161,0000090,0001266,0007344,0007404,0007284,001024,003,002,0001
0007073,0000071,0000040,0001051,0007033,0006372,0006993,001024,004,002,0001
0009739,0000140,0000100,0001321,0011822,0008937,0011662,001024,004,002,0001
0007194,0000080,0000041,0001051,0007084,0006432,0007053,001024,001,003,0001
0008266,0000150,0000130,0001272,0007324,0007424,0007274,001024,001,003,0001
0007775,0000071,0000041,0001050,0007063,0006182,0007024,001024,002,003,0001
0008987,0000180,0000090,0001339,0007445,0007154,0007364,001024,002,003,0001
0006984,0000080,0000041,0001051,0007043,0006382,0007003,001024,003,003,0001
0008015,0000140,0000120,0001285,0007244,0007374,0007194,001024,003,003,0001
0007133,0000080,0000050,0001051,0007044,0006402,0007013,001024,004,003,0001
0009829,0000141,0000131,0001300,0012333,0009057,0012142,001024,004,003,0001
0008456,0000081,0000040,0001050,0007073,0006924,0007033,001024,001,004,0001
0010319,0000170,0000100,0001204,0007464,0008546,0007404,001024,001,004,0001
0007625,0000080,0000040,0001051,0007034,0006983,0007003,001024,002,004,0001
0009298,0000140,0000080,0001238,0007244,0008776,0007194,001024,002,004,0001
0008346,0000080,0000040,0001045,0007063,0006913,0007023,001024,003,004,0001
0010339,0000170,0000090,0001217,0007374,0008546,0007314,001024,003,004,0001
0007725,0000080,0000040,0001051,0007043,0007013,0007004,001024,004,004,0001
0010529,0000150,0000081,0001276,0012203,0009769,0012083,001024,004,004,0001
0007755,0000130,0000061,0001005,0007054,0006432,0007013,001024,001,000,0512
0009528,0000851,0000120,0001025,0007424,0008035,0007414,001024,001,000,0512
0007224,0000121,0000051,0001004,0007023,0006672,0006983,001024,002,000,0512
0008696,0000481,0000120,0001024,0007294,0008075,0007254,001024,002,000,0512
0007925,0000121,0000061,0001004,0007053,0006422,0007003,001024,003,000,0512
0009638,0000871,0000130,0001026,0007434,0008035,0007444,001024,003,000,0512
0007314,0000120,0000051,0001004,0007023,0006683,0006983,001024,004,000,0512
0009989,0000481,0000131,0001235,0011722,0009288,0011621,001024,004,000,0512
0007995,0000130,0000060,0001005,0007054,0006442,0007013,001024,001,001,0512
0009668,0000842,0000130,0001025,0007394,0007975,0007354,001024,001,001,0512
0007935,0000130,0000051,0001005,0007053,0006423,0007003,001024,002,001,0512
0009638,0000842,0000111,0001025,0007414,0007965,0007424,001024,002,001,0512
