tid,loop_in_cs,lock_acquires,duration,glock_tries,array_size(B),nodeID,run,lockNR
000,00023346,00023346,020,00046692,001024,001,000,0001
001,00023363,00023363,020,00046726,001024,001,000,0001
002,00023406,00023406,020,00046812,001024,001,000,0001
003,00023411,00023411,020,00046822,001024,001,000,0001
004,00023349,00023349,020,00046698,001024,001,000,0001
005,00023392,00023392,020,00046784,001024,001,000,0001
006,00023414,00023414,020,00046828,001024,001,000,0001
007,00023351,00023351,020,00046702,001024,001,000,0001
008,00023352,00023352,020,00046704,001024,001,000,0001
009,00023345,00023345,020,00046690,001024,001,000,0001
010,00023380,00023380,020,00046760,001024,001,000,0001
011,00023358,00023358,020,00046716,001024,001,000,0001
012,00023383,00023383,020,00046766,001024,001,000,0001
013,00023358,00023358,020,00046716,001024,001,000,0001
014,00023421,00023421,020,00046842,001024,001,000,0001
015,00023399,00023399,020,00046798,001024,001,000,0001
016,00023351,00023351,020,00046702,001024,001,000,0001
017,00023345,00023345,020,00046690,001024,001,000,0001
018,00023347,00023347,020,00046694,001024,001,000,0001
019,00023344,00023344,020,00046688,001024,001,000,0001
020,00023345,00023345,020,00046690,001024,001,000,0001
021,00023379,00023379,020,00046758,001024,001,000,0001
022,00023366,00023366,020,00046732,001024,001,000,0001
023,00023352,00023352,020,00046704,001024,001,000,0001
024,00023352,00023352,020,00046704,001024,001,000,0001
025,00023402,00023402,020,00046804,001024,001,000,0001
026,00023377,00023377,020,00046754,001024,001,000,0001
027,00023371,00023371,020,00046742,001024,001,000,0001
028,00023357,00023357,020,00046714,001024,001,000,0001
029,00023348,00023348,020,00046696,001024,001,000,0001
030,00023411,00023411,020,00046822,001024,001,000,0001
031,00023383,00023383,020,00046766,001024,001,000,0001
000,00023374,00023374,020,00046748,001024,001,001,0001
001,00023429,00023429,020,00046858,001024,001,001,0001
002,00023431,00023431,020,00046862,001024,001,001,0001
003,00023389,00023389,020,00046778,001024,001,001,0001
004,00023374,00023374,020,00046748,001024,001,001,0001
005,00023400,00023400,020,00046800,001024,001,001,0001
006,00023372,00023372,020,00046744,001024,001,001,0001
007,00023413,00023413,020,00046826,001024,001,001,0001
008,00023365,00023365,020,00046730,001024,001,001,0001
009,00023365,00023365,020,00046730,001024,001,001,0001
010,00023365,00023365,020,00046730,001024,001,001,0001
011,00023374,00023374,020,00046748,001024,001,001,0001
